#
# COVID-19 Country file (official WHO count)
# Country = Liberia
# Latitude = 6.0
# Population = 5103.853
# Territory = 111369.0
# LEB = 64.1
# DPA = 37000
# DPA65 = 10360
# GDP = 655.0
# GDP_PPP = 1212.0
# COVID-19 Mortality = 18.2
# First_Case = 2020_03_17
# Last_Case = 2021_06_13
# First_Death = 2020_04_05
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_17	       1	       0	       1	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       2	       0	       1	       0
2020_03_20	       2	       0	       0	       0
2020_03_21	       2	       0	       0	       0
2020_03_22	       3	       0	       1	       0
2020_03_23	       3	       0	       0	       0
2020_03_24	       3	       0	       0	       0
2020_03_25	       3	       0	       0	       0
2020_03_26	       3	       0	       0	       0
2020_03_27	       3	       0	       0	       0
2020_03_28	       3	       0	       0	       0
2020_03_29	       3	       0	       0	       0
2020_03_30	       3	       0	       0	       0
2020_03_31	       3	       0	       0	       0
2020_04_01	       3	       0	       0	       0
2020_04_02	       6	       0	       3	       0
2020_04_03	       6	       0	       0	       0
2020_04_04	       7	       0	       1	       0
2020_04_05	      10	       1	       3	       1
2020_04_06	      13	       3	       3	       2
2020_04_07	      14	       3	       1	       0
2020_04_08	      14	       3	       0	       0
2020_04_09	      31	       4	      17	       1
2020_04_10	      31	       4	       0	       0
2020_04_11	      37	       5	       6	       1
2020_04_12	      48	       5	      11	       0
2020_04_13	      50	       5	       2	       0
2020_04_14	      51	       6	       1	       1
2020_04_15	      59	       6	       8	       0
2020_04_16	      59	       6	       0	       0
2020_04_17	      73	       6	      14	       0
2020_04_18	      76	       7	       3	       1
2020_04_19	      81	       7	       5	       0
2020_04_20	      91	       8	      10	       1
2020_04_21	      99	       8	       8	       0
2020_04_22	     101	       8	       2	       0
2020_04_23	     101	       8	       0	       0
2020_04_24	     101	       8	       0	       0
2020_04_25	     117	       8	      16	       0
2020_04_26	     120	      11	       3	       3
2020_04_27	     124	      12	       4	       1
2020_04_28	     133	      16	       9	       4
2020_04_29	     141	      16	       8	       0
2020_04_30	     141	      16	       0	       0
2020_05_01	     141	      16	       0	       0
2020_05_02	     152	      18	      11	       2
2020_05_03	     154	      18	       2	       0
2020_05_04	     158	      18	       4	       0
2020_05_05	     166	      18	       8	       0
2020_05_06	     170	      20	       4	       2
2020_05_07	     178	      20	       8	       0
2020_05_08	     189	      20	      11	       0
2020_05_09	     199	      20	      10	       0
2020_05_10	     199	      20	       0	       0
2020_05_11	     204	      20	       5	       0
2020_05_12	     211	      20	       7	       0
2020_05_13	     212	      20	       1	       0
2020_05_14	     213	      20	       1	       0
