#
# COVID-19 Country file (official WHO count)
# Country = Libya
# Latitude = 33.0
# Population = 6662.173
# Territory = 1759540.0
# LEB = 72.9
# DPA = 35000
# DPA65 = 18550
# GDP = 5401.0
# GDP_PPP = 13337.0
# COVID-19 Mortality = 474.0
# First_Case = 2020_03_25
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_25	       1	       0	       1	       0
2020_03_26	       1	       0	       0	       0
2020_03_27	       1	       0	       0	       0
2020_03_28	       1	       0	       0	       0
2020_03_29	       3	       0	       2	       0
2020_03_30	       8	       0	       5	       0
2020_03_31	       8	       0	       0	       0
2020_04_01	      10	       0	       2	       0
2020_04_02	      10	       0	       0	       0
2020_04_03	      10	       1	       0	       1
2020_04_04	      17	       1	       7	       0
2020_04_05	      17	       1	       0	       0
2020_04_06	      18	       1	       1	       0
2020_04_07	      18	       1	       0	       0
2020_04_08	      20	       1	       2	       0
2020_04_09	      21	       1	       1	       0
2020_04_10	      24	       1	       3	       0
2020_04_11	      24	       1	       0	       0
2020_04_12	      25	       1	       1	       0
2020_04_13	      25	       1	       0	       0
2020_04_14	      26	       1	       1	       0
2020_04_15	      35	       1	       9	       0
2020_04_16	      48	       1	      13	       0
2020_04_17	      49	       1	       1	       0
2020_04_18	      49	       1	       0	       0
2020_04_19	      49	       1	       0	       0
2020_04_20	      51	       1	       2	       0
2020_04_21	      51	       1	       0	       0
2020_04_22	      59	       1	       8	       0
2020_04_23	      60	       1	       1	       0
2020_04_24	      60	       2	       0	       1
2020_04_25	      61	       2	       1	       0
2020_04_26	      61	       2	       0	       0
2020_04_27	      61	       2	       0	       0
2020_04_28	      61	       2	       0	       0
2020_04_29	      61	       2	       0	       0
2020_04_30	      61	       2	       0	       0
2020_05_01	      61	       3	       0	       1
2020_05_02	      63	       3	       2	       0
2020_05_03	      63	       3	       0	       0
2020_05_04	      63	       3	       0	       0
