#
# COVID-19 Country file (official WHO count)
# Country = Liechtenstein
# Latitude = 47.0
# Population = 38.645
# Territory = 160.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 165525.0
# GDP_PPP = 139100.0
# COVID-19 Mortality = 1500.8
# First_Case = 2020_03_05
# Last_Case = 2021_06_13
# First_Death = 2020_04_05
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Sporadic cases
# Vaccine type = Moderna, Pfizer/BioNTech
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_05	       1	       0	       1	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       4	       0	       3	       0
2020_03_14	       4	       0	       0	       0
2020_03_15	       4	       0	       0	       0
2020_03_16	       7	       0	       3	       0
2020_03_17	       7	       0	       0	       0
2020_03_18	       7	       0	       0	       0
2020_03_19	      25	       0	      18	       0
2020_03_20	      25	       0	       0	       0
2020_03_21	      34	       0	       9	       0
2020_03_22	      36	       0	       2	       0
2020_03_23	      46	       0	      10	       0
2020_03_24	      46	       0	       0	       0
2020_03_25	      47	       0	       1	       0
2020_03_26	      51	       0	       4	       0
2020_03_27	      56	       0	       5	       0
2020_03_28	      60	       0	       4	       0
2020_03_29	      61	       0	       1	       0
2020_03_30	      62	       0	       1	       0
2020_03_31	      64	       0	       2	       0
2020_04_01	      68	       0	       4	       0
2020_04_02	      72	       0	       4	       0
2020_04_03	      75	       0	       3	       0
2020_04_04	      76	       0	       1	       0
2020_04_05	      77	       1	       1	       1
2020_04_06	      78	       1	       1	       0
2020_04_07	      78	       1	       0	       0
2020_04_08	      78	       1	       0	       0
2020_04_09	      79	       1	       1	       0
2020_04_10	      79	       1	       0	       0
2020_04_11	      80	       1	       1	       0
2020_04_12	      80	       1	       0	       0
2020_04_13	      80	       1	       0	       0
2020_04_14	      80	       1	       0	       0
2020_04_15	      81	       1	       1	       0
2020_04_16	      81	       1	       0	       0
2020_04_17	      81	       1	       0	       0
2020_04_18	      81	       1	       0	       0
2020_04_19	      82	       1	       1	       0
2020_04_20	      82	       1	       0	       0
2020_04_21	      82	       1	       0	       0
2020_04_22	      82	       1	       0	       0
2020_04_23	      82	       1	       0	       0
2020_04_24	      82	       1	       0	       0
2020_04_25	      82	       1	       0	       0
2020_04_26	      83	       1	       1	       0
2020_04_27	      83	       1	       0	       0
2020_04_28	      83	       1	       0	       0
2020_04_29	      83	       1	       0	       0
2020_04_30	      83	       1	       0	       0
2020_05_01	      83	       1	       0	       0
2020_05_02	      83	       1	       0	       0
2020_05_03	      83	       1	       0	       0
2020_05_04	      83	       1	       0	       0
2020_05_05	      83	       1	       0	       0
2020_05_06	      83	       1	       0	       0
2020_05_07	      83	       1	       0	       0
2020_05_08	      83	       1	       0	       0
2020_05_09	      83	       1	       0	       0
2020_05_10	      83	       1	       0	       0
2020_05_11	      83	       1	       0	       0
2020_05_12	      83	       1	       0	       0
2020_05_13	      83	       1	       0	       0
2020_05_14	      83	       1	       0	       0
2020_05_15	      83	       1	       0	       0
2020_05_16	      83	       1	       0	       0
2020_05_17	      83	       1	       0	       0
2020_05_18	      83	       1	       0	       0
2020_05_19	      83	       1	       0	       0
2020_05_20	      83	       1	       0	       0
2020_05_21	      83	       1	       0	       0
2020_05_22	      83	       1	       0	       0
2020_05_23	      83	       1	       0	       0
2020_05_24	      83	       1	       0	       0
2020_05_25	      83	       1	       0	       0
2020_05_26	      83	       1	       0	       0
2020_05_27	      83	       1	       0	       0
2020_05_28	      83	       1	       0	       0
2020_05_29	      83	       1	       0	       0
2020_05_30	      83	       1	       0	       0
2020_05_31	      83	       1	       0	       0
2020_06_01	      83	       1	       0	       0
2020_06_02	      83	       1	       0	       0
2020_06_03	      83	       1	       0	       0
2020_06_04	      83	       1	       0	       0
2020_06_05	      83	       1	       0	       0
2020_06_06	      83	       1	       0	       0
2020_06_07	      83	       1	       0	       0
2020_06_08	      83	       1	       0	       0
2020_06_09	      83	       1	       0	       0
2020_06_10	      83	       1	       0	       0
2020_06_11	      83	       1	       0	       0
2020_06_12	      83	       1	       0	       0
2020_06_13	      83	       1	       0	       0
2020_06_14	      83	       1	       0	       0
2020_06_15	      83	       1	       0	       0
2020_06_16	      83	       1	       0	       0
2020_06_17	      83	       1	       0	       0
2020_06_18	      83	       1	       0	       0
2020_06_19	      83	       1	       0	       0
2020_06_20	      83	       1	       0	       0
2020_06_21	      83	       1	       0	       0
2020_06_22	      83	       1	       0	       0
2020_06_23	      83	       1	       0	       0
2020_06_24	      83	       1	       0	       0
2020_06_25	      83	       1	       0	       0
2020_06_26	      83	       1	       0	       0
2020_06_27	      83	       1	       0	       0
2020_06_28	      83	       1	       0	       0
2020_06_29	      83	       1	       0	       0
2020_06_30	      83	       1	       0	       0
2020_07_01	      83	       1	       0	       0
2020_07_02	      83	       1	       0	       0
2020_07_03	      83	       1	       0	       0
2020_07_04	      84	       1	       1	       0
2020_07_05	      84	       1	       0	       0
2020_07_06	      84	       1	       0	       0
2020_07_07	      85	       1	       1	       0
2020_07_08	      85	       1	       0	       0
2020_07_09	      85	       1	       0	       0
2020_07_10	      85	       1	       0	       0
2020_07_11	      85	       1	       0	       0
2020_07_12	      85	       1	       0	       0
2020_07_13	      85	       1	       0	       0
2020_07_14	      85	       1	       0	       0
2020_07_15	      85	       1	       0	       0
2020_07_16	      85	       1	       0	       0
2020_07_17	      85	       1	       0	       0
2020_07_18	      86	       1	       1	       0
2020_07_19	      86	       1	       0	       0
2020_07_20	      87	       1	       1	       0
2020_07_21	      87	       1	       0	       0
2020_07_22	      87	       1	       0	       0
2020_07_23	      87	       1	       0	       0
2020_07_24	      87	       1	       0	       0
2020_07_25	      87	       1	       0	       0
2020_07_26	      87	       1	       0	       0
2020_07_27	      87	       1	       0	       0
2020_07_28	      87	       1	       0	       0
2020_07_29	      87	       1	       0	       0
2020_07_30	      88	       1	       1	       0
2020_07_31	      89	       1	       1	       0
2020_08_01	      89	       1	       0	       0
2020_08_02	      89	       1	       0	       0
2020_08_03	      89	       1	       0	       0
2020_08_04	      89	       1	       0	       0
2020_08_05	      89	       1	       0	       0
2020_08_06	      89	       1	       0	       0
2020_08_07	      89	       1	       0	       0
2020_08_08	      89	       1	       0	       0
2020_08_09	      89	       1	       0	       0
2020_08_10	      89	       1	       0	       0
2020_08_11	      89	       1	       0	       0
2020_08_12	      89	       1	       0	       0
2020_08_13	      90	       1	       1	       0
2020_08_14	      91	       1	       1	       0
2020_08_15	      91	       1	       0	       0
2020_08_16	      93	       1	       2	       0
2020_08_17	      94	       1	       1	       0
2020_08_18	      95	       1	       1	       0
2020_08_19	      96	       1	       1	       0
2020_08_20	      97	       1	       1	       0
2020_08_21	      98	       1	       1	       0
2020_08_22	      99	       1	       1	       0
2020_08_23	     101	       1	       2	       0
2020_08_24	     101	       1	       0	       0
2020_08_25	     102	       1	       1	       0
2020_08_26	     103	       1	       1	       0
2020_08_27	     104	       1	       1	       0
2020_08_28	     105	       1	       1	       0
2020_08_29	     106	       1	       1	       0
2020_08_30	     107	       1	       1	       0
2020_08_31	     107	       1	       0	       0
2020_09_01	     107	       1	       0	       0
2020_09_02	     107	       1	       0	       0
2020_09_03	     107	       1	       0	       0
2020_09_04	     107	       1	       0	       0
2020_09_05	     107	       1	       0	       0
2020_09_06	     108	       1	       1	       0
2020_09_07	     108	       1	       0	       0
2020_09_08	     108	       1	       0	       0
2020_09_09	     108	       1	       0	       0
2020_09_10	     108	       1	       0	       0
2020_09_11	     108	       1	       0	       0
2020_09_12	     108	       1	       0	       0
2020_09_13	     109	       1	       1	       0
2020_09_14	     109	       1	       0	       0
2020_09_15	     109	       1	       0	       0
2020_09_16	     110	       1	       1	       0
2020_09_17	     110	       1	       0	       0
2020_09_18	     111	       1	       1	       0
2020_09_19	     111	       1	       0	       0
2020_09_20	     112	       1	       1	       0
2020_09_21	     112	       1	       0	       0
2020_09_22	     113	       1	       1	       0
2020_09_23	     114	       1	       1	       0
2020_09_24	     114	       1	       0	       0
2020_09_25	     115	       1	       1	       0
2020_09_26	     116	       1	       1	       0
2020_09_27	     117	       1	       1	       0
2020_09_28	     117	       1	       0	       0
2020_09_29	     118	       1	       1	       0
2020_09_30	     119	       1	       1	       0
2020_10_01	     120	       1	       1	       0
2020_10_02	     121	       1	       1	       0
2020_10_03	     122	       1	       1	       0
2020_10_04	     123	       1	       1	       0
2020_10_05	     125	       1	       2	       0
2020_10_06	     127	       1	       2	       0
2020_10_07	     129	       1	       2	       0
2020_10_08	     131	       1	       2	       0
2020_10_09	     133	       1	       2	       0
2020_10_10	     135	       1	       2	       0
2020_10_11	     138	       1	       3	       0
2020_10_12	     150	       1	      12	       0
2020_10_13	     162	       1	      12	       0
2020_10_14	     174	       1	      12	       0
2020_10_15	     187	       1	      13	       0
