#
# COVID-19 Country file (official WHO count)
# Country = Lithuania
# Latitude = 55.0
# Population = 2852.478
# Territory = 65300.0
# LEB = 75.9
# DPA = 38000
# DPA65 = 27740
# GDP = 18290.0
# GDP_PPP = 35371.0
# COVID-19 Mortality = 1521.1
# First_Case = 2020_02_28
# Last_Case = 2021_06_13
# First_Death = 2020_03_21
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_28	       1	       0	       1	       0
2020_02_29	       1	       0	       0	       0
2020_03_01	       1	       0	       0	       0
2020_03_02	       1	       0	       0	       0
2020_03_03	       1	       0	       0	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       3	       0	       2	       0
2020_03_13	       3	       0	       0	       0
2020_03_14	       6	       0	       3	       0
2020_03_15	       9	       0	       3	       0
2020_03_16	      14	       0	       5	       0
2020_03_17	      17	       0	       3	       0
2020_03_18	      25	       0	       8	       0
2020_03_19	      26	       0	       1	       0
2020_03_20	      36	       0	      10	       0
2020_03_21	      69	       1	      33	       1
2020_03_22	     105	       1	      36	       0
2020_03_23	     143	       1	      38	       0
2020_03_24	     179	       1	      36	       0
2020_03_25	     209	       2	      30	       1
2020_03_26	     274	       4	      65	       2
2020_03_27	     299	       4	      25	       0
2020_03_28	     358	       5	      59	       1
2020_03_29	     394	       7	      36	       2
2020_03_30	     484	       7	      90	       0
2020_03_31	     484	       7	       0	       0
2020_04_01	     533	       7	      49	       0
2020_04_02	     581	       8	      48	       1
2020_04_03	     649	       9	      68	       1
2020_04_04	     771	       9	     122	       0
2020_04_05	     771	       9	       0	       0
2020_04_06	     811	      13	      40	       4
2020_04_07	     843	      14	      32	       1
2020_04_08	     880	      15	      37	       1
2020_04_09	     912	      15	      32	       0
2020_04_10	     955	      15	      43	       0
2020_04_11	     999	      17	      44	       2
2020_04_12	    1053	      23	      54	       6
2020_04_13	    1062	      24	       9	       1
2020_04_14	    1070	      24	       8	       0
2020_04_15	    1070	      24	       0	       0
2020_04_16	    1091	      29	      21	       5
2020_04_17	    1149	      32	      58	       3
2020_04_18	    1239	      33	      90	       1
2020_04_19	    1298	      33	      59	       0
2020_04_20	    1326	      36	      28	       3
2020_04_21	    1350	      37	      24	       1
2020_04_22	    1370	      38	      20	       1
2020_04_23	    1398	      38	      28	       0
2020_04_24	    1410	      40	      12	       2
2020_04_25	    1410	      40	       0	       0
2020_04_26	    1438	      41	      28	       1
2020_04_27	    1449	      41	      11	       0
2020_04_28	    1449	      41	       0	       0
2020_04_29	    1449	      44	       0	       3
2020_04_30	    1375	      45	     -74	       1
2020_05_01	    1385	      45	      10	       0
2020_05_02	    1399	      45	      14	       0
2020_05_03	    1406	      46	       7	       1
2020_05_04	    1410	      46	       4	       0
2020_05_05	    1419	      46	       9	       0
2020_05_06	    1423	      46	       4	       0
2020_05_07	    1428	      48	       5	       2
2020_05_08	    1433	      49	       5	       1
2020_05_09	    1436	      49	       3	       0
2020_05_10	    1444	      50	       8	       1
2020_05_11	    1479	      50	      35	       0
2020_05_12	    1485	      50	       6	       0
2020_05_13	    1491	      50	       6	       0
2020_05_14	    1505	      54	      14	       4
2020_05_15	    1511	      54	       6	       0
2020_05_16	    1523	      54	      12	       0
2020_05_17	    1534	      55	      11	       1
2020_05_18	    1541	      56	       7	       1
2020_05_19	    1547	      59	       6	       3
2020_05_20	    1562	      60	      15	       1
2020_05_21	    1577	      60	      15	       0
2020_05_22	    1594	      61	      17	       1
2020_05_23	    1604	      61	      10	       0
2020_05_24	    1616	      63	      12	       2
2020_05_25	    1623	      63	       7	       0
2020_05_26	    1635	      63	      12	       0
2020_05_27	    1639	      65	       4	       2
2020_05_28	    1647	      66	       8	       1
2020_05_29	    1656	      68	       9	       2
2020_05_30	    1662	      68	       6	       0
2020_05_31	    1670	      70	       8	       2
2020_06_01	    1675	      70	       5	       0
2020_06_02	    1678	      70	       3	       0
2020_06_03	    1682	      71	       4	       1
2020_06_04	    1684	      71	       2	       0
2020_06_05	    1687	      71	       3	       0
2020_06_06	    1694	      71	       7	       0
2020_06_07	    1705	      71	      11	       0
2020_06_08	    1714	      71	       9	       0
2020_06_09	    1720	      71	       6	       0
2020_06_10	    1727	      72	       7	       1
2020_06_11	    1733	      74	       6	       2
2020_06_12	    1752	      74	      19	       0
2020_06_13	    1756	      74	       4	       0
2020_06_14	    1763	      75	       7	       1
2020_06_15	    1768	      75	       5	       0
2020_06_16	    1773	      76	       5	       1
2020_06_17	    1776	      76	       3	       0
2020_06_18	    1778	      76	       2	       0
2020_06_19	    1784	      76	       6	       0
2020_06_20	    1792	      76	       8	       0
2020_06_21	    1795	      76	       3	       0
2020_06_22	    1798	      76	       3	       0
2020_06_23	    1801	      76	       3	       0
2020_06_24	    1803	      77	       2	       1
2020_06_25	    1804	      78	       1	       1
2020_06_26	    1806	      78	       2	       0
2020_06_27	    1808	      78	       2	       0
2020_06_28	    1813	      78	       5	       0
2020_06_29	    1816	      78	       3	       0
2020_06_30	    1816	      78	       0	       0
2020_07_01	    1817	      78	       1	       0
2020_07_02	    1818	      78	       1	       0
2020_07_03	    1825	      78	       7	       0
2020_07_04	    1828	      79	       3	       1
2020_07_05	    1831	      79	       3	       0
2020_07_06	    1836	      79	       5	       0
2020_07_07	    1841	      79	       5	       0
2020_07_08	    1844	      79	       3	       0
2020_07_09	    1854	      79	      10	       0
2020_07_10	    1857	      79	       3	       0
2020_07_11	    1861	      79	       4	       0
2020_07_12	    1865	      79	       4	       0
2020_07_13	    1869	      79	       4	       0
2020_07_14	    1874	      79	       5	       0
2020_07_15	    1875	      79	       1	       0
2020_07_16	    1882	      79	       7	       0
2020_07_17	    1902	      79	      20	       0
2020_07_18	    1908	      79	       6	       0
2020_07_19	    1915	      80	       7	       1
2020_07_20	    1932	      80	      17	       0
2020_07_21	    1947	      80	      15	       0
2020_07_22	    1949	      80	       2	       0
2020_07_23	    1960	      80	      11	       0
2020_07_24	    1960	      80	       0	       0
2020_07_25	    1986	      80	      26	       0
2020_07_26	    1986	      80	       0	       0
2020_07_27	    2008	      80	      22	       0
2020_07_28	    2019	      80	      11	       0
2020_07_29	    2027	      80	       8	       0
2020_07_30	    2043	      80	      16	       0
2020_07_31	    2062	      80	      19	       0
2020_08_01	    2075	      80	      13	       0
2020_08_02	    2093	      80	      18	       0
2020_08_03	    2110	      80	      17	       0
2020_08_04	    2120	      80	      10	       0
2020_08_05	    2137	      80	      17	       0
2020_08_06	    2147	      81	      10	       1
2020_08_07	    2171	      81	      24	       0
2020_08_08	    2194	      81	      23	       0
2020_08_09	    2231	      81	      37	       0
2020_08_10	    2252	      81	      21	       0
2020_08_11	    2265	      81	      13	       0
2020_08_12	    2283	      81	      18	       0
2020_08_13	    2309	      81	      26	       0
2020_08_14	    2330	      81	      21	       0
2020_08_15	    2352	      81	      22	       0
2020_08_16	    2386	      81	      34	       0
2020_08_17	    2415	      81	      29	       0
2020_08_18	    2445	      81	      30	       0
2020_08_19	    2475	      82	      30	       1
2020_08_20	    2504	      82	      29	       0
2020_08_21	    2534	      83	      30	       1
2020_08_22	    2564	      83	      30	       0
2020_08_23	    2594	      84	      30	       1
2020_08_24	    2629	      84	      35	       0
2020_08_25	    2664	      84	      35	       0
2020_08_26	    2699	      84	      35	       0
2020_08_27	    2734	      85	      35	       1
2020_08_28	    2769	      85	      35	       0
2020_08_29	    2804	      85	      35	       0
2020_08_30	    2839	      86	      35	       1
2020_08_31	    2867	      86	      28	       0
2020_09_01	    2896	      86	      29	       0
2020_09_02	    2925	      86	      29	       0
2020_09_03	    2953	      86	      28	       0
2020_09_04	    2982	      86	      29	       0
2020_09_05	    3011	      86	      29	       0
2020_09_06	    3040	      86	      29	       0
2020_09_07	    3076	      86	      36	       0
2020_09_08	    3113	      86	      37	       0
2020_09_09	    3149	      86	      36	       0
2020_09_10	    3186	      86	      37	       0
2020_09_11	    3222	      86	      36	       0
2020_09_12	    3259	      86	      37	       0
2020_09_13	    3296	      86	      37	       0
2020_09_14	    3348	      86	      52	       0
2020_09_15	    3401	      86	      53	       0
2020_09_16	    3453	      86	      52	       0
2020_09_17	    3506	      86	      53	       0
2020_09_18	    3558	      86	      52	       0
2020_09_19	    3611	      86	      53	       0
2020_09_20	    3664	      87	      53	       1
2020_09_21	    3754	      87	      90	       0
2020_09_22	    3844	      87	      90	       0
2020_09_23	    3934	      87	      90	       0
2020_09_24	    4024	      88	      90	       1
2020_09_25	    4114	      88	      90	       0
2020_09_26	    4204	      88	      90	       0
2020_09_27	    4295	      89	      91	       1
2020_09_28	    4407	      89	     112	       0
2020_09_29	    4519	      90	     112	       1
2020_09_30	    4631	      91	     112	       1
2020_10_01	    4744	      91	     113	       0
2020_10_02	    4856	      92	     112	       1
2020_10_03	    4968	      93	     112	       1
2020_10_04	    5081	      94	     113	       1
2020_10_05	    5207	      95	     126	       1
2020_10_06	    5333	      96	     126	       1
2020_10_07	    5459	      97	     126	       1
2020_10_08	    5585	      99	     126	       2
2020_10_09	    5711	     100	     126	       1
2020_10_10	    5837	     101	     126	       1
2020_10_11	    5963	     103	     126	       2
2020_10_12	    6214	     104	     251	       1
2020_10_13	    6466	     105	     252	       1
2020_10_14	    6718	     107	     252	       2
2020_10_15	    6970	     108	     252	       1
2020_10_16	    7222	     110	     252	       2
2020_10_17	    7474	     111	     252	       1
2020_10_18	    7726	     113	     252	       2
2020_10_19	    8186	     116	     460	       3
2020_10_20	    8646	     119	     460	       3
2020_10_21	    9107	     122	     461	       3
2020_10_22	    9567	     126	     460	       4
2020_10_23	   10028	     129	     461	       3
2020_10_24	   10488	     132	     460	       3
2020_10_25	   10949	     136	     461	       4
2020_10_26	   11502	     140	     553	       4
2020_10_27	   12056	     144	     554	       4
2020_10_28	   12609	     148	     553	       4
2020_10_29	   13163	     152	     554	       4
2020_10_30	   13716	     156	     553	       4
2020_10_31	   14270	     160	     554	       4
2020_11_01	   14824	     165	     554	       5
2020_11_02	   15951	     170	    1127	       5
2020_11_03	   17079	     175	    1128	       5
2020_11_04	   18207	     181	    1128	       6
2020_11_05	   19335	     186	    1128	       5
2020_11_06	   20463	     192	    1128	       6
2020_11_07	   21591	     197	    1128	       5
