#
# COVID-19 Country file (official WHO count)
# Country = Luxembourg
# Latitude = 50.0
# Population = 603.944
# Territory = 2586.0
# LEB = 82.2
# DPA = 4000
# DPA65 = 3240
# GDP = 112214.0
# GDP_PPP = 111494.0
# COVID-19 Mortality = 205.3
# First_Case = 2020_03_02
# First_Death = 2020_03_14
# Last_Case = 2020_03_14
# Last_Death = 2020_03_14
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_02	1	0
2020_03_03	1	0
2020_03_04	1	0
2020_03_05	1	0
2020_03_06	1	0
2020_03_07	2	0
2020_03_08	2	0
2020_03_09	2	0
2020_03_10	5	0
2020_03_11	5	0
2020_03_12	17	0
2020_03_13	17	0
2020_03_14	38	1
2020_03_15	38	1
2020_03_16	38	1
2020_03_17	81	1
2020_03_18	140	1
2020_03_19	210	2
2020_03_20	345	4
2020_03_21	484	5
2020_03_22	670	8
2020_03_23	798	8
2020_03_24	875	8
2020_03_25	1099	8
2020_03_26	1333	8
2020_03_27	1453	9
2020_03_28	1605	15
2020_03_29	1831	18
2020_03_30	1950	21
2020_03_31	1988	22
2020_04_01	2178	23
2020_04_02	2319	29
2020_04_03	2487	30
2020_04_04	2612	31
2020_04_05	2729	31
2020_04_06	2804	36
2020_04_07	2843	41
2020_04_08	2970	44
2020_04_09	3034	46
2020_04_10	3115	52
2020_04_11	3223	54
2020_04_12	3270	62
2020_04_13	3281	66
2020_04_14	3292	69
2020_04_15	3307	69
2020_04_16	3373	69
2020_04_17	3444	69
2020_04_18	3480	72
2020_04_19	3537	72
2020_04_20	3550	73
2020_04_21	3558	75
2020_04_22	3618	78
2020_04_23	3654	80
2020_04_24	3665	83
2020_04_25	3695	85
2020_04_26	3711	85
2020_04_27	3723	88
2020_04_28	3729	88
2020_04_29	3741	89
2020_04_30	3769	89
2020_05_01	3784	90
2020_05_02	3802	92
2020_05_03	3812	92
2020_05_04	3824	96
2020_05_05	3828	96
2020_05_06	3840	96
2020_05_07	3851	98
2020_05_08	3859	100
2020_05_09	3871	100
2020_05_10	3877	101
2020_05_11	3886	101
2020_05_12	3888	101
2020_05_13	3894	102
2020_05_14	3904	103
2020_05_15	3915	103
2020_05_16	3923	104
2020_05_17	3930	104
2020_05_18	3945	107
2020_05_19	3947	107
2020_05_20	3958	109
2020_05_21	3971	109
2020_05_22	3980	109
2020_05_23	3981	109
2020_05_24	3990	109
2020_05_25	3992	110
2020_05_26	3993	110
2020_05_27	3995	110
2020_05_28	4001	110
2020_05_29	4008	110
2020_05_30	4012	110
2020_05_31	4016	110
2020_06_01	4018	110
2020_06_02	4019	110
2020_06_03	4020	110
2020_06_04	4020	110
2020_06_05	4027	110
2020_06_06	4032	110
2020_06_07	4035	110
2020_06_08	4039	110
2020_06_09	4040	110
2020_06_10	4046	110
2020_06_11	4049	110
2020_06_12	4052	110
2020_06_13	4055	110
2020_06_14	4063	110
2020_06_15	4070	110
2020_06_16	4072	110
2020_06_17	4075	110
2020_06_18	4085	110
2020_06_19	4091	110
2020_06_20	4099	110
2020_06_21	4105	110
2020_06_22	4120	110
2020_06_23	4121	110
2020_06_24	4133	110
2020_06_25	4140	110
2020_06_26	4151	110
2020_06_27	4173	110
2020_06_28	4217	110
2020_06_29	4242	110
2020_06_30	4256	110
2020_07_01	4299	110
2020_07_02	4345	110
2020_07_03	4395	110
2020_07_04	4447	110
2020_07_05	4476	110
2020_07_06	4522	110
2020_07_07	4542	110
2020_07_08	4603	110
2020_07_09	4650	110
2020_07_10	4719	110
2020_07_11	4777	110
2020_07_12	4842	110
2020_07_13	4925	111
2020_07_14	4956	111
2020_07_15	4956	111
2020_07_16	5056	111
2020_07_17	5122	111
2020_07_18	5285	111
2020_07_19	5409	111
2020_07_20	5483	111
2020_07_21	5605	111
2020_07_22	5725	111
2020_07_23	5854	111
2020_07_24	5952	112
2020_07_25	6056	112
2020_07_26	6056	112
2020_07_27	6272	112
2020_07_28	6321	112
2020_07_29	6375	113
2020_07_30	6533	114
2020_07_31	6616	114
2020_08_01	6695	114
2020_08_02	6695	114
2020_08_03	6695	117
2020_08_04	6864	118
2020_08_05	6917	118
2020_08_06	7007	118
2020_08_07	7073	119
2020_08_08	7113	119
2020_08_09	7113	119
2020_08_10	7113	119
2020_08_11	7216	121
2020_08_12	7242	122
2020_08_13	7300	122
2020_08_14	7368	122
2020_08_15	7405	122
2020_08_16	7439	123
2020_08_17	7476	123
2020_08_18	7513	123
2020_08_19	7550	123
2020_08_20	7587	123
2020_08_21	7624	123
2020_08_22	7661	123
2020_08_23	7704	124
