#
# COVID-19 Country file (official WHO count)
# Country = Madagascar
# Latitude = -19.0
# Population = 27690.798
# Territory = 587041.0
# LEB = 67.0
# DPA = 160000
# DPA65 = 49600
# GDP = 503.0
# GDP_PPP = 1756.0
# COVID-19 Mortality = 6.4
# First_Case = 2020_03_22
# First_Death = 2020_05_18
# Last_Case = 2020_05_18
# Last_Death = 2020_05_18
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_22	3	0
2020_03_23	12	0
2020_03_24	13	0
2020_03_25	19	0
2020_03_26	19	0
2020_03_27	24	0
2020_03_28	26	0
2020_03_29	26	0
2020_03_30	37	0
2020_03_31	46	0
2020_04_01	53	0
2020_04_02	53	0
2020_04_03	65	0
2020_04_04	65	0
2020_04_05	70	0
2020_04_06	77	0
2020_04_07	77	0
2020_04_08	92	0
2020_04_09	93	0
2020_04_10	95	0
2020_04_11	95	0
2020_04_12	104	0
2020_04_13	106	0
2020_04_14	106	0
2020_04_15	110	0
2020_04_16	110	0
2020_04_17	117	0
2020_04_18	117	0
2020_04_19	120	0
2020_04_20	121	0
2020_04_21	121	0
2020_04_22	121	0
2020_04_23	121	0
2020_04_24	121	0
2020_04_25	122	0
2020_04_26	124	0
2020_04_27	128	0
2020_04_28	128	0
2020_04_29	128	0
2020_04_30	128	0
2020_05_01	132	0
2020_05_02	135	0
2020_05_03	149	0
2020_05_04	151	0
2020_05_05	158	0
2020_05_06	158	0
2020_05_07	193	0
2020_05_08	193	0
2020_05_09	169	0
2020_05_10	169	0
2020_05_11	169	0
2020_05_12	186	0
2020_05_13	192	0
2020_05_14	212	0
2020_05_15	230	0
2020_05_16	238	0
2020_05_17	283	0
2020_05_18	304	1
2020_05_19	322	1
2020_05_20	326	2
2020_05_21	371	2
2020_05_22	405	2
2020_05_23	448	2
2020_05_24	488	2
2020_05_25	527	2
2020_05_26	542	2
2020_05_27	586	2
2020_05_28	612	2
2020_05_29	656	2
2020_05_30	698	5
2020_05_31	758	6
2020_06_01	771	6
2020_06_02	826	6
2020_06_03	845	6
2020_06_04	908	6
2020_06_05	957	7
2020_06_06	975	7
2020_06_07	1026	8
2020_06_08	1052	9
2020_06_09	1094	9
2020_06_10	1138	9
2020_06_11	1162	10
2020_06_12	1203	10
2020_06_13	1230	10
2020_06_14	1252	10
2020_06_15	1272	10
2020_06_16	1290	10
2020_06_17	1317	12
2020_06_18	1378	12
2020_06_19	1403	13
2020_06_20	1443	13
2020_06_21	1503	13
2020_06_22	1596	14
2020_06_23	1640	15
2020_06_24	1640	15
2020_06_25	1787	16
2020_06_26	1829	16
2020_06_27	1829	16
2020_06_28	2005	16
2020_06_29	2078	18
2020_06_30	2138	20
2020_07_01	2214	20
2020_07_02	2303	22
2020_07_03	2403	24
2020_07_04	2512	26
2020_07_05	2728	29
2020_07_06	2941	32
2020_07_07	3250	33
2020_07_08	3472	33
2020_07_09	3573	33
2020_07_10	3782	33
2020_07_11	4143	34
2020_07_12	4578	34
2020_07_13	4867	35
2020_07_14	5080	37
2020_07_15	5343	39
2020_07_16	5605	43
2020_07_17	6089	53
2020_07_18	6467	54
2020_07_19	6849	55
2020_07_20	7049	59
2020_07_21	7153	62
2020_07_22	7548	65
2020_07_23	8162	69
2020_07_24	8381	70
2020_07_25	8741	76
2020_07_26	8741	76
2020_07_27	9295	85
2020_07_28	9690	91
2020_07_29	10104	93
2020_07_30	10317	99
2020_07_31	10748	105
2020_08_01	10868	106
2020_08_02	11273	107
2020_08_03	11528	114
2020_08_04	11660	118
2020_08_05	11895	123
2020_08_06	12222	127
2020_08_07	12526	134
2020_08_08	12708	135
2020_08_09	12922	141
2020_08_10	13086	148
2020_08_11	13202	151
2020_08_12	13317	152
2020_08_13	13397	156
2020_08_14	13522	162
2020_08_15	13643	164
2020_08_16	13724	166
2020_08_17	13803	167
2020_08_18	13882	168
2020_08_19	13961	169
2020_08_20	14040	170
2020_08_21	14119	171
2020_08_22	14198	172
2020_08_23	14277	178
