#
# COVID-19 Country file (official WHO count)
# Country = Malawi
# Latitude = -14.0
# Population = 20283.691
# Territory = 118484.0
# LEB = 64.3
# DPA = 120000
# DPA65 = 31200
# GDP = 366.0
# GDP_PPP = 1268.0
# COVID-19 Mortality = 8.3
# First_Case = 2020_04_03
# First_Death = 2020_04_08
# Last_Case = 2020_04_08
# Last_Death = 2020_04_08
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_04_03	3	0
2020_04_04	3	0
2020_04_05	3	0
2020_04_06	4	0
2020_04_07	4	0
2020_04_08	8	1
2020_04_09	8	1
2020_04_10	8	1
2020_04_11	9	1
2020_04_12	12	2
2020_04_13	13	2
2020_04_14	16	2
2020_04_15	16	2
2020_04_16	16	2
2020_04_17	16	2
2020_04_18	17	2
2020_04_19	17	2
2020_04_20	17	2
2020_04_21	17	2
2020_04_22	18	2
2020_04_23	23	3
2020_04_24	33	3
2020_04_25	33	3
2020_04_26	33	3
2020_04_27	34	3
2020_04_28	36	3
2020_04_29	36	3
2020_04_30	36	3
2020_05_01	37	3
2020_05_02	37	3
2020_05_03	38	3
2020_05_04	39	3
2020_05_05	41	3
2020_05_06	41	3
2020_05_07	43	3
2020_05_08	43	3
2020_05_09	43	3
2020_05_10	56	3
2020_05_11	56	3
2020_05_12	57	3
2020_05_13	58	3
2020_05_14	63	3
2020_05_15	63	3
2020_05_16	63	3
2020_05_17	65	3
2020_05_18	70	3
2020_05_19	70	3
2020_05_20	71	3
2020_05_21	72	3
2020_05_22	72	3
2020_05_23	82	3
2020_05_24	83	4
2020_05_25	83	4
2020_05_26	101	4
2020_05_27	101	4
2020_05_28	101	4
2020_05_29	203	4
2020_05_30	273	4
2020_05_31	279	4
2020_06_01	284	4
2020_06_02	336	4
2020_06_03	358	4
2020_06_04	369	4
2020_06_05	393	4
2020_06_06	409	4
2020_06_07	409	4
2020_06_08	438	4
2020_06_09	443	4
2020_06_10	455	4
2020_06_11	455	4
2020_06_12	481	4
2020_06_13	481	4
2020_06_14	529	5
2020_06_15	547	6
2020_06_16	556	6
2020_06_17	564	6
2020_06_18	572	6
2020_06_19	592	8
2020_06_20	648	8
2020_06_21	730	11
2020_06_22	730	11
2020_06_23	745	11
2020_06_24	803	11
2020_06_25	848	11
2020_06_26	960	12
2020_06_27	1005	13
2020_06_28	1038	13
2020_06_29	1152	13
2020_06_30	1224	14
2020_07_01	1265	16
2020_07_02	1342	16
2020_07_03	1402	16
2020_07_04	1498	16
2020_07_05	1613	17
2020_07_06	1742	19
2020_07_07	1818	19
2020_07_08	1877	24
2020_07_09	1942	25
2020_07_10	1986	29
2020_07_11	2069	31
2020_07_12	2261	33
2020_07_13	2364	38
2020_07_14	2430	39
2020_07_15	2497	40
2020_07_16	2614	43
2020_07_17	2716	51
2020_07_18	2810	55
2020_07_19	2907	59
2020_07_20	2992	62
2020_07_21	3045	64
2020_07_22	3149	71
2020_07_23	3302	76
2020_07_24	3386	79
2020_07_25	3454	87
2020_07_26	3454	87
2020_07_27	3664	99
2020_07_28	3709	103
2020_07_29	3738	103
2020_07_30	3858	107
2020_07_31	3981	109
2020_08_01	4078	114
2020_08_02	4186	120
2020_08_03	4231	123
2020_08_04	4273	123
2020_08_05	4361	128
2020_08_06	4426	136
2020_08_07	4491	137
2020_08_08	4575	137
2020_08_09	4624	143
2020_08_10	4658	146
2020_08_11	4674	146
2020_08_12	4714	152
2020_08_13	4752	152
2020_08_14	4912	153
2020_08_15	4988	156
2020_08_16	5026	157
2020_08_17	5076	158
2020_08_18	5126	159
2020_08_19	5176	160
2020_08_20	5226	161
2020_08_21	5276	162
2020_08_22	5326	163
2020_08_23	5382	168
