#
# COVID-19 Country file (official WHO count)
# Country = Mali
# Latitude = 13.0
# Population = 20284.180
# Territory = 1240192.0
# LEB = 59.3
# DPA = 186000
# DPA65 = 35340
# GDP = 882.0
# GDP_PPP = 2362.0
# COVID-19 Mortality = 25.8
# First_Case = 2020_03_26
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_26	       2	       0	       2	       0
2020_03_27	       2	       0	       0	       0
2020_03_28	       9	       0	       7	       0
2020_03_29	      18	       0	       9	       0
2020_03_30	      18	       0	       0	       0
2020_03_31	      18	       0	       0	       0
2020_04_01	      18	       0	       0	       0
2020_04_02	      28	       0	      10	       0
2020_04_03	      28	       3	       0	       3
2020_04_04	      36	       3	       8	       0
2020_04_05	      39	       4	       3	       1
2020_04_06	      39	       4	       0	       0
2020_04_07	      39	       4	       0	       0
2020_04_08	      47	       5	       8	       1
2020_04_09	      56	       6	       9	       1
2020_04_10	      59	       7	       3	       1
2020_04_11	      74	       7	      15	       0
2020_04_12	      87	       7	      13	       0
2020_04_13	      87	       7	       0	       0
2020_04_14	     116	       9	      29	       2
2020_04_15	     123	      10	       7	       1
2020_04_16	     144	      13	      21	       3
2020_04_17	     171	      13	      27	       0
2020_04_18	     190	      13	      19	       0
2020_04_19	     216	      13	      26	       0
2020_04_20	     224	      14	       8	       1
2020_04_21	     246	      14	      22	       0
2020_04_22	     258	      14	      12	       0
2020_04_23	     293	      17	      35	       3
2020_04_24	     309	      21	      16	       4
2020_04_25	     325	      21	      16	       0
2020_04_26	     370	      21	      45	       0
2020_04_27	     389	      23	      19	       2
2020_04_28	     408	      23	      19	       0
2020_04_29	     424	      24	      16	       1
2020_04_30	     482	      25	      58	       1
2020_05_01	     490	      26	       8	       1
2020_05_02	     508	      26	      18	       0
2020_05_03	     544	      26	      36	       0
2020_05_04	     563	      27	      19	       1
2020_05_05	     580	      29	      17	       2
2020_05_06	     612	      32	      32	       3
2020_05_07	     631	      32	      19	       0
2020_05_08	     650	      32	      19	       0
2020_05_09	     668	      35	      18	       3
2020_05_10	     692	      37	      24	       2
2020_05_11	     704	      38	      12	       1
2020_05_12	     712	      39	       8	       1
2020_05_13	     730	      40	      18	       1
2020_05_14	     758	      44	      28	       4
2020_05_15	     779	      46	      21	       2
2020_05_16	     806	      46	      27	       0
2020_05_17	     835	      48	      29	       2
2020_05_18	     860	      52	      25	       4
2020_05_19	     874	      52	      14	       0
