#
# COVID-19 Country file (official WHO count)
# Country = Malta
# Latitude = 36.0
# Population = 434.363
# Territory = 316.0
# LEB = 82.5
# DPA = 4000
# DPA65 = 3440
# GDP = 29962.0
# GDP_PPP = 44890.0
# COVID-19 Mortality = 964.6
# First_Case = 2020_03_08
# Last_Case = 2021_06_13
# First_Death = 2020_04_09
# Last_Death = 2021_05_30
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2021_01_17
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_08	       3	       0	       3	       0
2020_03_09	       3	       0	       0	       0
2020_03_10	       4	       0	       1	       0
2020_03_11	       4	       0	       0	       0
2020_03_12	       6	       0	       2	       0
2020_03_13	       9	       0	       3	       0
2020_03_14	      12	       0	       3	       0
2020_03_15	      12	       0	       0	       0
2020_03_16	      21	       0	       9	       0
2020_03_17	      30	       0	       9	       0
2020_03_18	      38	       0	       8	       0
2020_03_19	      48	       0	      10	       0
2020_03_20	      53	       0	       5	       0
2020_03_21	      64	       0	      11	       0
2020_03_22	      73	       0	       9	       0
2020_03_23	      90	       0	      17	       0
2020_03_24	     107	       0	      17	       0
2020_03_25	     120	       0	      13	       0
2020_03_26	     129	       0	       9	       0
2020_03_27	     134	       0	       5	       0
2020_03_28	     139	       0	       5	       0
2020_03_29	     139	       0	       0	       0
2020_03_30	     151	       0	      12	       0
2020_03_31	     156	       0	       5	       0
2020_04_01	     167	       0	      11	       0
2020_04_02	     188	       0	      21	       0
2020_04_03	     195	       0	       7	       0
2020_04_04	     202	       0	       7	       0
2020_04_05	     213	       0	      11	       0
2020_04_06	     234	       0	      21	       0
2020_04_07	     241	       0	       7	       0
2020_04_08	     293	       0	      52	       0
2020_04_09	     299	       1	       6	       1
2020_04_10	     337	       2	      38	       1
2020_04_11	     350	       2	      13	       0
2020_04_12	     370	       3	      20	       1
2020_04_13	     378	       3	       8	       0
2020_04_14	     384	       3	       6	       0
2020_04_15	     393	       3	       9	       0
2020_04_16	     399	       3	       6	       0
2020_04_17	     412	       3	      13	       0
2020_04_18	     422	       3	      10	       0
2020_04_19	     426	       3	       4	       0
2020_04_20	     427	       3	       1	       0
2020_04_21	     431	       3	       4	       0
2020_04_22	     443	       3	      12	       0
2020_04_23	     444	       3	       1	       0
2020_04_24	     445	       3	       1	       0
2020_04_25	     447	       3	       2	       0
2020_04_26	     448	       4	       1	       1
2020_04_27	     448	       4	       0	       0
2020_04_28	     450	       4	       2	       0
2020_04_29	     450	       4	       0	       0
2020_04_30	     463	       4	      13	       0
2020_05_01	     465	       4	       2	       0
2020_05_02	     467	       4	       2	       0
2020_05_03	     467	       4	       0	       0
2020_05_04	     477	       4	      10	       0
2020_05_05	     480	       4	       3	       0
2020_05_06	     482	       5	       2	       1
2020_05_07	     484	       5	       2	       0
2020_05_08	     486	       5	       2	       0
2020_05_09	     489	       5	       3	       0
2020_05_10	     490	       5	       1	       0
2020_05_11	     496	       5	       6	       0
2020_05_12	     503	       5	       7	       0
2020_05_13	     503	       5	       0	       0
2020_05_14	     508	       6	       5	       1
2020_05_15	     522	       6	      14	       0
2020_05_16	     532	       6	      10	       0
2020_05_17	     546	       6	      14	       0
2020_05_18	     553	       6	       7	       0
2020_05_19	     558	       6	       5	       0
2020_05_20	     560	       6	       2	       0
2020_05_21	     584	       6	      24	       0
2020_05_22	     599	       6	      15	       0
2020_05_23	     600	       6	       1	       0
2020_05_24	     609	       6	       9	       0
2020_05_25	     610	       6	       1	       0
2020_05_26	     611	       6	       1	       0
2020_05_27	     611	       6	       0	       0
2020_05_28	     615	       7	       4	       1
2020_05_29	     616	       7	       1	       0
2020_05_30	     616	       7	       0	       0
2020_05_31	     616	       7	       0	       0
2020_06_01	     616	       7	       0	       0
2020_06_02	     619	       9	       3	       2
2020_06_03	     620	       9	       1	       0
2020_06_04	     622	       9	       2	       0
2020_06_05	     622	       9	       0	       0
2020_06_06	     622	       9	       0	       0
2020_06_07	     622	       9	       0	       0
2020_06_08	     629	       9	       7	       0
2020_06_09	     630	       9	       1	       0
2020_06_10	     634	       9	       4	       0
2020_06_11	     635	       9	       1	       0
2020_06_12	     640	       9	       5	       0
2020_06_13	     645	       9	       5	       0
2020_06_14	     646	       9	       1	       0
2020_06_15	     646	       9	       0	       0
2020_06_16	     649	       9	       3	       0
2020_06_17	     656	       9	       7	       0
2020_06_18	     662	       9	       6	       0
2020_06_19	     663	       9	       1	       0
2020_06_20	     663	       9	       0	       0
2020_06_21	     664	       9	       1	       0
2020_06_22	     665	       9	       1	       0
2020_06_23	     665	       9	       0	       0
2020_06_24	     665	       9	       0	       0
2020_06_25	     665	       9	       0	       0
2020_06_26	     668	       9	       3	       0
2020_06_27	     670	       9	       2	       0
2020_06_28	     670	       9	       0	       0
2020_06_29	     670	       9	       0	       0
2020_06_30	     670	       9	       0	       0
2020_07_01	     670	       9	       0	       0
2020_07_02	     670	       9	       0	       0
2020_07_03	     670	       9	       0	       0
2020_07_04	     672	       9	       2	       0
2020_07_05	     672	       9	       0	       0
2020_07_06	     672	       9	       0	       0
2020_07_07	     672	       9	       0	       0
2020_07_08	     673	       9	       1	       0
2020_07_09	     673	       9	       0	       0
2020_07_10	     674	       9	       1	       0
2020_07_11	     674	       9	       0	       0
2020_07_12	     674	       9	       0	       0
2020_07_13	     674	       9	       0	       0
2020_07_14	     674	       9	       0	       0
2020_07_15	     674	       9	       0	       0
2020_07_16	     674	       9	       0	       0
2020_07_17	     674	       9	       0	       0
2020_07_18	     674	       9	       0	       0
2020_07_19	     674	       9	       0	       0
2020_07_20	     676	       9	       2	       0
2020_07_21	     677	       9	       1	       0
2020_07_22	     677	       9	       0	       0
2020_07_23	     679	       9	       2	       0
2020_07_24	     680	       9	       1	       0
2020_07_25	     686	       9	       6	       0
2020_07_26	     686	       9	       0	       0
2020_07_27	     700	       9	      14	       0
2020_07_28	     701	       9	       1	       0
2020_07_29	     708	       9	       7	       0
2020_07_30	     786	       9	      78	       0
2020_07_31	     814	       9	      28	       0
2020_08_01	     824	       9	      10	       0
2020_08_02	     845	       9	      21	       0
2020_08_03	     795	       9	     -50	       0
2020_08_04	     809	       9	      14	       0
2020_08_05	     825	       9	      16	       0
2020_08_06	     842	       9	      17	       0
2020_08_07	     846	       9	       4	       0
2020_08_08	     895	       9	      49	       0
2020_08_09	     935	       9	      40	       0
2020_08_10	     989	       9	      54	       0
2020_08_11	    1012	       9	      23	       0
2020_08_12	    1012	       9	       0	       0
2020_08_13	    1089	       9	      77	       0
2020_08_14	    1144	       9	      55	       0
2020_08_15	    1175	       9	      31	       0
2020_08_16	    1247	       9	      72	       0
2020_08_17	    1294	       9	      47	       0
2020_08_18	    1341	       9	      47	       0
2020_08_19	    1388	       9	      47	       0
2020_08_20	    1435	       9	      47	       0
2020_08_21	    1482	       9	      47	       0
