#
# COVID-19 Country file (official WHO count)
# Country = Martinique
# Latitude = 15.0
# Population = 385.457
# Territory = 1128.0
# LEB = 82.5
# DPA = 3000
# DPA65 = 2520
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 256.8
# First_Case = 2020_03_08
# Last_Case = 2021_06_13
# First_Death = 2020_03_26
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_08	       2	       0	       2	       0
2020_03_09	       2	       0	       0	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       3	       0	       1	       0
2020_03_12	       3	       0	       0	       0
2020_03_13	       4	       0	       1	       0
2020_03_14	       6	       0	       2	       0
2020_03_15	      10	       0	       4	       0
2020_03_16	      15	       0	       5	       0
2020_03_17	      16	       0	       1	       0
2020_03_18	      16	       0	       0	       0
2020_03_19	      23	       0	       7	       0
2020_03_20	      32	       0	       9	       0
2020_03_21	      32	       0	       0	       0
2020_03_22	      32	       0	       0	       0
2020_03_23	      32	       0	       0	       0
2020_03_24	      53	       0	      21	       0
2020_03_25	      57	       0	       4	       0
2020_03_26	      66	       1	       9	       1
2020_03_27	      66	       1	       0	       0
2020_03_28	      93	       1	      27	       0
2020_03_29	      93	       1	       0	       0
2020_03_30	     105	       2	      12	       1
2020_03_31	     111	       2	       6	       0
2020_04_01	     119	       2	       8	       0
2020_04_02	     128	       3	       9	       1
2020_04_03	     131	       3	       3	       0
2020_04_04	     138	       3	       7	       0
2020_04_05	     145	       3	       7	       0
2020_04_06	     145	       3	       0	       0
2020_04_07	     149	       4	       4	       1
2020_04_08	     151	       4	       2	       0
2020_04_09	     152	       4	       1	       0
2020_04_10	     154	       6	       2	       2
2020_04_11	     154	       6	       0	       0
2020_04_12	     155	       6	       1	       0
2020_04_13	     156	       6	       1	       0
2020_04_14	     157	       8	       1	       2
2020_04_15	     157	       8	       0	       0
2020_04_16	     158	       8	       1	       0
