#
# COVID-19 Country file (official WHO count)
# Country = Mauritania
# Latitude = -20.0
# Population = 4783.767
# Territory = 1030700.0
# LEB = 64.9
# DPA = 32000
# DPA65 = 9280
# GDP = 1237.0
# GDP_PPP = 4603.0
# COVID-19 Mortality = 99.3
# First_Case = 2020_03_15
# Last_Case = 2021_06_13
# First_Death = 2020_04_04
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_15	       1	       0	       1	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       2	       0	       1	       0
2020_03_20	       2	       0	       0	       0
2020_03_21	       2	       0	       0	       0
2020_03_22	       2	       0	       0	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	       2	       0	       0	       0
2020_03_25	       2	       0	       0	       0
2020_03_26	       2	       0	       0	       0
2020_03_27	       3	       0	       1	       0
2020_03_28	       3	       0	       0	       0
2020_03_29	       5	       0	       2	       0
2020_03_30	       5	       0	       0	       0
2020_03_31	       5	       0	       0	       0
2020_04_01	       5	       0	       0	       0
2020_04_02	       5	       0	       0	       0
2020_04_03	       5	       0	       0	       0
2020_04_04	       6	       1	       1	       1
2020_04_05	       6	       1	       0	       0
2020_04_06	       6	       1	       0	       0
2020_04_07	       6	       1	       0	       0
2020_04_08	       6	       1	       0	       0
2020_04_09	       6	       1	       0	       0
2020_04_10	       6	       1	       0	       0
2020_04_11	       7	       1	       1	       0
2020_04_12	       7	       1	       0	       0
2020_04_13	       7	       1	       0	       0
2020_04_14	       7	       1	       0	       0
2020_04_15	       7	       1	       0	       0
2020_04_16	       7	       1	       0	       0
2020_04_17	       7	       1	       0	       0
2020_04_18	       7	       1	       0	       0
2020_04_19	       7	       1	       0	       0
2020_04_20	       7	       1	       0	       0
2020_04_21	       7	       1	       0	       0
2020_04_22	       7	       1	       0	       0
2020_04_23	       7	       1	       0	       0
2020_04_24	       7	       1	       0	       0
2020_04_25	       7	       1	       0	       0
2020_04_26	       7	       1	       0	       0
2020_04_27	       7	       1	       0	       0
2020_04_28	       7	       1	       0	       0
2020_04_29	       7	       1	       0	       0
2020_04_30	       7	       1	       0	       0
2020_05_01	       8	       1	       1	       0
2020_05_02	       8	       1	       0	       0
2020_05_03	       8	       1	       0	       0
2020_05_04	       8	       1	       0	       0
2020_05_05	       8	       1	       0	       0
2020_05_06	       8	       1	       0	       0
2020_05_07	       8	       1	       0	       0
2020_05_08	       8	       1	       0	       0
2020_05_09	       8	       1	       0	       0
2020_05_10	       8	       1	       0	       0
2020_05_11	       8	       1	       0	       0
2020_05_12	       8	       1	       0	       0
2020_05_13	       8	       1	       0	       0
2020_05_14	       9	       1	       1	       0
2020_05_15	      16	       2	       7	       1
2020_05_16	      29	       3	      13	       1
2020_05_17	      40	       4	      11	       1
2020_05_18	      62	       4	      22	       0
2020_05_19	      81	       4	      19	       0
2020_05_20	     131	       4	      50	       0
2020_05_21	     141	       4	      10	       0
2020_05_22	     173	       5	      32	       1
2020_05_23	     173	       5	       0	       0
2020_05_24	     227	       6	      54	       1
2020_05_25	     237	       6	      10	       0
2020_05_26	     262	       9	      25	       3
2020_05_27	     262	       9	       0	       0
2020_05_28	     292	      16	      30	       7
2020_05_29	     346	      19	      54	       3
2020_05_30	     423	      20	      77	       1
2020_05_31	     483	      21	      60	       1
2020_06_01	     530	      23	      47	       2
2020_06_02	     530	      23	       0	       0
2020_06_03	     588	      26	      58	       3
2020_06_04	     668	      31	      80	       5
2020_06_05	     784	      39	     116	       8
2020_06_06	     883	      43	      99	       4
2020_06_07	     947	      43	      64	       0
2020_06_08	     947	      43	       0	       0
2020_06_09	    1049	      43	     102	       0
2020_06_10	    1162	      63	     113	      20
2020_06_11	    1283	      71	     121	       8
2020_06_12	    1283	      71	       0	       0
2020_06_13	    1439	      74	     156	       3
2020_06_14	    1573	      81	     134	       7
2020_06_15	    1783	      87	     210	       6
2020_06_16	    1783	      87	       0	       0
2020_06_17	    1887	      91	     104	       4
2020_06_18	    2057	      93	     170	       2
2020_06_19	    2223	      95	     166	       2
2020_06_20	    2424	      97	     201	       2
2020_06_21	    2621	     102	     197	       5
2020_06_22	    2813	     108	     192	       6
2020_06_23	    2984	     111	     171	       3
2020_06_24	    3121	     112	     137	       1
2020_06_25	    3292	     114	     171	       2
2020_06_26	    3519	     116	     227	       2
2020_06_27	    3739	     119	     220	       3
2020_06_28	    3907	     120	     168	       1
2020_06_29	    3907	     120	       0	       0
2020_06_30	    4149	     126	     242	       6
2020_07_01	    4237	     128	      88	       2
2020_07_02	    4472	     129	     235	       1
2020_07_03	    4606	     129	     134	       0
2020_07_04	    4705	     129	      99	       0
2020_07_05	    4705	     129	       0	       0
