#
# COVID-19 Country file (official WHO count)
# Country = Mauritius
# Latitude = -20.0
# Population = 1274.114
# Territory = 2040.0
# LEB = 75.0
# DPA = 11000
# DPA65 = 6820
# GDP = 11055.0
# GDP_PPP = 23937.0
# COVID-19 Mortality = 7.8
# First_Case = 2020_03_19
# First_Death = 2020_03_25
# Last_Case = 2020_03_25
# Last_Death = 2020_03_25
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_19	3	0
2020_03_20	7	0
2020_03_21	12	0
2020_03_22	12	0
2020_03_23	12	0
2020_03_24	36	0
2020_03_25	42	2
2020_03_26	47	2
2020_03_27	81	2
2020_03_28	96	2
2020_03_29	102	2
2020_03_30	102	2
2020_03_31	107	2
2020_04_01	143	5
2020_04_02	154	5
2020_04_03	169	7
2020_04_04	186	7
2020_04_05	196	7
2020_04_06	227	7
2020_04_07	244	7
2020_04_08	268	7
2020_04_09	273	7
2020_04_10	314	7
2020_04_11	318	9
2020_04_12	319	9
2020_04_13	324	9
2020_04_14	324	9
2020_04_15	324	9
2020_04_16	324	9
2020_04_17	324	9
2020_04_18	324	9
2020_04_19	325	9
2020_04_20	328	9
2020_04_21	328	9
2020_04_22	328	9
2020_04_23	329	9
2020_04_24	331	9
2020_04_25	331	9
2020_04_26	331	9
2020_04_27	332	9
2020_04_28	334	9
2020_04_29	332	10
2020_04_30	332	10
2020_05_01	332	10
2020_05_02	332	10
2020_05_03	332	10
2020_05_04	332	10
2020_05_05	332	10
2020_05_06	332	10
2020_05_07	332	10
2020_05_08	332	10
2020_05_09	332	10
2020_05_10	332	10
2020_05_11	332	10
2020_05_12	332	10
2020_05_13	332	10
2020_05_14	332	10
2020_05_15	332	10
2020_05_16	332	10
2020_05_17	332	10
2020_05_18	332	10
2020_05_19	332	10
2020_05_20	332	10
2020_05_21	332	10
2020_05_22	332	10
2020_05_23	332	10
2020_05_24	332	10
2020_05_25	334	10
2020_05_26	334	10
2020_05_27	334	10
2020_05_28	334	10
2020_05_29	334	10
2020_05_30	335	10
2020_05_31	335	10
2020_06_01	335	10
2020_06_02	335	10
2020_06_03	335	10
2020_06_04	335	10
2020_06_05	335	10
2020_06_06	337	10
2020_06_07	337	10
2020_06_08	337	10
2020_06_09	337	10
2020_06_10	337	10
2020_06_11	337	10
2020_06_12	337	10
2020_06_13	337	10
2020_06_14	337	10
2020_06_15	337	10
2020_06_16	337	10
2020_06_17	337	10
2020_06_18	337	10
2020_06_19	337	10
2020_06_20	337	10
2020_06_21	337	10
2020_06_22	337	10
2020_06_23	340	10
2020_06_24	340	10
2020_06_25	341	10
2020_06_26	341	10
2020_06_27	341	10
2020_06_28	341	10
2020_06_29	341	10
2020_06_30	341	10
2020_07_01	341	10
2020_07_02	341	10
2020_07_03	341	10
2020_07_04	341	10
2020_07_05	341	10
2020_07_06	341	10
2020_07_07	342	10
2020_07_08	342	10
2020_07_09	342	10
2020_07_10	342	10
2020_07_11	342	10
2020_07_12	342	10
2020_07_13	342	10
2020_07_14	343	10
2020_07_15	343	10
2020_07_16	343	10
2020_07_17	343	10
2020_07_18	343	10
2020_07_19	343	10
2020_07_20	343	10
2020_07_21	343	10
2020_07_22	343	10
2020_07_23	343	10
2020_07_24	343	10
2020_07_25	344	10
2020_07_26	344	10
2020_07_27	344	10
2020_07_28	344	10
2020_07_29	344	10
2020_07_30	344	10
2020_07_31	344	10
2020_08_01	344	10
2020_08_02	344	10
2020_08_03	344	10
2020_08_04	344	10
2020_08_05	344	10
2020_08_06	344	10
2020_08_07	344	10
2020_08_08	344	10
2020_08_09	344	10
2020_08_10	344	10
2020_08_11	344	10
2020_08_12	344	10
2020_08_13	344	10
2020_08_14	344	10
2020_08_15	344	10
2020_08_16	346	10
2020_08_17	346	10
2020_08_18	346	10
2020_08_19	346	10
2020_08_20	346	10
2020_08_21	346	10
2020_08_22	346	10
2020_08_23	346	10
