#
# COVID-19 Country file (official WHO count)
# Country = Mayotte
# Latitude = -13.0
# Population = 273.110
# Territory = 374.0
# LEB = 79.5
# DPA = 1000
# DPA65 = 550
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 142.8
# First_Case = 2020_03_15
# First_Death = 2020_04_02
# Last_Case = 2020_04_02
# Last_Death = 2020_04_02
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	1	0
2020_03_18	1	0
2020_03_19	3	0
2020_03_20	4	0
2020_03_21	4	0
2020_03_22	11	0
2020_03_23	14	0
2020_03_24	24	0
2020_03_25	30	0
2020_03_26	35	0
2020_03_27	50	0
2020_03_28	50	0
2020_03_29	50	0
2020_03_30	82	0
2020_03_31	82	0
2020_04_01	101	0
2020_04_02	116	2
2020_04_03	128	2
2020_04_04	128	2
2020_04_05	147	2
2020_04_06	147	2
2020_04_07	164	2
2020_04_08	184	2
2020_04_09	186	2
2020_04_10	191	2
2020_04_11	191	2
2020_04_12	191	2
2020_04_13	207	3
2020_04_14	207	3
2020_04_15	217	3
2020_04_16	221	3
2020_04_17	233	3
2020_04_18	245	4
2020_04_19	245	4
2020_04_20	284	4
2020_04_21	284	4
2020_04_22	311	4
2020_04_23	326	4
2020_04_24	339	4
2020_04_25	354	4
2020_04_26	354	4
2020_04_27	401	4
2020_04_28	433	4
2020_04_29	460	4
2020_04_30	460	4
2020_05_01	539	4
2020_05_02	539	4
2020_05_03	596	6
2020_05_04	650	6
2020_05_05	686	6
2020_05_06	739	9
2020_05_07	739	9
2020_05_08	854	10
2020_05_09	890	11
2020_05_10	890	11
2020_05_11	1023	11
2020_05_12	1061	12
2020_05_13	1095	12
2020_05_14	1143	14
2020_05_15	1210	16
2020_05_16	1258	16
2020_05_17	1258	16
2020_05_18	1342	18
2020_05_19	1370	18
2020_05_20	1419	19
2020_05_21	1475	19
2020_05_22	1494	19
2020_05_23	1521	19
2020_05_24	1521	19
2020_05_25	1587	20
2020_05_26	1609	20
2020_05_27	1634	20
2020_05_28	1645	20
2020_05_29	1670	21
2020_05_30	1699	21
2020_05_31	1743	21
2020_06_01	1871	23
2020_06_02	1934	24
2020_06_03	1986	24
2020_06_04	1993	24
2020_06_05	2058	25
2020_06_06	2079	25
2020_06_07	2079	25
2020_06_08	2079	25
2020_06_09	2151	26
2020_06_10	2175	28
2020_06_11	2226	28
2020_06_12	2240	28
2020_06_13	2268	28
2020_06_14	2282	29
2020_06_15	2282	29
2020_06_16	2310	28
2020_06_17	2333	29
2020_06_18	2345	29
2020_06_19	2383	29
2020_06_20	2394	29
2020_06_21	2404	31
2020_06_22	2404	31
2020_06_23	2434	32
2020_06_24	2452	32
2020_06_25	2467	34
2020_06_26	2508	34
2020_06_27	2526	34
2020_06_28	2540	35
2020_06_29	2540	35
2020_06_30	2603	35
2020_07_01	2603	35
2020_07_02	2643	35
2020_07_03	2643	35
2020_07_04	2661	36
2020_07_05	2668	36
2020_07_06	2668	36
2020_07_07	2679	36
2020_07_08	2688	36
2020_07_09	2688	36
2020_07_10	2702	40
2020_07_11	2711	40
2020_07_12	2711	40
2020_07_13	2711	40
2020_07_14	2724	40
2020_07_15	2724	40
2020_07_16	2743	37
2020_07_17	2782	37
2020_07_18	2782	37
2020_07_19	2782	37
2020_07_20	2782	37
2020_07_21	2808	38
2020_07_22	2824	38
2020_07_23	2839	38
2020_07_24	2862	38
2020_07_25	2873	38
2020_07_26	2873	38
2020_07_27	2873	38
2020_07_28	2900	38
2020_07_29	2905	39
2020_07_30	2905	39
2020_07_31	2962	39
2020_08_01	2962	39
2020_08_02	2962	39
2020_08_03	2962	39
2020_08_04	3008	39
2020_08_05	3023	39
2020_08_06	3031	39
2020_08_07	3042	39
2020_08_08	3068	39
2020_08_09	3068	39
2020_08_10	3068	39
2020_08_11	3068	39
2020_08_12	3091	39
2020_08_13	3091	39
2020_08_14	3119	39
2020_08_15	3119	39
2020_08_16	3119	39
2020_08_17	3135	39
2020_08_18	3151	39
2020_08_19	3167	39
2020_08_20	3183	39
2020_08_21	3199	39
2020_08_22	3215	39
2020_08_23	3237	39
