#
# COVID-19 Country file (official WHO count)
# Country = Mexico
# Latitude = 19.0
# Population = 133870.027
# Territory = 1964375.0
# LEB = 75.1
# DPA = 775000
# DPA65 = 441750
# GDP = 9586.0
# GDP_PPP = 20236.0
# COVID-19 Mortality = 1716.8
# First_Case = 2020_02_29
# Last_Case = 2021_06_13
# First_Death = 2020_03_20
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V
# Vaccine start = 2020_12_24
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_29	       2	       0	       2	       0
2020_03_01	       2	       0	       0	       0
2020_03_02	       5	       0	       3	       0
2020_03_03	       5	       0	       0	       0
2020_03_04	       5	       0	       0	       0
2020_03_05	       5	       0	       0	       0
2020_03_06	       5	       0	       0	       0
2020_03_07	       5	       0	       0	       0
2020_03_08	       7	       0	       2	       0
2020_03_09	       7	       0	       0	       0
2020_03_10	       7	       0	       0	       0
2020_03_11	       7	       0	       0	       0
2020_03_12	      11	       0	       4	       0
2020_03_13	      12	       0	       1	       0
2020_03_14	      26	       0	      14	       0
2020_03_15	      41	       0	      15	       0
2020_03_16	      53	       0	      12	       0
2020_03_17	      53	       0	       0	       0
2020_03_18	      82	       0	      29	       0
2020_03_19	      93	       0	      11	       0
2020_03_20	     118	       1	      25	       1
2020_03_21	     164	       1	      46	       0
2020_03_22	     164	       1	       0	       0
2020_03_23	     251	       2	      87	       1
2020_03_24	     370	       4	     119	       2
2020_03_25	     370	       4	       0	       0
2020_03_26	     478	       5	     108	       1
2020_03_27	     478	       5	       0	       0
2020_03_28	     589	       8	     111	       3
2020_03_29	     717	      12	     128	       4
2020_03_30	     848	      16	     131	       4
2020_03_31	     993	      20	     145	       4
2020_04_01	    1094	      28	     101	       8
2020_04_02	    1215	      29	     121	       1
2020_04_03	    1378	      37	     163	       8
2020_04_04	    1510	      50	     132	      13
2020_04_05	    1688	      60	     178	      10
2020_04_06	    1890	      79	     202	      19
2020_04_07	    2143	      94	     253	      15
2020_04_08	    2439	     125	     296	      31
2020_04_09	    2785	     141	     346	      16
2020_04_10	    3181	     174	     396	      33
2020_04_11	    3441	     194	     260	      20
2020_04_12	    3844	     233	     403	      39
2020_04_13	    4219	     273	     375	      40
2020_04_14	    4661	     296	     442	      23
2020_04_15	    5014	     332	     353	      36
2020_04_16	    5399	     406	     385	      74
2020_04_17	    5847	     449	     448	      43
2020_04_18	    6297	     486	     450	      37
2020_04_19	    6875	     546	     578	      60
2020_04_20	    7497	     650	     622	     104
2020_04_21	    8261	     686	     764	      36
2020_04_22	    8772	     712	     511	      26
2020_04_23	    9501	     857	     729	     145
2020_04_24	   10544	     970	    1043	     113
2020_04_25	   11633	    1069	    1089	      99
2020_04_26	   12872	    1221	    1239	     152
2020_04_27	   13842	    1305	     970	      84
2020_04_28	   14677	    1351	     835	      46
2020_04_29	   15529	    1434	     852	      83
2020_04_30	   16752	    1569	    1223	     135
2020_05_01	   17799	    1732	    1047	     163
2020_05_02	   19224	    1859	    1425	     127
2020_05_03	   20739	    1972	    1515	     113
2020_05_04	   22088	    2061	    1349	      89
2020_05_05	   23471	    2154	    1383	      93
2020_05_06	   24905	    2271	    1434	     117
2020_05_07	   26025	    2507	    1120	     236
2020_05_08	   27634	    2704	    1609	     197
2020_05_09	   29616	    2961	    1982	     257
2020_05_10	   31522	    3160	    1906	     199
2020_05_11	   33460	    3353	    1938	     193
2020_05_12	   35022	    3465	    1562	     112
2020_05_13	   36327	    3573	    1305	     108
2020_05_14	   38324	    3926	    1997	     353
2020_05_15	   40186	    4220	    1862	     294
