#
# COVID-19 Country file (official WHO count)
# Country = Monaco
# Latitude = 44.0
# Population = 38.300
# Territory = 2.2
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 175581.0
# GDP_PPP = 115700.0
# COVID-19 Mortality = 26.1
# First_Case = 2020_03_01
# First_Death = 2020_04_17
# Last_Case = 2020_04_17
# Last_Death = 2020_04_17
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_01	1	0
2020_03_02	1	0
2020_03_03	1	0
2020_03_04	1	0
2020_03_05	1	0
2020_03_06	1	0
2020_03_07	1	0
2020_03_08	1	0
2020_03_09	1	0
2020_03_10	1	0
2020_03_11	1	0
2020_03_12	1	0
2020_03_13	1	0
2020_03_14	2	0
2020_03_15	2	0
2020_03_16	9	0
2020_03_17	9	0
2020_03_18	9	0
2020_03_19	9	0
2020_03_20	9	0
2020_03_21	12	0
2020_03_22	18	0
2020_03_23	23	0
2020_03_24	23	0
2020_03_25	23	0
2020_03_26	23	0
2020_03_27	19	0
2020_03_28	19	0
2020_03_29	19	0
2020_03_30	46	0
2020_03_31	49	0
2020_04_01	52	0
2020_04_02	37	0
2020_04_03	37	0
2020_04_04	37	0
2020_04_05	37	0
2020_04_06	37	0
2020_04_07	40	0
2020_04_08	40	0
2020_04_09	54	0
2020_04_10	54	0
2020_04_11	54	0
2020_04_12	54	0
2020_04_13	54	0
2020_04_14	93	0
2020_04_15	93	0
2020_04_16	93	0
2020_04_17	93	1
2020_04_18	98	1
2020_04_19	98	1
2020_04_20	98	1
2020_04_21	68	1
2020_04_22	68	1
2020_04_23	68	1
2020_04_24	68	1
2020_04_25	68	1
2020_04_26	68	1
2020_04_27	68	1
2020_04_28	68	1
2020_04_29	68	1
2020_04_30	68	1
2020_05_01	68	1
2020_05_02	68	1
2020_05_03	68	1
2020_05_04	95	1
2020_05_05	95	1
2020_05_06	95	1
2020_05_07	95	1
2020_05_08	95	1
2020_05_09	95	1
2020_05_10	95	1
2020_05_11	96	1
2020_05_12	96	1
2020_05_13	96	1
2020_05_14	96	1
2020_05_15	96	1
2020_05_16	96	1
2020_05_17	96	1
2020_05_18	96	1
2020_05_19	96	1
2020_05_20	96	1
2020_05_21	96	1
2020_05_22	96	1
2020_05_23	96	1
2020_05_24	98	1
2020_05_25	98	1
2020_05_26	98	1
2020_05_27	98	1
2020_05_28	98	1
2020_05_29	98	1
2020_05_30	98	1
2020_05_31	98	1
2020_06_01	98	1
2020_06_02	98	1
2020_06_03	98	1
2020_06_04	98	1
2020_06_05	98	1
2020_06_06	98	1
2020_06_07	99	1
2020_06_08	99	1
2020_06_09	99	1
2020_06_10	99	1
2020_06_11	99	1
2020_06_12	99	1
2020_06_13	99	1
2020_06_14	99	1
2020_06_15	99	1
2020_06_16	99	1
2020_06_17	99	1
2020_06_18	99	1
2020_06_19	99	1
2020_06_20	99	1
2020_06_21	99	1
2020_06_22	99	1
2020_06_23	99	1
2020_06_24	99	1
2020_06_25	99	1
2020_06_26	99	1
2020_06_27	99	1
2020_06_28	99	1
2020_06_29	99	1
2020_06_30	99	1
2020_07_01	99	1
2020_07_02	99	1
2020_07_03	99	1
2020_07_04	99	1
2020_07_05	99	1
2020_07_06	99	1
2020_07_07	99	1
2020_07_08	99	1
2020_07_09	99	1
2020_07_10	99	1
2020_07_11	99	1
2020_07_12	99	1
2020_07_13	99	1
2020_07_14	99	1
2020_07_15	99	1
2020_07_16	99	1
2020_07_17	99	1
2020_07_18	99	1
2020_07_19	99	1
2020_07_20	99	1
2020_07_21	99	1
2020_07_22	99	1
2020_07_23	99	1
2020_07_24	99	1
2020_07_25	99	1
2020_07_26	99	1
2020_07_27	99	1
2020_07_28	99	1
2020_07_29	99	1
2020_07_30	99	1
2020_07_31	99	1
2020_08_01	99	1
2020_08_02	99	1
2020_08_03	99	1
2020_08_04	99	1
2020_08_05	99	1
2020_08_06	99	1
2020_08_07	99	1
2020_08_08	99	1
2020_08_09	99	1
2020_08_10	99	1
2020_08_11	99	1
2020_08_12	99	1
2020_08_13	99	1
2020_08_14	141	1
2020_08_15	143	1
2020_08_16	143	1
2020_08_17	138	1
2020_08_18	133	1
2020_08_19	128	1
2020_08_20	123	1
2020_08_21	118	1
2020_08_22	113	1
2020_08_23	108	1
