#
# COVID-19 Country file (official WHO count)
# Country = Mongolia
# Latitude = 48.0
# Population = 3209.404
# Territory = 1564110.0
# LEB = 69.9
# DPA = 20000
# DPA65 = 8000
# GDP = 3958.0
# GDP_PPP = 13830.0
# COVID-19 Mortality = 109.4
# First_Case = 2020_03_10
# Last_Case = 2021_06_13
# First_Death = 2021_01_17
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_10	       1	       0	       1	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       1	       0	       0	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       4	       0	       3	       0
2020_03_18	       4	       0	       0	       0
2020_03_19	       5	       0	       1	       0
2020_03_20	       6	       0	       1	       0
2020_03_21	       6	       0	       0	       0
2020_03_22	      10	       0	       4	       0
2020_03_23	      10	       0	       0	       0
2020_03_24	      10	       0	       0	       0
2020_03_25	      10	       0	       0	       0
2020_03_26	      10	       0	       0	       0
2020_03_27	      11	       0	       1	       0
2020_03_28	      12	       0	       1	       0
2020_03_29	      12	       0	       0	       0
2020_03_30	      12	       0	       0	       0
2020_03_31	      12	       0	       0	       0
2020_04_01	      12	       0	       0	       0
2020_04_02	      14	       0	       2	       0
2020_04_03	      14	       0	       0	       0
2020_04_04	      14	       0	       0	       0
2020_04_05	      14	       0	       0	       0
2020_04_06	      14	       0	       0	       0
2020_04_07	      15	       0	       1	       0
2020_04_08	      15	       0	       0	       0
2020_04_09	      16	       0	       1	       0
2020_04_10	      16	       0	       0	       0
2020_04_11	      16	       0	       0	       0
2020_04_12	      16	       0	       0	       0
2020_04_13	      16	       0	       0	       0
2020_04_14	      17	       0	       1	       0
2020_04_15	      30	       0	      13	       0
2020_04_16	      30	       0	       0	       0
2020_04_17	      31	       0	       1	       0
2020_04_18	      31	       0	       0	       0
2020_04_19	      31	       0	       0	       0
2020_04_20	      32	       0	       1	       0
2020_04_21	      33	       0	       1	       0
2020_04_22	      34	       0	       1	       0
2020_04_23	      35	       0	       1	       0
2020_04_24	      35	       0	       0	       0
2020_04_25	      36	       0	       1	       0
2020_04_26	      37	       0	       1	       0
2020_04_27	      38	       0	       1	       0
2020_04_28	      38	       0	       0	       0
2020_04_29	      38	       0	       0	       0
2020_04_30	      38	       0	       0	       0
2020_05_01	      38	       0	       0	       0
2020_05_02	      38	       0	       0	       0
2020_05_03	      39	       0	       1	       0
2020_05_04	      39	       0	       0	       0
2020_05_05	      40	       0	       1	       0
2020_05_06	      41	       0	       1	       0
2020_05_07	      41	       0	       0	       0
2020_05_08	      41	       0	       0	       0
2020_05_09	      42	       0	       1	       0
2020_05_10	      42	       0	       0	       0
2020_05_11	      42	       0	       0	       0
2020_05_12	      42	       0	       0	       0
2020_05_13	      42	       0	       0	       0
2020_05_14	      42	       0	       0	       0
2020_05_15	      98	       0	      56	       0
2020_05_16	      98	       0	       0	       0
2020_05_17	     135	       0	      37	       0
2020_05_18	     136	       0	       1	       0
2020_05_19	     140	       0	       4	       0
2020_05_20	     140	       0	       0	       0
2020_05_21	     140	       0	       0	       0
2020_05_22	     140	       0	       0	       0
2020_05_23	     141	       0	       1	       0
2020_05_24	     141	       0	       0	       0
2020_05_25	     141	       0	       0	       0
2020_05_26	     141	       0	       0	       0
2020_05_27	     141	       0	       0	       0
2020_05_28	     148	       0	       7	       0
2020_05_29	     161	       0	      13	       0
2020_05_30	     179	       0	      18	       0
2020_05_31	     179	       0	       0	       0
2020_06_01	     179	       0	       0	       0
2020_06_02	     185	       0	       6	       0
2020_06_03	     185	       0	       0	       0
2020_06_04	     185	       0	       0	       0
2020_06_05	     186	       0	       1	       0
2020_06_06	     191	       0	       5	       0
2020_06_07	     193	       0	       2	       0
2020_06_08	     193	       0	       0	       0
2020_06_09	     194	       0	       1	       0
2020_06_10	     194	       0	       0	       0
2020_06_11	     194	       0	       0	       0
2020_06_12	     194	       0	       0	       0
2020_06_13	     197	       0	       3	       0
2020_06_14	     197	       0	       0	       0
2020_06_15	     197	       0	       0	       0
2020_06_16	     197	       0	       0	       0
2020_06_17	     197	       0	       0	       0
2020_06_18	     197	       0	       0	       0
2020_06_19	     201	       0	       4	       0
2020_06_20	     204	       0	       3	       0
2020_06_21	     204	       0	       0	       0
2020_06_22	     206	       0	       2	       0
2020_06_23	     213	       0	       7	       0
2020_06_24	     215	       0	       2	       0
2020_06_25	     215	       0	       0	       0
2020_06_26	     216	       0	       1	       0
2020_06_27	     219	       0	       3	       0
2020_06_28	     219	       0	       0	       0
2020_06_29	     219	       0	       0	       0
2020_06_30	     220	       0	       1	       0
2020_07_01	     220	       0	       0	       0
2020_07_02	     220	       0	       0	       0
2020_07_03	     220	       0	       0	       0
2020_07_04	     220	       0	       0	       0
2020_07_05	     220	       0	       0	       0
2020_07_06	     220	       0	       0	       0
2020_07_07	     220	       0	       0	       0
2020_07_08	     225	       0	       5	       0
2020_07_09	     227	       0	       2	       0
2020_07_10	     227	       0	       0	       0
2020_07_11	     227	       0	       0	       0
2020_07_12	     227	       0	       0	       0
2020_07_13	     230	       0	       3	       0
2020_07_14	     230	       0	       0	       0
2020_07_15	     243	       0	      13	       0
2020_07_16	     261	       0	      18	       0
2020_07_17	     261	       0	       0	       0
2020_07_18	     262	       0	       1	       0
2020_07_19	     287	       0	      25	       0
2020_07_20	     287	       0	       0	       0
2020_07_21	     287	       0	       0	       0
2020_07_22	     287	       0	       0	       0
2020_07_23	     287	       0	       0	       0
2020_07_24	     287	       0	       0	       0
2020_07_25	     288	       0	       1	       0
2020_07_26	     288	       0	       0	       0
2020_07_27	     288	       0	       0	       0
2020_07_28	     288	       0	       0	       0
2020_07_29	     289	       0	       1	       0
2020_07_30	     291	       0	       2	       0
2020_07_31	     291	       0	       0	       0
2020_08_01	     291	       0	       0	       0
2020_08_02	     291	       0	       0	       0
2020_08_03	     293	       0	       2	       0
2020_08_04	     293	       0	       0	       0
2020_08_05	     293	       0	       0	       0
2020_08_06	     293	       0	       0	       0
2020_08_07	     293	       0	       0	       0
2020_08_08	     293	       0	       0	       0
2020_08_09	     293	       0	       0	       0
2020_08_10	     293	       0	       0	       0
2020_08_11	     293	       0	       0	       0
2020_08_12	     293	       0	       0	       0
2020_08_13	     293	       0	       0	       0
2020_08_14	     297	       0	       4	       0
2020_08_15	     297	       0	       0	       0
2020_08_16	     298	       0	       1	       0
2020_08_17	     298	       0	       0	       0
2020_08_18	     298	       0	       0	       0
2020_08_19	     298	       0	       0	       0
2020_08_20	     298	       0	       0	       0
2020_08_21	     298	       0	       0	       0
2020_08_22	     298	       0	       0	       0
2020_08_23	     298	       0	       0	       0
2020_08_24	     298	       0	       0	       0
2020_08_25	     298	       0	       0	       0
2020_08_26	     299	       0	       1	       0
2020_08_27	     299	       0	       0	       0
2020_08_28	     300	       0	       1	       0
2020_08_29	     300	       0	       0	       0
2020_08_30	     301	       0	       1	       0
2020_08_31	     302	       0	       1	       0
2020_09_01	     303	       0	       1	       0
2020_09_02	     304	       0	       1	       0
2020_09_03	     306	       0	       2	       0
2020_09_04	     307	       0	       1	       0
2020_09_05	     308	       0	       1	       0
2020_09_06	     310	       0	       2	       0
2020_09_07	     310	       0	       0	       0
2020_09_08	     310	       0	       0	       0
2020_09_09	     310	       0	       0	       0
2020_09_10	     310	       0	       0	       0
2020_09_11	     310	       0	       0	       0
2020_09_12	     310	       0	       0	       0
2020_09_13	     311	       0	       1	       0
2020_09_14	     311	       0	       0	       0
2020_09_15	     311	       0	       0	       0
2020_09_16	     311	       0	       0	       0
2020_09_17	     311	       0	       0	       0
2020_09_18	     311	       0	       0	       0
2020_09_19	     311	       0	       0	       0
2020_09_20	     311	       0	       0	       0
2020_09_21	     311	       0	       0	       0
2020_09_22	     311	       0	       0	       0
2020_09_23	     311	       0	       0	       0
2020_09_24	     312	       0	       1	       0
2020_09_25	     312	       0	       0	       0
2020_09_26	     312	       0	       0	       0
2020_09_27	     313	       0	       1	       0
2020_09_28	     313	       0	       0	       0
2020_09_29	     313	       0	       0	       0
2020_09_30	     313	       0	       0	       0
2020_10_01	     313	       0	       0	       0
2020_10_02	     313	       0	       0	       0
2020_10_03	     313	       0	       0	       0
2020_10_04	     313	       0	       0	       0
2020_10_05	     313	       0	       0	       0
2020_10_06	     313	       0	       0	       0
2020_10_07	     313	       0	       0	       0
2020_10_08	     314	       0	       1	       0
2020_10_09	     314	       0	       0	       0
2020_10_10	     314	       0	       0	       0
2020_10_11	     315	       0	       1	       0
2020_10_12	     316	       0	       1	       0
2020_10_13	     317	       0	       1	       0
2020_10_14	     318	       0	       1	       0
2020_10_15	     320	       0	       2	       0
2020_10_16	     321	       0	       1	       0
2020_10_17	     322	       0	       1	       0
2020_10_18	     324	       0	       2	       0
2020_10_19	     326	       0	       2	       0
2020_10_20	     328	       0	       2	       0
2020_10_21	     330	       0	       2	       0
2020_10_22	     332	       0	       2	       0
2020_10_23	     334	       0	       2	       0
2020_10_24	     336	       0	       2	       0
2020_10_25	     339	       0	       3	       0
2020_10_26	     340	       0	       1	       0
2020_10_27	     341	       0	       1	       0
2020_10_28	     342	       0	       1	       0
2020_10_29	     343	       0	       1	       0
2020_10_30	     344	       0	       1	       0
2020_10_31	     345	       0	       1	       0
2020_11_01	     346	       0	       1	       0
2020_11_02	     347	       0	       1	       0
2020_11_03	     349	       0	       2	       0
2020_11_04	     350	       0	       1	       0
2020_11_05	     352	       0	       2	       0
2020_11_06	     353	       0	       1	       0
2020_11_07	     355	       0	       2	       0
2020_11_08	     357	       0	       2	       0
2020_11_09	     365	       0	       8	       0
2020_11_10	     373	       0	       8	       0
2020_11_11	     382	       0	       9	       0
2020_11_12	     390	       0	       8	       0
2020_11_13	     399	       0	       9	       0
2020_11_14	     407	       0	       8	       0
2020_11_15	     416	       0	       9	       0
2020_11_16	     439	       0	      23	       0
2020_11_17	     463	       0	      24	       0
2020_11_18	     487	       0	      24	       0
2020_11_19	     510	       0	      23	       0
2020_11_20	     534	       0	      24	       0
2020_11_21	     558	       0	      24	       0
2020_11_22	     582	       0	      24	       0
2020_11_23	     607	       0	      25	       0
2020_11_24	     632	       0	      25	       0
2020_11_25	     658	       0	      26	       0
2020_11_26	     683	       0	      25	       0
2020_11_27	     709	       0	      26	       0
2020_11_28	     734	       0	      25	       0
2020_11_29	     760	       0	      26	       0
2020_11_30	     771	       0	      11	       0
2020_12_01	     783	       0	      12	       0
2020_12_02	     795	       0	      12	       0
2020_12_03	     806	       0	      11	       0
2020_12_04	     818	       0	      12	       0
2020_12_05	     830	       0	      12	       0
2020_12_06	     842	       0	      12	       0
2020_12_07	     851	       0	       9	       0
2020_12_08	     860	       0	       9	       0
2020_12_09	     869	       0	       9	       0
2020_12_10	     878	       0	       9	       0
2020_12_11	     887	       0	       9	       0
2020_12_12	     896	       0	       9	       0
2020_12_13	     906	       0	      10	       0
2020_12_14	     912	       0	       6	       0
2020_12_15	     919	       0	       7	       0
2020_12_16	     926	       0	       7	       0
2020_12_17	     932	       0	       6	       0
2020_12_18	     939	       0	       7	       0
2020_12_19	     946	       0	       7	       0
2020_12_20	     953	       0	       7	       0
2020_12_21	     971	       0	      18	       0
2020_12_22	     989	       0	      18	       0
2020_12_23	    1008	       0	      19	       0
2020_12_24	    1026	       0	      18	       0
2020_12_25	    1045	       0	      19	       0
2020_12_26	    1063	       0	      18	       0
2020_12_27	    1082	       0	      19	       0
2020_12_28	    1104	       0	      22	       0
2020_12_29	    1127	       0	      23	       0
2020_12_30	    1150	       0	      23	       0
2020_12_31	    1173	       0	      23	       0
2021_01_01	    1196	       0	      23	       0
2021_01_02	    1219	       0	      23	       0
2021_01_03	    1242	       0	      23	       0
2021_01_04	    1265	       0	      23	       0
2021_01_05	    1289	       0	      24	       0
2021_01_06	    1313	       0	      24	       0
2021_01_07	    1336	       0	      23	       0
2021_01_08	    1360	       0	      24	       0
2021_01_09	    1384	       0	      24	       0
2021_01_10	    1408	       0	      24	       0
2021_01_11	    1422	       0	      14	       0
2021_01_12	    1437	       0	      15	       0
2021_01_13	    1452	       0	      15	       0
2021_01_14	    1467	       0	      15	       0
2021_01_15	    1482	       0	      15	       0
2021_01_16	    1497	       0	      15	       0
2021_01_17	    1512	       1	      15	       1
2021_01_18	    1526	       1	      14	       0
2021_01_19	    1540	       1	      14	       0
2021_01_20	    1554	       1	      14	       0
2021_01_21	    1568	       1	      14	       0
2021_01_22	    1582	       1	      14	       0
2021_01_23	    1596	       1	      14	       0
2021_01_24	    1611	       2	      15	       1
2021_01_25	    1629	       2	      18	       0
2021_01_26	    1648	       2	      19	       0
2021_01_27	    1667	       2	      19	       0
2021_01_28	    1685	       2	      18	       0
2021_01_29	    1704	       2	      19	       0
2021_01_30	    1723	       2	      19	       0
2021_01_31	    1742	       2	      19	       0
2021_02_01	    1777	       2	      35	       0
2021_02_02	    1812	       2	      35	       0
2021_02_03	    1847	       2	      35	       0
2021_02_04	    1883	       2	      36	       0
2021_02_05	    1918	       2	      35	       0
2021_02_06	    1953	       2	      35	       0
2021_02_07	    1989	       2	      36	       0
2021_02_08	    2032	       2	      43	       0
2021_02_09	    2075	       2	      43	       0
2021_02_10	    2119	       2	      44	       0
2021_02_11	    2162	       2	      43	       0
2021_02_12	    2206	       2	      44	       0
2021_02_13	    2249	       2	      43	       0
2021_02_14	    2293	       2	      44	       0
2021_02_15	    2334	       2	      41	       0
2021_02_16	    2376	       2	      42	       0
2021_02_17	    2418	       2	      42	       0
2021_02_18	    2460	       2	      42	       0
2021_02_19	    2502	       2	      42	       0
2021_02_20	    2544	       2	      42	       0
2021_02_21	    2586	       2	      42	       0
2021_02_22	    2626	       2	      40	       0
2021_02_23	    2666	       2	      40	       0
2021_02_24	    2706	       2	      40	       0
2021_02_25	    2746	       2	      40	       0
2021_02_26	    2786	       2	      40	       0
2021_02_27	    2826	       2	      40	       0
2021_02_28	    2866	       2	      40	       0
2021_03_01	    2908	       2	      42	       0
2021_03_02	    2950	       2	      42	       0
2021_03_03	    2992	       2	      42	       0
2021_03_04	    3034	       2	      42	       0
2021_03_05	    3076	       2	      42	       0
2021_03_06	    3118	       2	      42	       0
2021_03_07	    3161	       2	      43	       0
2021_03_08	    3257	       2	      96	       0
2021_03_09	    3353	       2	      96	       0
2021_03_10	    3449	       2	      96	       0
2021_03_11	    3545	       3	      96	       1
2021_03_12	    3641	       3	      96	       0
2021_03_13	    3737	       3	      96	       0
