#
# COVID-19 Country file (official WHO count)
# Country = Montenegro
# Latitude = 43.0
# Population = 629.397
# Territory = 13812.0
# LEB = 76.9
# DPA = 7000
# DPA65 = 5530
# GDP = 8168.0
# GDP_PPP = 20022.0
# COVID-19 Mortality = 133.5
# First_Case = 2020_03_18
# First_Death = 2020_03_26
# Last_Case = 2020_03_26
# Last_Death = 2020_03_26
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_18	2	0
2020_03_19	2	0
2020_03_20	10	0
2020_03_21	14	0
2020_03_22	14	0
2020_03_23	21	0
2020_03_24	22	0
2020_03_25	29	0
2020_03_26	52	1
2020_03_27	67	1
2020_03_28	70	1
2020_03_29	82	1
2020_03_30	85	1
2020_03_31	91	1
2020_04_01	105	2
2020_04_02	120	2
2020_04_03	140	2
2020_04_04	160	2
2020_04_05	197	2
2020_04_06	203	2
2020_04_07	223	2
2020_04_08	248	2
2020_04_09	248	2
2020_04_10	252	2
2020_04_11	255	2
2020_04_12	262	2
2020_04_13	267	2
2020_04_14	274	4
2020_04_15	288	4
2020_04_16	288	4
2020_04_17	303	4
2020_04_18	305	5
2020_04_19	308	5
2020_04_20	308	5
2020_04_21	312	5
2020_04_22	313	5
2020_04_23	314	5
2020_04_24	316	5
2020_04_25	319	5
2020_04_26	319	6
2020_04_27	321	7
2020_04_28	321	7
2020_04_29	321	7
2020_04_30	322	7
2020_05_01	322	7
2020_05_02	322	7
2020_05_03	322	7
2020_05_04	322	8
2020_05_05	323	8
2020_05_06	324	8
2020_05_07	324	8
2020_05_08	324	8
2020_05_09	324	8
2020_05_10	324	8
2020_05_11	325	8
2020_05_12	325	8
2020_05_13	324	9
2020_05_14	324	9
2020_05_15	324	9
2020_05_16	324	9
2020_05_17	324	9
2020_05_18	324	9
2020_05_19	324	9
2020_05_20	324	9
2020_05_21	324	9
2020_05_22	324	9
2020_05_23	324	9
2020_05_24	324	9
2020_05_25	324	9
2020_05_26	324	9
2020_05_27	324	9
2020_05_28	324	9
2020_05_29	324	9
2020_05_30	324	9
2020_05_31	324	9
2020_06_01	324	9
2020_06_02	324	9
2020_06_03	324	9
2020_06_04	324	9
2020_06_05	324	9
2020_06_06	324	9
2020_06_07	324	9
2020_06_08	324	9
2020_06_09	324	9
2020_06_10	324	9
2020_06_11	324	9
2020_06_12	324	9
2020_06_13	324	9
2020_06_14	324	9
2020_06_15	325	9
2020_06_16	326	9
2020_06_17	326	9
2020_06_18	333	9
2020_06_19	337	9
2020_06_20	355	9
2020_06_21	359	9
2020_06_22	362	9
2020_06_23	375	9
2020_06_24	378	9
2020_06_25	389	9
2020_06_26	414	9
2020_06_27	414	9
2020_06_28	444	9
2020_06_29	481	11
2020_06_30	501	11
2020_07_01	548	12
2020_07_02	576	12
2020_07_03	616	12
2020_07_04	663	13
2020_07_05	720	13
2020_07_06	781	14
2020_07_07	841	14
2020_07_08	907	17
2020_07_09	960	17
2020_07_10	1019	19
2020_07_11	1077	19
2020_07_12	1164	23
2020_07_13	1221	23
2020_07_14	1287	24
2020_07_15	1287	24
2020_07_16	1429	25
2020_07_17	1582	26
2020_07_18	1618	28
2020_07_19	1664	30
2020_07_20	1771	32
2020_07_21	1861	35
2020_07_22	1920	35
2020_07_23	2261	39
2020_07_24	2569	40
2020_07_25	2569	40
2020_07_26	2569	40
2020_07_27	2851	43
2020_07_28	2851	43
2020_07_29	2936	45
2020_07_30	3065	47
2020_07_31	3111	48
2020_08_01	3184	49
2020_08_02	3253	51
2020_08_03	3280	51
2020_08_04	3326	53
2020_08_05	3386	54
2020_08_06	3441	57
2020_08_07	3520	60
2020_08_08	3568	61
2020_08_09	3610	62
2020_08_10	3665	67
2020_08_11	3714	70
2020_08_12	3775	73
2020_08_13	3834	73
2020_08_14	3880	73
2020_08_15	3960	73
2020_08_16	4013	75
2020_08_17	4056	76
2020_08_18	4099	77
2020_08_19	4142	78
2020_08_20	4185	79
2020_08_21	4228	80
2020_08_22	4271	81
2020_08_23	4315	84
