#
# COVID-19 Country file (official WHO count)
# Country = Morocco
# Latitude = 32.0
# Population = 37070.718
# Territory = 446550.0
# LEB = 76.7
# DPA = 184000
# DPA65 = 123280
# GDP = 3212.0
# GDP_PPP = 8951.0
# COVID-19 Mortality = 248.4
# First_Case = 2020_03_03
# Last_Case = 2021_06_13
# First_Death = 2020_03_11
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca, Sinopharm/Beijing
# Vaccine start = 2021_02_19
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_03	       1	       0	       1	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       2	       0	       1	       0
2020_03_06	       2	       0	       0	       0
2020_03_07	       2	       0	       0	       0
2020_03_08	       2	       0	       0	       0
2020_03_09	       2	       0	       0	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       3	       1	       1	       1
2020_03_12	       5	       1	       2	       0
2020_03_13	       6	       1	       1	       0
2020_03_14	       7	       1	       1	       0
2020_03_15	      18	       1	      11	       0
2020_03_16	      28	       1	      10	       0
2020_03_17	      38	       2	      10	       1
2020_03_18	      38	       2	       0	       0
2020_03_19	      49	       2	      11	       0
2020_03_20	      61	       2	      12	       0
2020_03_21	      74	       3	      13	       1
2020_03_22	      86	       3	      12	       0
2020_03_23	     115	       4	      29	       1
2020_03_24	     143	       4	      28	       0
2020_03_25	     170	       5	      27	       1
2020_03_26	     225	       6	      55	       1
2020_03_27	     275	      10	      50	       4
2020_03_28	     358	      23	      83	      13
2020_03_29	     437	      26	      79	       3
2020_03_30	     516	      27	      79	       1
2020_03_31	     574	      33	      58	       6
2020_04_01	     638	      36	      64	       3
2020_04_02	     676	      39	      38	       3
2020_04_03	     735	      47	      59	       8
2020_04_04	     844	      50	     109	       3
2020_04_05	     960	      66	     116	      16
2020_04_06	    1113	      71	     153	       5
2020_04_07	    1141	      83	      28	      12
2020_04_08	    1184	      90	      43	       7
2020_04_09	    1275	      93	      91	       3
2020_04_10	    1377	      97	     102	       4
2020_04_11	    1448	     107	      71	      10
2020_04_12	    1545	     111	      97	       4
