#
# COVID-19 Country file (official WHO count)
# Country = Netherlands
# Latitude = 53.0
# Population = 17181.248
# Territory = 41850.0
# LEB = 82.3
# DPA = 151000
# DPA65 = 128350
# GDP = 51382.0
# GDP_PPP = 56743.0
# COVID-19 Mortality = 360.3
# First_Case = 2020_02_28
# First_Death = 2020_03_07
# Last_Case = 2020_03_07
# Last_Death = 2020_03_07
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_28	1	0
2020_02_29	2	0
2020_03_01	7	0
2020_03_02	13	0
2020_03_03	18	0
2020_03_04	28	0
2020_03_05	38	0
2020_03_06	82	0
2020_03_07	128	1
2020_03_08	188	1
2020_03_09	265	3
2020_03_10	321	3
2020_03_11	382	4
2020_03_12	503	5
2020_03_13	614	5
2020_03_14	804	10
2020_03_15	959	12
2020_03_16	1135	20
2020_03_17	1413	24
2020_03_18	1705	43
2020_03_19	2051	58
2020_03_20	2460	76
2020_03_21	2994	106
2020_03_22	3631	136
2020_03_23	4204	179
2020_03_24	4749	213
2020_03_25	5560	276
2020_03_26	6412	356
2020_03_27	7431	434
2020_03_28	8603	546
2020_03_29	9762	639
2020_03_30	10866	771
2020_03_31	11750	864
2020_04_01	12595	1039
2020_04_02	13614	1173
2020_04_03	14697	1339
2020_04_04	15723	1487
2020_04_05	16627	1651
2020_04_06	17851	1766
2020_04_07	18803	1867
2020_04_08	19580	2101
2020_04_09	20549	2248
2020_04_10	21762	2396
2020_04_11	23097	2511
2020_04_12	24413	2643
2020_04_13	25587	2737
2020_04_14	26551	2823
2020_04_15	27419	2945
2020_04_16	28153	3134
2020_04_17	29214	3315
2020_04_18	30449	3459
2020_04_19	31589	3601
2020_04_20	32655	3684
2020_04_21	33405	3751
2020_04_22	34134	3916
2020_04_23	34842	4054
2020_04_24	35729	4177
2020_04_25	36535	4289
2020_04_26	37190	4409
2020_04_27	37845	4475
2020_04_28	38245	4518
2020_04_29	38416	4566
2020_04_30	38802	4711
2020_05_01	39316	4795
2020_05_02	39791	4893
2020_05_03	40236	4987
2020_05_04	40571	5056
2020_05_05	40770	5082
2020_05_06	41087	5168
2020_05_07	41319	5204
2020_05_08	41774	5288
2020_05_09	42093	5359
2020_05_10	42382	5422
2020_05_11	42627	5440
2020_05_12	42788	5456
2020_05_13	42984	5510
2020_05_14	43211	5562
2020_05_15	43481	5590
2020_05_16	43681	5643
2020_05_17	43870	5670
2020_05_18	43995	5680
2020_05_19	44141	5694
2020_05_20	44249	5715
2020_05_21	44447	5748
2020_05_22	44700	5775
2020_05_23	44888	5788
2020_05_24	45064	5811
2020_05_25	45236	5822
2020_05_26	45445	5830
2020_05_27	45578	5856
2020_05_28	45768	5871
2020_05_29	45950	5903
2020_05_30	46126	5931
2020_05_31	46257	5951
2020_06_01	46442	5956
2020_06_02	46545	5962
2020_06_03	46647	5967
2020_06_04	46733	5977
2020_06_05	46942	5990
2020_06_06	47152	6005
2020_06_07	47335	6011
2020_06_08	47574	6013
2020_06_09	47739	6016
2020_06_10	47903	6031
2020_06_11	48087	6042
2020_06_12	48251	6044
2020_06_13	48461	6053
2020_06_14	48640	6057
2020_06_15	48783	6059
2020_06_16	48783	6059
2020_06_17	49087	6070
2020_06_18	49204	6074
2020_06_19	49319	6078
2020_06_20	49426	6081
2020_06_21	49502	6089
2020_06_22	49593	6090
2020_06_23	49658	6090
2020_06_24	49722	6095
2020_06_25	49804	6097
2020_06_26	49914	6100
2020_06_27	50005	6103
2020_06_28	50074	6105
2020_06_29	50147	6105
2020_06_30	50223	6107
2020_07_01	50273	6113
2020_07_02	50335	6115
2020_07_03	50357	6109
2020_07_04	50432	6111
2020_07_05	50493	6117
2020_07_06	50566	6118
2020_07_07	50602	6119
2020_07_08	50639	6123
2020_07_09	50691	6126
2020_07_10	50743	6128
2020_07_11	50785	6127
2020_07_12	50866	6128
2020_07_13	50967	6128
2020_07_14	51038	6128
2020_07_15	51091	6128
2020_07_16	51197	6127
2020_07_17	51296	6128
2020_07_18	51399	6129
2020_07_19	51526	6129
2020_07_20	51670	6129
2020_07_21	51910	6136
2020_07_22	52073	6136
2020_07_23	52241	6139
2020_07_24	52404	6139
2020_07_25	52595	6139
2020_07_26	52595	6139
2020_07_27	52946	6140
2020_07_28	53151	6141
2020_07_29	53374	6145
2020_07_30	53621	6147
2020_07_31	53963	6147
2020_08_01	54301	6147
2020_08_02	54732	6148
2020_08_03	55043	6148
2020_08_04	55415	6140
2020_08_05	55955	6150
2020_08_06	56381	6153
2020_08_07	56982	6153
2020_08_08	57501	6154
2020_08_09	57987	6157
2020_08_10	58564	6157
2020_08_11	59139	6148
2020_08_12	59918	6150
2020_08_13	60572	6152
2020_08_14	61149	6156
2020_08_15	61785	6158
2020_08_16	62437	6160
2020_08_17	62950	6164
2020_08_18	63463	6168
2020_08_19	63976	6172
2020_08_20	64489	6176
2020_08_21	65002	6180
2020_08_22	65515	6184
2020_08_23	66034	6191
