#
# COVID-19 Country file (official WHO count)
# Country = Nicaragua
# Latitude = 12.0
# Population = 6416.568
# Territory = 130373.0
# LEB = 74.5
# DPA = 33000
# DPA65 = 15510
# GDP = 2057.0
# GDP_PPP = 5544.0
# COVID-19 Mortality = 29.3
# First_Case = 2020_03_20
# Last_Case = 2021_06_13
# First_Death = 2020_03_28
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_20	       1	       0	       1	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       2	       0	       1	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	       2	       0	       0	       0
2020_03_25	       2	       0	       0	       0
2020_03_26	       2	       0	       0	       0
2020_03_27	       2	       0	       0	       0
2020_03_28	       2	       1	       0	       1
2020_03_29	       4	       1	       2	       0
2020_03_30	       4	       1	       0	       0
2020_03_31	       4	       1	       0	       0
2020_04_01	       4	       1	       0	       0
2020_04_02	       5	       1	       1	       0
2020_04_03	       5	       1	       0	       0
2020_04_04	       5	       1	       0	       0
2020_04_05	       5	       1	       0	       0
2020_04_06	       5	       1	       0	       0
2020_04_07	       6	       1	       1	       0
2020_04_08	       6	       1	       0	       0
2020_04_09	       6	       1	       0	       0
2020_04_10	       6	       1	       0	       0
2020_04_11	       7	       1	       1	       0
2020_04_12	       7	       1	       0	       0
2020_04_13	       9	       1	       2	       0
2020_04_14	       9	       1	       0	       0
2020_04_15	       9	       1	       0	       0
2020_04_16	       9	       1	       0	       0
2020_04_17	       9	       1	       0	       0
2020_04_18	       9	       1	       0	       0
2020_04_19	       9	       1	       0	       0
2020_04_20	       9	       1	       0	       0
2020_04_21	       9	       2	       0	       1
2020_04_22	      10	       2	       1	       0
2020_04_23	      10	       2	       0	       0
2020_04_24	      10	       2	       0	       0
2020_04_25	      11	       3	       1	       1
2020_04_26	      11	       3	       0	       0
2020_04_27	      13	       3	       2	       0
2020_04_28	      13	       3	       0	       0
2020_04_29	      13	       3	       0	       0
2020_04_30	      13	       3	       0	       0
2020_05_01	      14	       4	       1	       1
2020_05_02	      14	       4	       0	       0
2020_05_03	      14	       4	       0	       0
2020_05_04	      14	       4	       0	       0
2020_05_05	      15	       5	       1	       1
2020_05_06	      15	       5	       0	       0
2020_05_07	      16	       5	       1	       0
2020_05_08	      16	       5	       0	       0
2020_05_09	      16	       5	       0	       0
2020_05_10	      16	       5	       0	       0
2020_05_11	      16	       5	       0	       0
2020_05_12	      16	       5	       0	       0
2020_05_13	      16	       5	       0	       0
2020_05_14	      25	       8	       9	       3
2020_05_15	      25	       8	       0	       0
2020_05_16	      25	       8	       0	       0
2020_05_17	      25	       8	       0	       0
2020_05_18	      25	       8	       0	       0
2020_05_19	      25	       8	       0	       0
2020_05_20	      25	       8	       0	       0
2020_05_21	     279	      17	     254	       9
2020_05_22	     279	      17	       0	       0
2020_05_23	     279	      17	       0	       0
2020_05_24	     279	      17	       0	       0
2020_05_25	     279	      17	       0	       0
2020_05_26	     279	      17	       0	       0
2020_05_27	     279	      17	       0	       0
2020_05_28	     759	      35	     480	      18
2020_05_29	     885	      35	     126	       0
2020_05_30	     885	      35	       0	       0
2020_05_31	     885	      35	       0	       0
2020_06_01	     885	      35	       0	       0
2020_06_02	     885	      35	       0	       0
2020_06_03	     950	      35	      65	       0
2020_06_04	    1309	      46	     359	      11
2020_06_05	    1309	      46	       0	       0
2020_06_06	    1309	      46	       0	       0
2020_06_07	    1309	      46	       0	       0
2020_06_08	    1309	      46	       0	       0
2020_06_09	    1309	      46	       0	       0
