#
# COVID-19 Country file (official WHO count)
# Country = Non_Participants
# Latitude = 0.0
# Population = 32746.981
# Territory = 877022.0
# LEB = 69.8
# DPA = 278005
# DPA65 = 167175
# GDP = 1934.2
# GDP_PPP = 5108.7
# COVID-19 Mortality = 0.0
# No official cases as of2021_05_23
# No official deaths as of 2021_05_23
# Status as of 2021_05_23 = Pending
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_01	       0	       0	       0	       0
2020_01_02	       0	       0	       0	       0
2020_01_03	       0	       0	       0	       0
2020_01_04	       0	       0	       0	       0
2020_01_05	       0	       0	       0	       0
2020_01_06	       0	       0	       0	       0
2020_01_07	       0	       0	       0	       0
2020_01_08	       0	       0	       0	       0
2020_01_09	       0	       0	       0	       0
2020_01_10	       0	       0	       0	       0
2020_01_11	       0	       0	       0	       0
2020_01_12	       0	       0	       0	       0
2020_01_13	       0	       0	       0	       0
2020_01_14	       0	       0	       0	       0
2020_01_15	       0	       0	       0	       0
2020_01_16	       0	       0	       0	       0
2020_01_17	       0	       0	       0	       0
2020_01_18	       0	       0	       0	       0
2020_01_19	       0	       0	       0	       0
2020_01_20	       0	       0	       0	       0
2020_01_21	       0	       0	       0	       0
2020_01_22	       0	       0	       0	       0
2020_01_23	       0	       0	       0	       0
2020_01_24	       0	       0	       0	       0
2020_01_25	       0	       0	       0	       0
2020_01_26	       0	       0	       0	       0
2020_01_27	       0	       0	       0	       0
2020_01_28	       0	       0	       0	       0
2020_01_29	       0	       0	       0	       0
2020_01_30	       0	       0	       0	       0
2020_01_31	       0	       0	       0	       0
2020_02_01	       0	       0	       0	       0
2020_02_02	       0	       0	       0	       0
2020_02_03	       0	       0	       0	       0
2020_02_04	       0	       0	       0	       0
2020_02_05	       0	       0	       0	       0
2020_02_06	       0	       0	       0	       0
2020_02_07	       0	       0	       0	       0
2020_02_08	       0	       0	       0	       0
2020_02_09	       0	       0	       0	       0
2020_02_10	       0	       0	       0	       0
2020_02_11	       0	       0	       0	       0
2020_02_12	       0	       0	       0	       0
2020_02_13	       0	       0	       0	       0
2020_02_14	       0	       0	       0	       0
2020_02_15	       0	       0	       0	       0
2020_02_16	       0	       0	       0	       0
2020_02_17	       0	       0	       0	       0
2020_02_18	       0	       0	       0	       0
2020_02_19	       0	       0	       0	       0
2020_02_20	       0	       0	       0	       0
2020_02_21	       0	       0	       0	       0
2020_02_22	       0	       0	       0	       0
2020_02_23	       0	       0	       0	       0
2020_02_24	       0	       0	       0	       0
2020_02_25	       0	       0	       0	       0
2020_02_26	       0	       0	       0	       0
2020_02_27	       0	       0	       0	       0
2020_02_28	       0	       0	       0	       0
2020_02_29	       0	       0	       0	       0
2020_03_01	       0	       0	       0	       0
2020_03_02	       0	       0	       0	       0
2020_03_03	       0	       0	       0	       0
2020_03_04	       0	       0	       0	       0
2020_03_05	       0	       0	       0	       0
2020_03_06	       0	       0	       0	       0
2020_03_07	       0	       0	       0	       0
2020_03_08	       0	       0	       0	       0
2020_03_09	       0	       0	       0	       0
2020_03_10	       0	       0	       0	       0
2020_03_11	       0	       0	       0	       0
2020_03_12	       0	       0	       0	       0
2020_03_13	       0	       0	       0	       0
2020_03_14	       0	       0	       0	       0
2020_03_15	       0	       0	       0	       0
2020_03_16	       0	       0	       0	       0
2020_03_17	       0	       0	       0	       0
2020_03_18	       0	       0	       0	       0
2020_03_19	       0	       0	       0	       0
2020_03_20	       0	       0	       0	       0
2020_03_21	       0	       0	       0	       0
2020_03_22	       0	       0	       0	       0
2020_03_23	       0	       0	       0	       0
2020_03_24	       0	       0	       0	       0
2020_03_25	       0	       0	       0	       0
2020_03_26	       0	       0	       0	       0
2020_03_27	       0	       0	       0	       0
2020_03_28	       0	       0	       0	       0
2020_03_29	       0	       0	       0	       0
2020_03_30	       0	       0	       0	       0
2020_03_31	       0	       0	       0	       0
2020_04_01	       0	       0	       0	       0
2020_04_02	       0	       0	       0	       0
2020_04_03	       0	       0	       0	       0
2020_04_04	       0	       0	       0	       0
2020_04_05	       0	       0	       0	       0
2020_04_06	       0	       0	       0	       0
2020_04_07	       0	       0	       0	       0
2020_04_08	       0	       0	       0	       0
2020_04_09	       0	       0	       0	       0
2020_04_10	       0	       0	       0	       0
2020_04_11	       0	       0	       0	       0
2020_04_12	       0	       0	       0	       0
2020_04_13	       0	       0	       0	       0
2020_04_14	       0	       0	       0	       0
2020_04_15	       0	       0	       0	       0
2020_04_16	       0	       0	       0	       0
2020_04_17	       0	       0	       0	       0
2020_04_18	       0	       0	       0	       0
2020_04_19	       0	       0	       0	       0
2020_04_20	       0	       0	       0	       0
2020_04_21	       0	       0	       0	       0
2020_04_22	       0	       0	       0	       0
2020_04_23	       0	       0	       0	       0
2020_04_24	       0	       0	       0	       0
2020_04_25	       0	       0	       0	       0
2020_04_26	       0	       0	       0	       0
2020_04_27	       0	       0	       0	       0
2020_04_28	       0	       0	       0	       0
2020_04_29	       0	       0	       0	       0
2020_04_30	       0	       0	       0	       0
2020_05_01	       0	       0	       0	       0
2020_05_02	       0	       0	       0	       0
2020_05_03	       0	       0	       0	       0
2020_05_04	       0	       0	       0	       0
2020_05_05	       0	       0	       0	       0
2020_05_06	       0	       0	       0	       0
2020_05_07	       0	       0	       0	       0
2020_05_08	       0	       0	       0	       0
2020_05_09	       0	       0	       0	       0
2020_05_10	       0	       0	       0	       0
2020_05_11	       0	       0	       0	       0
2020_05_12	       0	       0	       0	       0
2020_05_13	       0	       0	       0	       0
2020_05_14	       0	       0	       0	       0
2020_05_15	       0	       0	       0	       0
2020_05_16	       0	       0	       0	       0
2020_05_17	       0	       0	       0	       0
2020_05_18	       0	       0	       0	       0
2020_05_19	       0	       0	       0	       0
2020_05_20	       0	       0	       0	       0
2020_05_21	       0	       0	       0	       0
2020_05_22	       0	       0	       0	       0
2020_05_23	       0	       0	       0	       0
2020_05_24	       0	       0	       0	       0
2020_05_25	       0	       0	       0	       0
2020_05_26	       0	       0	       0	       0
2020_05_27	       0	       0	       0	       0
2020_05_28	       0	       0	       0	       0
2020_05_29	       0	       0	       0	       0
2020_05_30	       0	       0	       0	       0
2020_05_31	       0	       0	       0	       0
2020_06_01	       0	       0	       0	       0
2020_06_02	       0	       0	       0	       0
2020_06_03	       0	       0	       0	       0
2020_06_04	       0	       0	       0	       0
2020_06_05	       0	       0	       0	       0
2020_06_06	       0	       0	       0	       0
2020_06_07	       0	       0	       0	       0
2020_06_08	       0	       0	       0	       0
2020_06_09	       0	       0	       0	       0
2020_06_10	       0	       0	       0	       0
2020_06_11	       0	       0	       0	       0
2020_06_12	       0	       0	       0	       0
2020_06_13	       0	       0	       0	       0
2020_06_14	       0	       0	       0	       0
2020_06_15	       0	       0	       0	       0
2020_06_16	       0	       0	       0	       0
2020_06_17	       0	       0	       0	       0
2020_06_18	       0	       0	       0	       0
2020_06_19	       0	       0	       0	       0
2020_06_20	       0	       0	       0	       0
2020_06_21	       0	       0	       0	       0
2020_06_22	       0	       0	       0	       0
2020_06_23	       0	       0	       0	       0
2020_06_24	       0	       0	       0	       0
2020_06_25	       0	       0	       0	       0
2020_06_26	       0	       0	       0	       0
2020_06_27	       0	       0	       0	       0
2020_06_28	       0	       0	       0	       0
2020_06_29	       0	       0	       0	       0
2020_06_30	       0	       0	       0	       0
2020_07_01	       0	       0	       0	       0
2020_07_02	       0	       0	       0	       0
2020_07_03	       0	       0	       0	       0
2020_07_04	       0	       0	       0	       0
2020_07_05	       0	       0	       0	       0
2020_07_06	       0	       0	       0	       0
2020_07_07	       0	       0	       0	       0
2020_07_08	       0	       0	       0	       0
2020_07_09	       0	       0	       0	       0
2020_07_10	       0	       0	       0	       0
2020_07_11	       0	       0	       0	       0
2020_07_12	       0	       0	       0	       0
2020_07_13	       0	       0	       0	       0
2020_07_14	       0	       0	       0	       0
2020_07_15	       0	       0	       0	       0
2020_07_16	       0	       0	       0	       0
2020_07_17	       0	       0	       0	       0
2020_07_18	       0	       0	       0	       0
2020_07_19	       0	       0	       0	       0
2020_07_20	       0	       0	       0	       0
2020_07_21	       0	       0	       0	       0
2020_07_22	       0	       0	       0	       0
2020_07_23	       0	       0	       0	       0
2020_07_24	       0	       0	       0	       0
2020_07_25	       0	       0	       0	       0
2020_07_26	       0	       0	       0	       0
2020_07_27	       0	       0	       0	       0
2020_07_28	       0	       0	       0	       0
2020_07_29	       0	       0	       0	       0
2020_07_30	       0	       0	       0	       0
2020_07_31	       0	       0	       0	       0
2020_08_01	       0	       0	       0	       0
2020_08_02	       0	       0	       0	       0
2020_08_03	       0	       0	       0	       0
2020_08_04	       0	       0	       0	       0
2020_08_05	       0	       0	       0	       0
2020_08_06	       0	       0	       0	       0
2020_08_07	       0	       0	       0	       0
2020_08_08	       0	       0	       0	       0
2020_08_09	       0	       0	       0	       0
2020_08_10	       0	       0	       0	       0
2020_08_11	       0	       0	       0	       0
2020_08_12	       0	       0	       0	       0
2020_08_13	       0	       0	       0	       0
2020_08_14	       0	       0	       0	       0
2020_08_15	       0	       0	       0	       0
2020_08_16	       0	       0	       0	       0
2020_08_17	       0	       0	       0	       0
2020_08_18	       0	       0	       0	       0
2020_08_19	       0	       0	       0	       0
2020_08_20	       0	       0	       0	       0
2020_08_21	       0	       0	       0	       0
2020_08_22	       0	       0	       0	       0
2020_08_23	       0	       0	       0	       0
2020_08_24	       0	       0	       0	       0
2020_08_25	       0	       0	       0	       0
2020_08_26	       0	       0	       0	       0
2020_08_27	       0	       0	       0	       0
2020_08_28	       0	       0	       0	       0
2020_08_29	       0	       0	       0	       0
