#
# COVID-19 Country file (official WHO count)
# Country = North Macedonia
# Latitude = 42.0
# Population = 2088.035
# Territory = 25713.0
# LEB = 75.8
# DPA = 21000
# DPA65 = 16170
# GDP = 5865.0
# GDP_PPP = 16312.0
# COVID-19 Mortality = 266.8
# First_Case = 2020_02_27
# First_Death = 2020_03_23
# Last_Case = 2020_03_23
# Last_Death = 2020_03_23
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_02_27	1	0
2020_02_28	1	0
2020_02_29	1	0
2020_03_01	1	0
2020_03_02	1	0
2020_03_03	1	0
2020_03_04	1	0
2020_03_05	1	0
2020_03_06	1	0
2020_03_07	3	0
2020_03_08	3	0
2020_03_09	3	0
2020_03_10	7	0
2020_03_11	7	0
2020_03_12	7	0
2020_03_13	7	0
2020_03_14	9	0
2020_03_15	13	0
2020_03_16	13	0
2020_03_17	19	0
2020_03_18	31	0
2020_03_19	36	0
2020_03_20	48	0
2020_03_21	70	0
2020_03_22	85	0
2020_03_23	114	1
2020_03_24	136	2
2020_03_25	148	2
2020_03_26	177	2
2020_03_27	201	3
2020_03_28	219	3
2020_03_29	241	4
2020_03_30	259	6
2020_03_31	285	7
2020_04_01	329	9
2020_04_02	354	11
2020_04_03	384	11
2020_04_04	430	12
2020_04_05	483	17
2020_04_06	555	18
2020_04_07	570	21
2020_04_08	599	27
2020_04_09	617	30
2020_04_10	663	30
2020_04_11	711	32
2020_04_12	828	34
2020_04_13	828	34
2020_04_14	854	38
2020_04_15	908	44
2020_04_16	974	45
2020_04_17	1081	46
2020_04_18	1117	49
2020_04_19	1170	49
2020_04_20	1207	51
2020_04_21	1225	54
2020_04_22	1231	55
2020_04_23	1259	56
2020_04_24	1300	56
2020_04_25	1326	57
2020_04_26	1367	59
2020_04_27	1386	61
2020_04_28	1399	65
2020_04_29	1421	71
2020_04_30	1442	73
2020_05_01	1465	77
2020_05_02	1494	81
2020_05_03	1506	82
2020_05_04	1511	84
2020_05_05	1518	85
2020_05_06	1526	86
2020_05_07	1539	88
2020_05_08	1572	89
2020_05_09	1586	90
2020_05_10	1622	91
2020_05_11	1642	91
2020_05_12	1664	91
2020_05_13	1674	92
2020_05_14	1694	95
2020_05_15	1723	95
2020_05_16	1740	97
2020_05_17	1762	98
2020_05_18	1792	101
2020_05_19	1817	104
2020_05_20	1839	106
2020_05_21	1858	110
2020_05_22	1898	111
2020_05_23	1921	112
2020_05_24	1941	113
2020_05_25	1978	113
2020_05_26	1999	113
2020_05_27	2015	116
2020_05_28	2040	119
2020_05_29	2078	122
2020_05_30	2130	126
2020_05_31	2164	131
2020_06_01	2226	133
2020_06_02	2315	140
2020_06_03	2391	141
2020_06_04	2492	145
2020_06_05	2612	147
2020_06_06	2792	149
2020_06_07	2915	151
2020_06_08	3028	153
2020_06_09	3155	156
2020_06_10	3242	157
2020_06_11	3367	164
2020_06_12	3542	169
2020_06_13	3706	171
2020_06_14	3902	179
2020_06_15	4057	188
2020_06_16	4157	193
2020_06_17	4289	201
2020_06_18	4482	210
2020_06_19	4664	216
2020_06_20	4820	222
2020_06_21	5005	233
2020_06_22	5106	238
2020_06_23	5196	247
2020_06_24	5314	251
2020_06_25	5450	259
2020_06_26	5603	265
2020_06_27	5758	268
2020_06_28	5906	277
2020_06_29	6092	286
2020_06_30	6224	298
2020_07_01	6350	302
2020_07_02	6470	306
2020_07_03	6643	321
2020_07_04	6787	328
2020_07_05	6932	334
2020_07_06	7046	341
2020_07_07	7124	346
2020_07_08	7243	351
2020_07_09	7405	359
2020_07_10	7572	362
2020_07_11	7770	367
2020_07_12	7967	375
2020_07_13	8111	382
2020_07_14	8197	385
2020_07_15	8331	389
2020_07_16	8522	393
2020_07_17	8612	401
2020_07_18	8786	406
2020_07_19	9026	414
2020_07_20	9153	422
2020_07_21	9249	432
2020_07_22	9412	432
2020_07_23	9547	442
2020_07_24	9668	445
2020_07_25	9797	451
2020_07_26	9797	451
2020_07_27	10086	460
2020_07_28	10213	466
2020_07_29	10315	471
2020_07_30	10500	476
2020_07_31	10617	480
2020_08_01	10762	486
2020_08_02	10900	493
2020_08_03	11066	497
2020_08_04	11140	500
2020_08_05	11201	505
2020_08_06	11289	511
2020_08_07	11399	517
2020_08_08	11571	519
2020_08_09	11771	523
2020_08_10	11856	527
2020_08_11	11965	528
2020_08_12	12106	529
2020_08_13	12245	530
2020_08_14	12386	532
2020_08_15	12386	532
2020_08_16	12546	535
2020_08_17	12654	538
2020_08_18	12762	541
2020_08_19	12870	544
2020_08_20	12978	547
2020_08_21	13086	550
2020_08_22	13194	553
2020_08_23	13308	557
