#
# COVID-19 Country file (official WHO count)
# Country = Northern Mariana Islands (Commonwealth of the)
# Latitude = 15.0
# Population = 55.347
# Territory = 464.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 23259.0
# GDP_PPP = 13300.0
# COVID-19 Mortality = 36.1
# First_Case = 2020_03_29
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2020_04_08
# Status as of 2021_06_13 = Pending
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_29	       2	       0	       2	       0
2020_03_30	       2	       0	       0	       0
2020_03_31	       2	       0	       0	       0
2020_04_01	       2	       0	       0	       0
2020_04_02	       6	       0	       4	       0
2020_04_03	       8	       1	       2	       1
2020_04_04	       8	       1	       0	       0
2020_04_05	       8	       1	       0	       0
2020_04_06	       8	       1	       0	       0
2020_04_07	       8	       1	       0	       0
2020_04_08	       8	       2	       0	       1
2020_04_09	      11	       2	       3	       0
2020_04_10	      11	       2	       0	       0
2020_04_11	      11	       2	       0	       0
2020_04_12	      11	       2	       0	       0
2020_04_13	      11	       2	       0	       0
2020_04_14	      11	       2	       0	       0
2020_04_15	      13	       2	       2	       0
2020_04_16	      13	       2	       0	       0
2020_04_17	      13	       2	       0	       0
2020_04_18	      14	       2	       1	       0
2020_04_19	      14	       2	       0	       0
2020_04_20	      14	       2	       0	       0
2020_04_21	      14	       2	       0	       0
2020_04_22	      14	       2	       0	       0
2020_04_23	      14	       2	       0	       0
2020_04_24	      14	       2	       0	       0
2020_04_25	      14	       2	       0	       0
2020_04_26	      14	       2	       0	       0
2020_04_27	      14	       2	       0	       0
2020_04_28	      14	       2	       0	       0
2020_04_29	      14	       2	       0	       0
2020_04_30	      14	       2	       0	       0
2020_05_01	      14	       2	       0	       0
2020_05_02	      14	       2	       0	       0
2020_05_03	      14	       2	       0	       0
2020_05_04	      14	       2	       0	       0
2020_05_05	      14	       2	       0	       0
2020_05_06	      14	       2	       0	       0
2020_05_07	      15	       2	       1	       0
2020_05_08	      15	       2	       0	       0
2020_05_09	      15	       2	       0	       0
2020_05_10	      16	       2	       1	       0
2020_05_11	      16	       2	       0	       0
2020_05_12	      19	       2	       3	       0
2020_05_13	      19	       2	       0	       0
2020_05_14	      19	       2	       0	       0
2020_05_15	      19	       2	       0	       0
2020_05_16	      19	       2	       0	       0
2020_05_17	      21	       2	       2	       0
2020_05_18	      21	       2	       0	       0
2020_05_19	      21	       2	       0	       0
2020_05_20	      21	       2	       0	       0
2020_05_21	      21	       2	       0	       0
2020_05_22	      22	       2	       1	       0
2020_05_23	      22	       2	       0	       0
2020_05_24	      22	       2	       0	       0
2020_05_25	      22	       2	       0	       0
2020_05_26	      22	       2	       0	       0
2020_05_27	      22	       2	       0	       0
2020_05_28	      22	       2	       0	       0
2020_05_29	      22	       2	       0	       0
2020_05_30	      22	       2	       0	       0
2020_05_31	      22	       2	       0	       0
2020_06_01	      22	       2	       0	       0
2020_06_02	      22	       2	       0	       0
2020_06_03	      23	       2	       1	       0
2020_06_04	      24	       2	       1	       0
2020_06_05	      26	       2	       2	       0
2020_06_06	      26	       2	       0	       0
2020_06_07	      26	       2	       0	       0
2020_06_08	      27	       2	       1	       0
2020_06_09	      28	       2	       1	       0
2020_06_10	      30	       2	       2	       0
2020_06_11	      30	       2	       0	       0
2020_06_12	      30	       2	       0	       0
2020_06_13	      30	       2	       0	       0
2020_06_14	      30	       2	       0	       0
2020_06_15	      30	       2	       0	       0
