#
# COVID-19 Country file (official WHO count)
# Country = Norway
# Latitude = 60.0
# Population = 5449.693
# Territory = 323802.0
# LEB = 82.4
# DPA = 43000
# DPA65 = 36550
# GDP = 78322.0
# GDP_PPP = 71916.0
# COVID-19 Mortality = 144.8
# First_Case = 2020_02_27
# Last_Case = 2021_06_13
# First_Death = 2020_03_14
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_27	       1	       0	       1	       0
2020_02_28	       4	       0	       3	       0
2020_02_29	       6	       0	       2	       0
2020_03_01	      15	       0	       9	       0
2020_03_02	      19	       0	       4	       0
2020_03_03	      25	       0	       6	       0
2020_03_04	      33	       0	       8	       0
2020_03_05	      56	       0	      23	       0
2020_03_06	      86	       0	      30	       0
2020_03_07	     113	       0	      27	       0
2020_03_08	     147	       0	      34	       0
2020_03_09	     169	       0	      22	       0
2020_03_10	     192	       0	      23	       0
2020_03_11	     277	       0	      85	       0
2020_03_12	     277	       0	       0	       0
2020_03_13	     489	       0	     212	       0
2020_03_14	     750	       1	     261	       1
2020_03_15	     907	       1	     157	       0
2020_03_16	    1077	       1	     170	       0
2020_03_17	    1169	       3	      92	       2
2020_03_18	    1308	       3	     139	       0
2020_03_19	    1423	       3	     115	       0
2020_03_20	    1552	       6	     129	       3
2020_03_21	    1742	       7	     190	       1
2020_03_22	    1926	       7	     184	       0
2020_03_23	    2132	       7	     206	       0
2020_03_24	    2371	       8	     239	       1
2020_03_25	    2566	      10	     195	       2
2020_03_26	    2916	      12	     350	       2
2020_03_27	    3156	      14	     240	       2
2020_03_28	    3581	      16	     425	       2
2020_03_29	    3845	      20	     264	       4
2020_03_30	    4102	      22	     257	       2
2020_03_31	    4226	      26	     124	       4
2020_04_01	    4447	      28	     221	       2
2020_04_02	    4665	      32	     218	       4
2020_04_03	    4935	      42	     270	      10
2020_04_04	    5208	      44	     273	       2
2020_04_05	    5510	      50	     302	       6
2020_04_06	    5640	      58	     130	       8
2020_04_07	    5755	      59	     115	       1
2020_04_08	    5863	      69	     108	      10
2020_04_09	    6010	      80	     147	      11
2020_04_10	    6160	      88	     150	       8
2020_04_11	    6244	      92	      84	       4
2020_04_12	    6320	      98	      76	       6
2020_04_13	    6415	     103	      95	       5
2020_04_14	    6488	     114	      73	      11
2020_04_15	    6566	     127	      78	      13
2020_04_16	    6677	     130	     111	       3
2020_04_17	    6791	     136	     114	       6
2020_04_18	    6791	     136	       0	       0
2020_04_19	    6984	     148	     193	      12
2020_04_20	    7068	     154	      84	       6
2020_04_21	    7113	     154	      45	       0
2020_04_22	    7166	     163	      53	       9
2020_04_23	    7250	     169	      84	       6
2020_04_24	    7345	     180	      95	      11
2020_04_25	    7408	     191	      63	      11
2020_04_26	    7467	     193	      59	       2
2020_04_27	    7505	     193	      38	       0
2020_04_28	    7533	     193	      28	       0
2020_04_29	    7605	     195	      72	       2
2020_04_30	    7667	     202	      62	       7
2020_05_01	    7710	     204	      43	       2
2020_05_02	    7759	     204	      49	       0
2020_05_03	    7759	     204	       0	       0
2020_05_04	    7809	     208	      50	       4
2020_05_05	    7847	     208	      38	       0
