#
# COVID-19 Country file (official WHO count)
# Country = Oman
# Latitude = 24.0
# Population = 5149.700
# Territory = 309500.0
# LEB = 77.9
# DPA = 12000
# DPA65 = 5160
# GDP = 16491.0
# GDP_PPP = 45318.0
# COVID-19 Mortality = 118.3
# First_Case = 2020_02_25
# First_Death = 2020_04_01
# Last_Case = 2020_04_01
# Last_Death = 2020_04_01
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_25	2	0
2020_02_26	4	0
2020_02_27	4	0
2020_02_28	6	0
2020_02_29	6	0
2020_03_01	6	0
2020_03_02	6	0
2020_03_03	6	0
2020_03_04	12	0
2020_03_05	15	0
2020_03_06	16	0
2020_03_07	16	0
2020_03_08	16	0
2020_03_09	16	0
2020_03_10	18	0
2020_03_11	18	0
2020_03_12	18	0
2020_03_13	18	0
2020_03_14	19	0
2020_03_15	20	0
2020_03_16	22	0
2020_03_17	24	0
2020_03_18	24	0
2020_03_19	33	0
2020_03_20	39	0
2020_03_21	48	0
2020_03_22	52	0
2020_03_23	55	0
2020_03_24	84	0
2020_03_25	99	0
2020_03_26	99	0
2020_03_27	109	0
2020_03_28	152	0
2020_03_29	167	0
2020_03_30	167	0
2020_03_31	179	0
2020_04_01	210	1
2020_04_02	231	1
2020_04_03	252	2
2020_04_04	277	1
2020_04_05	298	2
2020_04_06	331	2
2020_04_07	371	2
2020_04_08	419	2
2020_04_09	457	2
2020_04_10	484	3
2020_04_11	546	3
2020_04_12	599	3
2020_04_13	727	4
2020_04_14	813	4
2020_04_15	910	4
2020_04_16	1019	4
2020_04_17	1069	5
2020_04_18	1180	6
2020_04_19	1266	6
2020_04_20	1410	7
2020_04_21	1508	8
2020_04_22	1614	8
2020_04_23	1716	8
2020_04_24	1716	8
2020_04_25	1905	10
2020_04_26	1998	10
2020_04_27	2049	10
2020_04_28	2131	10
2020_04_29	2274	10
2020_04_30	2348	10
2020_05_01	2447	11
2020_05_02	2483	11
2020_05_03	2568	12
2020_05_04	2568	12
2020_05_05	2735	12
2020_05_06	2903	13
2020_05_07	2958	13
2020_05_08	3112	15
2020_05_09	3224	17
2020_05_10	3400	17
2020_05_11	3574	17
2020_05_12	3721	17
2020_05_13	4019	17
2020_05_14	4341	17
2020_05_15	4625	19
2020_05_16	5029	20
2020_05_17	5186	22
2020_05_18	5379	23
2020_05_19	5671	26
2020_05_20	5671	27
2020_05_21	6370	30
2020_05_22	6370	32
2020_05_23	6794	34
2020_05_24	7257	36
2020_05_25	7770	37
2020_05_26	7770	37
2020_05_27	8118	37
2020_05_28	8373	39
2020_05_29	9009	40
2020_05_30	9820	41
2020_05_31	10423	42
2020_06_01	11437	49
2020_06_02	12223	50
2020_06_03	12799	59
2020_06_04	13537	67
2020_06_05	14316	67
2020_06_06	15086	72
2020_06_07	16016	72
2020_06_08	16882	75
2020_06_09	17486	81
2020_06_10	18198	83
2020_06_11	18887	84
2020_06_12	19954	89
2020_06_13	21071	96
2020_06_14	22077	99
2020_06_15	23481	104
2020_06_16	24524	108
2020_06_17	25269	114
2020_06_18	26079	116
2020_06_19	26818	119
2020_06_20	27670	125
2020_06_21	28566	128
2020_06_22	29471	131
2020_06_23	31076	137
2020_06_24	32394	140
2020_06_25	33536	142
2020_06_26	34902	144
2020_06_27	36034	153
2020_06_28	36953	159
2020_06_29	38150	163
2020_06_30	39060	169
2020_07_01	40070	176
2020_07_02	41194	185
2020_07_03	42555	188
2020_07_04	43929	193
2020_07_05	45106	203
2020_07_06	46178	213
2020_07_07	47735	218
2020_07_08	48997	224
2020_07_09	50207	233
2020_07_10	51725	236
2020_07_11	53614	244
2020_07_12	54697	248
2020_07_13	56015	257
2020_07_14	58179	259
2020_07_15	59568	273
2020_07_16	61247	281
2020_07_17	62574	290
2020_07_18	64193	298
2020_07_19	65504	308
2020_07_20	66661	318
2020_07_21	68400	326
2020_07_22	69887	337
2020_07_23	71547	349
2020_07_24	72646	355
2020_07_25	73791	359
2020_07_26	73791	359
2020_07_27	76005	384
2020_07_28	77058	393
2020_07_29	77904	402
2020_07_30	78569	412
2020_07_31	79159	421
2020_08_01	79159	421
2020_08_02	79159	421
2020_08_03	79159	421
2020_08_04	79159	421
2020_08_05	79159	421
2020_08_06	80286	488
2020_08_07	80713	492
2020_08_08	81067	502
2020_08_09	81357	509
2020_08_10	81580	513
2020_08_11	81787	521
2020_08_12	82050	533
2020_08_13	82299	539
2020_08_14	82531	551
2020_08_15	82743	557
2020_08_16	82924	562
2020_08_17	83044	568
2020_08_18	83164	574
2020_08_19	83284	580
2020_08_20	83404	586
2020_08_21	83524	592
2020_08_22	83644	598
2020_08_23	83769	609
