#
# COVID-19 Country file (official WHO count)
# Country = Panama
# Latitude = 9.0
# Population = 4289.330
# Territory = 75417.0
# LEB = 78.5
# DPA = 22000
# DPA65 = 12320
# GDP = 15636.0
# GDP_PPP = 26103.0
# COVID-19 Mortality = 1498.4
# First_Case = 2020_03_10
# Last_Case = 2021_06_13
# First_Death = 2020_03_11
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_10	       1	       0	       1	       0
2020_03_11	       8	       1	       7	       1
2020_03_12	      10	       1	       2	       0
2020_03_13	      14	       1	       4	       0
2020_03_14	      27	       1	      13	       0
2020_03_15	      27	       1	       0	       0
2020_03_16	      43	       1	      16	       0
2020_03_17	      69	       1	      26	       0
2020_03_18	      69	       1	       0	       0
2020_03_19	      86	       1	      17	       0
2020_03_20	     109	       1	      23	       0
2020_03_21	     137	       1	      28	       0
2020_03_22	     137	       1	       0	       0
2020_03_23	     245	       3	     108	       2
2020_03_24	     345	       6	     100	       3
2020_03_25	     345	       6	       0	       0
2020_03_26	     558	       8	     213	       2
2020_03_27	     558	       8	       0	       0
2020_03_28	     674	       9	     116	       1
2020_03_29	     786	      14	     112	       5
2020_03_30	     901	      17	     115	       3
2020_03_31	     989	      24	      88	       7
2020_04_01	     989	      24	       0	       0
2020_04_02	    1181	      30	     192	       6
2020_04_03	    1317	      32	     136	       2
2020_04_04	    1475	      37	     158	       5
2020_04_05	    1673	      41	     198	       4
2020_04_06	    1801	      46	     128	       5
2020_04_07	    1988	      54	     187	       8
2020_04_08	    2100	      55	     112	       1
2020_04_09	    2249	      59	     149	       4
2020_04_10	    2528	      63	     279	       4
2020_04_11	    2752	      66	     224	       3
2020_04_12	    2974	      74	     222	       8
2020_04_13	    3234	      79	     260	       5
2020_04_14	    3400	      87	     166	       8
2020_04_15	    3472	      94	      72	       7
2020_04_16	    3574	      95	     102	       1
2020_04_17	    3751	     103	     177	       8
2020_04_18	    4016	     109	     265	       6
2020_04_19	    4210	     115	     194	       6
2020_04_20	    4273	     120	      63	       5
2020_04_21	    4467	     126	     194	       6
2020_04_22	    4658	     136	     191	      10
2020_04_23	    4821	     141	     163	       5
2020_04_24	    4992	     144	     171	       3
2020_04_25	    5166	     146	     174	       2
2020_04_26	    5338	     154	     172	       8
2020_04_27	    5538	     159	     200	       5
2020_04_28	    5779	     165	     241	       6
2020_04_29	    6021	     167	     242	       2
2020_04_30	    6200	     176	     179	       9
2020_05_01	    6378	     178	     178	       2
2020_05_02	    6532	     188	     154	      10
2020_05_03	    6720	     192	     188	       4
2020_05_04	    7090	     197	     370	       5
2020_05_05	    7197	     200	     107	       3
2020_05_06	    7387	     203	     190	       3
2020_05_07	    7523	     210	     136	       7
2020_05_08	    7731	     218	     208	       8
2020_05_09	    7868	     225	     137	       7
2020_05_10	    8070	     231	     202	       6
2020_05_11	    8282	     237	     212	       6
2020_05_12	    8448	     244	     166	       7
2020_05_13	    8616	     249	     168	       5
2020_05_14	    8616	     249	       0	       0
2020_05_15	    8944	     256	     328	       7
2020_05_16	    9118	     260	     174	       4
2020_05_17	    9268	     266	     150	       6
2020_05_18	    9449	     269	     181	       3
2020_05_19	    9606	     275	     157	       6
2020_05_20	    9726	     279	     120	       4
2020_05_21	    9867	     281	     141	       2
2020_05_22	    9977	     287	     110	       6
2020_05_23	   10116	     291	     139	       4
2020_05_24	   10267	     295	     151	       4
2020_05_25	   10577	     299	     310	       4
2020_05_26	   10926	     306	     349	       7
2020_05_27	   11183	     310	     257	       4
2020_05_28	   11447	     313	     264	       3
2020_05_29	   11728	     315	     281	       2
2020_05_30	   12131	     320	     403	       5
2020_05_31	   12531	     326	     400	       6
2020_06_01	   13018	     330	     487	       4
2020_06_02	   13463	     336	     445	       6
2020_06_03	   13837	     344	     374	       8
2020_06_04	   14095	     352	     258	       8
2020_06_05	   14609	     357	     514	       5
2020_06_06	   15044	     363	     435	       6
2020_06_07	   15463	     370	     419	       7
2020_06_08	   16004	     386	     541	      16
2020_06_09	   16425	     393	     421	       7
2020_06_10	   16854	     398	     429	       5
2020_06_11	   17233	     403	     379	       5
2020_06_12	   17889	     413	     656	      10
2020_06_13	   18586	     418	     697	       5
2020_06_14	   19211	     421	     625	       3
2020_06_15	   20059	     429	     848	       8
2020_06_16	   20686	     437	     627	       8
2020_06_17	   21422	     448	     736	      11
2020_06_18	   21962	     457	     540	       9
2020_06_19	   22597	     470	     635	      13
2020_06_20	   23351	     475	     754	       5
2020_06_21	   24274	     485	     923	      10
2020_06_22	   25222	     493	     948	       8
2020_06_23	   26030	     501	     808	       8
2020_06_24	   26752	     521	     722	      20
2020_06_25	   27314	     536	     562	      15
2020_06_26	   28030	     547	     716	      11
2020_06_27	   29037	     564	    1007	      17
2020_06_28	   29905	     575	     868	      11
2020_06_29	   30658	     592	     753	      17
2020_06_30	   31686	     604	    1028	      12
2020_07_01	   32785	     620	    1099	      16
2020_07_02	   33550	     631	     765	      11
2020_07_03	   34463	     645	     913	      14
2020_07_04	   35237	     667	     774	      22
2020_07_05	   35995	     698	     758	      31
2020_07_06	   36983	     720	     988	      22
2020_07_07	   38149	     747	    1166	      27
2020_07_08	   39334	     770	    1185	      23
2020_07_09	   40291	     799	     957	      29
2020_07_10	   41251	     819	     960	      20
2020_07_11	   42216	     839	     965	      20
2020_07_12	   43257	     863	    1041	      24
2020_07_13	   44332	     893	    1075	      30
2020_07_14	   45633	     909	    1301	      16
2020_07_15	   47173	     932	    1540	      23
2020_07_16	   48096	     960	     923	      28
2020_07_17	   49243	     982	    1147	      22
2020_07_18	   50373	    1000	    1130	      18
2020_07_19	   51408	    1038	    1035	      38
2020_07_20	   52261	    1071	     853	      33
2020_07_21	   53468	    1096	    1207	      25
2020_07_22	   54426	    1127	     958	      31
2020_07_23	   55153	    1159	     727	      32
2020_07_24	   55906	    1180	     753	      21
2020_07_25	   56817	    1209	     911	      29
2020_07_26	   56817	    1209	       0	       0
2020_07_27	   58864	    1275	    2047	      66
2020_07_28	   60296	    1294	    1432	      19
2020_07_29	   61442	    1322	    1146	      28
2020_07_30	   62223	    1349	     781	      27
2020_07_31	   63269	    1374	    1046	      25
2020_08_01	   64191	    1397	     922	      23
2020_08_02	   65256	    1421	    1065	      24
2020_08_03	   66383	    1449	    1127	      28
2020_08_04	   67453	    1471	    1070	      22
2020_08_05	   68456	    1497	    1003	      26
2020_08_06	   69424	    1522	     968	      25
2020_08_07	   70231	    1553	     807	      31
2020_08_08	   71418	    1574	    1187	      21
2020_08_09	   72560	    1591	    1142	      17
2020_08_10	   73651	    1609	    1091	      18
2020_08_11	   74492	    1639	     841	      30
2020_08_12	   75394	    1664	     902	      25
2020_08_13	   76464	    1680	    1070	      16
2020_08_14	   77377	    1703	     913	      23
2020_08_15	   78446	    1722	    1069	      19
2020_08_16	   79402	    1734	     956	      12
2020_08_17	   80114	    1751	     712	      17
2020_08_18	   80827	    1769	     713	      18
2020_08_19	   81540	    1787	     713	      18
2020_08_20	   82253	    1805	     713	      18
2020_08_21	   82966	    1823	     713	      18
2020_08_22	   83679	    1841	     713	      18
2020_08_23	   84392	    1859	     713	      18
