#
# COVID-19 Country file (official WHO count)
# Country = Paraguay
# Latitude = -25.0
# Population = 7066.330
# Territory = 406752.0
# LEB = 74.3
# DPA = 39000
# DPA65 = 20280
# GDP = 5279.0
# GDP_PPP = 12204.0
# COVID-19 Mortality = 25.8
# First_Case = 2020_03_09
# First_Death = 2020_03_22
# Last_Case = 2020_03_22
# Last_Death = 2020_03_22
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_09	1	0
2020_03_10	1	0
2020_03_11	8	0
2020_03_12	5	0
2020_03_13	5	0
2020_03_14	6	0
2020_03_15	6	0
2020_03_16	8	0
2020_03_17	9	0
2020_03_18	9	0
2020_03_19	11	0
2020_03_20	11	0
2020_03_21	13	0
2020_03_22	18	1
2020_03_23	22	1
2020_03_24	22	1
2020_03_25	27	2
2020_03_26	41	3
2020_03_27	41	3
2020_03_28	52	3
2020_03_29	56	3
2020_03_30	59	3
2020_03_31	64	3
2020_04_01	65	3
2020_04_02	69	3
2020_04_03	77	3
2020_04_04	92	3
2020_04_05	96	3
2020_04_06	104	3
2020_04_07	113	5
2020_04_08	115	5
2020_04_09	119	5
2020_04_10	124	5
2020_04_11	129	6
2020_04_12	133	6
2020_04_13	134	6
2020_04_14	147	6
2020_04_15	159	7
2020_04_16	161	8
2020_04_17	174	8
2020_04_18	199	8
2020_04_19	202	8
2020_04_20	206	8
2020_04_21	208	8
2020_04_22	208	8
2020_04_23	213	9
2020_04_24	213	9
2020_04_25	220	9
2020_04_26	223	9
2020_04_27	228	9
2020_04_28	228	9
2020_04_29	230	9
2020_04_30	239	9
2020_05_01	249	9
2020_05_02	266	10
2020_05_03	333	10
2020_05_04	370	10
2020_05_05	396	10
2020_05_06	431	10
2020_05_07	440	10
2020_05_08	462	10
2020_05_09	563	10
2020_05_10	689	10
2020_05_11	713	10
2020_05_12	724	10
2020_05_13	737	10
2020_05_14	740	11
2020_05_15	754	11
2020_05_16	759	11
2020_05_17	778	11
2020_05_18	786	11
2020_05_19	788	11
2020_05_20	829	11
2020_05_21	833	11
2020_05_22	836	11
2020_05_23	838	11
2020_05_24	850	11
2020_05_25	862	11
2020_05_26	865	11
2020_05_27	877	11
2020_05_28	884	11
2020_05_29	900	11
2020_05_30	917	11
2020_05_31	964	11
2020_06_01	986	11
2020_06_02	995	11
2020_06_03	1013	11
2020_06_04	1070	11
2020_06_05	1086	11
2020_06_06	1087	11
2020_06_07	1090	11
2020_06_08	1135	11
2020_06_09	1145	11
2020_06_10	1187	11
2020_06_11	1202	11
2020_06_12	1230	11
2020_06_13	1254	11
2020_06_14	1261	11
2020_06_15	1289	11
2020_06_16	1296	12
2020_06_17	1303	12
2020_06_18	1308	13
2020_06_19	1330	13
2020_06_20	1336	13
2020_06_21	1362	13
2020_06_22	1379	13
2020_06_23	1392	13
2020_06_24	1422	13
2020_06_25	1528	13
2020_06_26	1569	13
2020_06_27	1711	13
2020_06_28	1711	13
2020_06_29	1942	15
2020_06_30	2127	15
2020_07_01	2221	17
2020_07_02	2260	19
2020_07_03	2303	19
2020_07_04	2349	19
2020_07_05	2385	20
2020_07_06	2427	20
2020_07_07	2456	20
2020_07_08	2502	20
2020_07_09	2554	20
2020_07_10	2554	20
2020_07_11	2736	20
2020_07_12	2736	20
2020_07_13	2820	21
2020_07_14	2980	25
2020_07_15	2980	25
2020_07_16	3074	25
2020_07_17	3198	25
2020_07_18	3342	27
2020_07_19	3457	28
2020_07_20	3629	29
2020_07_21	3721	31
2020_07_22	3748	33
2020_07_23	3817	35
2020_07_24	4000	36
2020_07_25	4113	36
2020_07_26	4113	36
2020_07_27	4328	40
2020_07_28	4444	41
2020_07_29	4548	43
2020_07_30	4674	45
2020_07_31	4866	46
2020_08_01	5207	47
2020_08_02	5338	49
2020_08_03	5485	52
2020_08_04	5644	52
2020_08_05	5724	55
2020_08_06	5852	59
2020_08_07	6060	61
2020_08_08	6375	66
2020_08_09	6508	69
2020_08_10	6705	72
2020_08_11	6907	75
2020_08_12	7234	82
2020_08_13	7519	86
2020_08_14	8018	93
2020_08_15	8389	97
2020_08_16	9022	108
2020_08_17	9524	118
2020_08_18	10026	128
2020_08_19	10528	138
2020_08_20	11030	148
2020_08_21	11532	158
2020_08_22	12034	168
2020_08_23	12536	182
