#
# COVID-19 Country file (official WHO count)
# Country = Qatar
# Latitude = 25.0
# Population = 2791.807
# Territory = 11586.0
# LEB = 80.2
# DPA = 4000
# DPA65 = 1640
# GDP = 67329.0
# GDP_PPP = 130236.0
# COVID-19 Mortality = 69.1
# First_Case = 2020_03_01
# First_Death = 2020_03_29
# Last_Case = 2020_03_29
# Last_Death = 2020_03_29
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_01	1	0
2020_03_02	3	0
2020_03_03	7	0
2020_03_04	8	0
2020_03_05	8	0
2020_03_06	8	0
2020_03_07	11	0
2020_03_08	12	0
2020_03_09	15	0
2020_03_10	18	0
2020_03_11	24	0
2020_03_12	262	0
2020_03_13	262	0
2020_03_14	262	0
2020_03_15	337	0
2020_03_16	401	0
2020_03_17	439	0
2020_03_18	442	0
2020_03_19	442	0
2020_03_20	452	0
2020_03_21	460	0
2020_03_22	470	0
2020_03_23	494	0
2020_03_24	501	0
2020_03_25	526	0
2020_03_26	537	0
2020_03_27	549	0
2020_03_28	562	0
2020_03_29	590	1
2020_03_30	634	2
2020_03_31	693	1
2020_04_01	781	2
2020_04_02	835	2
2020_04_03	949	3
2020_04_04	1075	3
2020_04_05	1325	3
2020_04_06	1604	4
2020_04_07	1832	4
2020_04_08	2057	6
2020_04_09	2210	6
2020_04_10	2376	6
2020_04_11	2512	6
2020_04_12	2728	6
2020_04_13	2979	7
2020_04_14	3231	7
2020_04_15	3428	7
2020_04_16	3711	7
2020_04_17	4103	7
2020_04_18	4663	7
2020_04_19	5008	8
2020_04_20	5448	8
2020_04_21	6015	9
2020_04_22	6533	9
2020_04_23	7141	10
2020_04_24	7764	10
2020_04_25	8525	10
2020_04_26	9358	10
2020_04_27	10287	10
2020_04_28	11244	10
2020_04_29	11921	10
2020_04_30	12564	10
2020_05_01	13409	10
2020_05_02	14096	12
2020_05_03	14872	12
2020_05_04	15551	12
2020_05_05	16191	12
2020_05_06	17142	12
2020_05_07	17972	12
2020_05_08	18890	12
2020_05_09	20201	12
2020_05_10	21331	13
2020_05_11	22520	14
2020_05_12	23623	14
2020_05_13	25149	14
2020_05_14	26539	14
2020_05_15	28272	14
2020_05_16	29425	14
2020_05_17	30972	15
2020_05_18	32604	15
2020_05_19	35606	15
2020_05_20	35606	15
2020_05_21	37097	16
2020_05_22	38651	17
2020_05_23	40481	19
2020_05_24	42213	21
2020_05_25	43714	23
2020_05_26	45465	26
2020_05_27	47207	28
2020_05_28	48947	30
2020_05_29	50914	33
2020_05_30	52907	36
2020_05_31	55262	36
2020_06_01	56910	38
2020_06_02	58433	40
2020_06_03	60259	43
2020_06_04	62160	45
2020_06_05	63741	45
2020_06_06	65495	49
2020_06_07	67195	51
2020_06_08	68790	54
2020_06_09	70158	57
2020_06_10	71879	62
2020_06_11	73595	66
2020_06_12	75071	69
2020_06_13	76588	70
2020_06_14	78416	70
2020_06_15	79602	73
2020_06_16	80876	76
2020_06_17	82077	80
2020_06_18	83174	82
2020_06_19	84441	86
2020_06_20	85462	93
2020_06_21	86488	94
2020_06_22	87369	98
2020_06_23	88403	99
2020_06_24	89579	99
2020_06_25	90778	104
2020_06_26	91838	106
2020_06_27	92784	109
2020_06_28	93663	110
2020_06_29	94413	110
2020_06_30	95106	113
2020_07_01	96088	113
2020_07_02	97003	115
2020_07_03	97897	118
2020_07_04	99568	123
2020_07_05	99183	123
2020_07_06	99799	128
2020_07_07	100345	133
2020_07_08	100945	134
2020_07_09	101553	138
2020_07_10	102110	142
2020_07_11	102630	146
2020_07_12	103128	146
2020_07_13	103598	147
2020_07_14	104016	149
2020_07_15	104533	150
2020_07_16	104983	151
2020_07_17	105477	152
2020_07_18	105898	153
2020_07_19	106308	154
2020_07_20	106648	157
2020_07_21	107037	159
2020_07_22	107430	160
2020_07_23	107871	163
2020_07_24	108244	164
2020_07_25	108638	164
2020_07_26	108638	164
2020_07_27	109305	165
2020_07_28	109597	165
2020_07_29	109880	167
2020_07_30	110153	169
2020_07_31	110460	171
2020_08_01	110695	174
2020_08_02	110911	174
2020_08_03	111107	177
2020_08_04	111322	177
2020_08_05	111538	177
2020_08_06	111805	178
2020_08_07	112092	178
2020_08_08	112383	180
2020_08_09	112650	182
2020_08_10	112947	184
2020_08_11	113262	188
2020_08_12	113646	188
2020_08_13	113938	190
2020_08_14	114281	190
2020_08_15	114532	190
2020_08_16	114809	192
2020_08_17	115088	192
2020_08_18	115367	192
2020_08_19	115646	192
2020_08_20	115925	192
2020_08_21	116204	192
2020_08_22	116483	192
2020_08_23	116765	193
