#
# COVID-19 Country file (official WHO count)
# Country = Republic of Korea
# Latitude = 38.0
# Population = 51506.975
# Territory = 100210.0
# LEB = 83.0
# DPA = 316000
# DPA65 = 246480
# GDP = 30939.0
# GDP_PPP = 41988.0
# COVID-19 Mortality = 38.5
# First_Case = 2020_01_20
# Last_Case = 2021_06_13
# First_Death = 2020_02_20
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_20	       1	       0	       1	       0
2020_01_21	       1	       0	       0	       0
2020_01_22	       1	       0	       0	       0
2020_01_23	       1	       0	       0	       0
2020_01_24	       2	       0	       1	       0
2020_01_25	       2	       0	       0	       0
2020_01_26	       2	       0	       0	       0
2020_01_27	       4	       0	       2	       0
2020_01_28	       4	       0	       0	       0
2020_01_29	       4	       0	       0	       0
2020_01_30	       4	       0	       0	       0
2020_01_31	      11	       0	       7	       0
2020_02_01	      12	       0	       1	       0
2020_02_02	      15	       0	       3	       0
2020_02_03	      15	       0	       0	       0
2020_02_04	      16	       0	       1	       0
2020_02_05	      18	       0	       2	       0
2020_02_06	      23	       0	       5	       0
2020_02_07	      24	       0	       1	       0
2020_02_08	      24	       0	       0	       0
2020_02_09	      27	       0	       3	       0
2020_02_10	      27	       0	       0	       0
2020_02_11	      28	       0	       1	       0
2020_02_12	      28	       0	       0	       0
2020_02_13	      28	       0	       0	       0
2020_02_14	      28	       0	       0	       0
2020_02_15	      28	       0	       0	       0
2020_02_16	      29	       0	       1	       0
2020_02_17	      30	       0	       1	       0
2020_02_18	      31	       0	       1	       0
2020_02_19	      51	       0	      20	       0
2020_02_20	     104	       1	      53	       1
2020_02_21	     204	       1	     100	       0
2020_02_22	     364	       2	     160	       1
2020_02_23	     602	       5	     238	       3
2020_02_24	     763	       7	     161	       2
2020_02_25	     977	      10	     214	       3
2020_02_26	    1261	      12	     284	       2
2020_02_27	    1766	      13	     505	       1
2020_02_28	    2337	      13	     571	       0
2020_02_29	    3150	      17	     813	       4
2020_03_01	    3736	      18	     586	       1
2020_03_02	    4212	      22	     476	       4
2020_03_03	    4812	      28	     600	       6
2020_03_04	    5328	      32	     516	       4
2020_03_05	    5766	      35	     438	       3
2020_03_06	    6284	      42	     518	       7
2020_03_07	    6767	      44	     483	       2
2020_03_08	    7134	      50	     367	       6
2020_03_09	    7382	      51	     248	       1
2020_03_10	    7513	      54	     131	       3
2020_03_11	    7755	      60	     242	       6
2020_03_12	    7869	      66	     114	       6
2020_03_13	    7979	      66	     110	       0
2020_03_14	    8086	      72	     107	       6
2020_03_15	    8162	      75	      76	       3
2020_03_16	    8236	      75	      74	       0
2020_03_17	    8320	      81	      84	       6
2020_03_18	    8320	      81	       0	       0
2020_03_19	    8413	      84	      93	       3
2020_03_20	    8652	      94	     239	      10
2020_03_21	    8799	     102	     147	       8
2020_03_22	    8897	     104	      98	       2
2020_03_23	    8961	     111	      64	       7
2020_03_24	    9037	     120	      76	       9
2020_03_25	    9137	     126	     100	       6
2020_03_26	    9241	     131	     104	       5
2020_03_27	    9332	     139	      91	       8
2020_03_28	    9478	     144	     146	       5
2020_03_29	    9583	     152	     105	       8
2020_03_30	    9661	     158	      78	       6
2020_03_31	    9786	     162	     125	       4
2020_04_01	    9887	     165	     101	       3
2020_04_02	    9976	     169	      89	       4
2020_04_03	   10062	     174	      86	       5
2020_04_04	   10156	     177	      94	       3
2020_04_05	   10237	     183	      81	       6
2020_04_06	   10284	     186	      47	       3
2020_04_07	   10331	     192	      47	       6
2020_04_08	   10384	     200	      53	       8
2020_04_09	   10423	     204	      39	       4
2020_04_10	   10450	     208	      27	       4
2020_04_11	   10480	     211	      30	       3
2020_04_12	   10512	     214	      32	       3
2020_04_13	   10537	     217	      25	       3
2020_04_14	   10564	     222	      27	       5
2020_04_15	   10591	     225	      27	       3
2020_04_16	   10613	     229	      22	       4
2020_04_17	   10635	     230	      22	       1
2020_04_18	   10653	     232	      18	       2
2020_04_19	   10661	     234	       8	       2
2020_04_20	   10674	     236	      13	       2
2020_04_21	   10683	     237	       9	       1
2020_04_22	   10694	     238	      11	       1
2020_04_23	   10702	     240	       8	       2
2020_04_24	   10708	     240	       6	       0
2020_04_25	   10718	     240	      10	       0
2020_04_26	   10728	     242	      10	       2
2020_04_27	   10738	     243	      10	       1
2020_04_28	   10752	     244	      14	       1
2020_04_29	   10761	     246	       9	       2
2020_04_30	   10765	     247	       4	       1
2020_05_01	   10774	     248	       9	       1
2020_05_02	   10780	     250	       6	       2
2020_05_03	   10793	     250	      13	       0
2020_05_04	   10801	     252	       8	       2
2020_05_05	   10804	     254	       3	       2
2020_05_06	   10806	     255	       2	       1
2020_05_07	   10810	     256	       4	       1
2020_05_08	   10822	     256	      12	       0
2020_05_09	   10840	     256	      18	       0
2020_05_10	   10874	     256	      34	       0
2020_05_11	   10909	     256	      35	       0
2020_05_12	   10936	     258	      27	       2
2020_05_13	   10962	     259	      26	       1
2020_05_14	   10991	     260	      29	       1
2020_05_15	   11018	     260	      27	       0
2020_05_16	   11037	     262	      19	       2
2020_05_17	   11050	     262	      13	       0
2020_05_18	   11065	     263	      15	       1
2020_05_19	   11078	     263	      13	       0
2020_05_20	   11110	     263	      32	       0
2020_05_21	   11122	     264	      12	       1
2020_05_22	   11142	     264	      20	       0
2020_05_23	   11165	     266	      23	       2
2020_05_24	   11190	     266	      25	       0
2020_05_25	   11206	     267	      16	       1
2020_05_26	   11225	     269	      19	       2
2020_05_27	   11265	     269	      40	       0
2020_05_28	   11344	     269	      79	       0
2020_05_29	   11402	     269	      58	       0
2020_05_30	   11441	     269	      39	       0
2020_05_31	   11468	     270	      27	       1
2020_06_01	   11503	     271	      35	       1
2020_06_02	   11541	     272	      38	       1
2020_06_03	   11590	     273	      49	       1
2020_06_04	   11629	     273	      39	       0
2020_06_05	   11668	     273	      39	       0
2020_06_06	   11719	     273	      51	       0
2020_06_07	   11776	     273	      57	       0
2020_06_08	   11814	     273	      38	       0
2020_06_09	   11852	     274	      38	       1
2020_06_10	   11902	     276	      50	       2
2020_06_11	   11947	     276	      45	       0
2020_06_12	   12003	     277	      56	       1
2020_06_13	   12051	     277	      48	       0
2020_06_14	   12085	     277	      34	       0
2020_06_15	   12121	     277	      36	       0
2020_06_16	   12155	     278	      34	       1
2020_06_17	   12198	     279	      43	       1
2020_06_18	   12257	     280	      59	       1
2020_06_19	   12306	     280	      49	       0
2020_06_20	   12373	     280	      67	       0
2020_06_21	   12421	     280	      48	       0
2020_06_22	   12438	     280	      17	       0
2020_06_23	   12484	     281	      46	       1
2020_06_24	   12535	     281	      51	       0
2020_06_25	   12563	     282	      28	       1
2020_06_26	   12602	     282	      39	       0
2020_06_27	   12653	     282	      51	       0
2020_06_28	   12715	     282	      62	       0
2020_06_29	   12757	     282	      42	       0
2020_06_30	   12800	     282	      43	       0
2020_07_01	   12850	     282	      50	       0
2020_07_02	   12904	     282	      54	       0
2020_07_03	   12967	     282	      63	       0
2020_07_04	   13030	     283	      63	       1
2020_07_05	   13091	     283	      61	       0
2020_07_06	   13137	     284	      46	       1
2020_07_07	   13181	     285	      44	       1
2020_07_08	   13244	     285	      63	       0
2020_07_09	   13293	     287	      49	       2
2020_07_10	   13338	     288	      45	       1
2020_07_11	   13373	     288	      35	       0
2020_07_12	   13417	     289	      44	       1
2020_07_13	   13479	     289	      62	       0
2020_07_14	   13512	     289	      33	       0
2020_07_15	   13551	     289	      39	       0
2020_07_16	   13612	     291	      61	       2
2020_07_17	   13672	     293	      60	       2
2020_07_18	   13711	     294	      39	       1
2020_07_19	   13745	     295	      34	       1
2020_07_20	   13771	     296	      26	       1
2020_07_21	   13816	     296	      45	       0
2020_07_22	   13879	     297	      63	       1
2020_07_23	   13938	     297	      59	       0
2020_07_24	   13979	     298	      41	       1
2020_07_25	   14092	     298	     113	       0
2020_07_26	   14092	     298	       0	       0
2020_07_27	   14175	     299	      83	       1
2020_07_28	   14203	     300	      28	       1
2020_07_29	   14251	     300	      48	       0
2020_07_30	   14269	     300	      18	       0
2020_07_31	   14305	     301	      36	       1
2020_08_01	   14336	     301	      31	       0
2020_08_02	   14366	     301	      30	       0
2020_08_03	   14389	     301	      23	       0
2020_08_04	   14423	     301	      34	       0
2020_08_05	   14456	     302	      33	       1
2020_08_06	   14499	     302	      43	       0
2020_08_07	   14519	     303	      20	       1
2020_08_08	   14562	     304	      43	       1
2020_08_09	   14598	     305	      36	       1
2020_08_10	   14626	     305	      28	       0
2020_08_11	   14660	     305	      34	       0
2020_08_12	   14714	     305	      54	       0
2020_08_13	   14770	     305	      56	       0
2020_08_14	   14873	     305	     103	       0
2020_08_15	   15039	     305	     166	       0
2020_08_16	   15318	     305	     279	       0
2020_08_17	   15615	     305	     297	       0
2020_08_18	   15912	     306	     297	       1
2020_08_19	   16209	     306	     297	       0
2020_08_20	   16507	     307	     298	       1
2020_08_21	   16804	     307	     297	       0
2020_08_22	   17101	     308	     297	       1
2020_08_23	   17399	     309	     298	       1
2020_08_24	   17727	     311	     328	       2
2020_08_25	   18056	     313	     329	       2
2020_08_26	   18384	     315	     328	       2
2020_08_27	   18713	     317	     329	       2
2020_08_28	   19041	     319	     328	       2
2020_08_29	   19370	     321	     329	       2
