#
# COVID-19 Country file (official WHO count)
# Country = Republic of Moldova
# Latitude = 47.0
# Population = 4017.687
# Territory = 33846.0
# LEB = 71.9
# DPA = 47000
# DPA65 = 30080
# GDP = 2844.0
# GDP_PPP = 7044.0
# COVID-19 Mortality = 1531.2
# First_Case = 2020_03_08
# Last_Case = 2021_06_13
# First_Death = 2020_03_21
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_08	       1	       0	       1	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       3	       0	       2	       0
2020_03_12	       4	       0	       1	       0
2020_03_13	       4	       0	       0	       0
2020_03_14	       8	       0	       4	       0
2020_03_15	      12	       0	       4	       0
2020_03_16	      23	       0	      11	       0
2020_03_17	      29	       0	       6	       0
2020_03_18	      30	       0	       1	       0
2020_03_19	      36	       0	       6	       0
2020_03_20	      49	       0	      13	       0
2020_03_21	      66	       1	      17	       1
2020_03_22	      80	       1	      14	       0
2020_03_23	      94	       1	      14	       0
2020_03_24	     109	       1	      15	       0
2020_03_25	     125	       1	      16	       0
2020_03_26	     149	       1	      24	       0
2020_03_27	     177	       2	      28	       1
2020_03_28	     199	       2	      22	       0
2020_03_29	     231	       2	      32	       0
2020_03_30	     263	       2	      32	       0
2020_03_31	     298	       2	      35	       0
2020_04_01	     353	       3	      55	       1
2020_04_02	     423	       5	      70	       2
2020_04_03	     591	       8	     168	       3
2020_04_04	     591	       9	       0	       1
2020_04_05	     752	      12	     161	       3
2020_04_06	     864	      15	     112	       3
2020_04_07	     965	      19	     101	       4
2020_04_08	    1056	      22	      91	       3
2020_04_09	    1174	      28	     118	       6
2020_04_10	    1289	      29	     115	       1
2020_04_11	    1438	      29	     149	       0
2020_04_12	    1560	      30	     122	       1
2020_04_13	    1662	      33	     102	       3
2020_04_14	    1712	      36	      50	       3
2020_04_15	    1934	      41	     222	       5
2020_04_16	    2049	      46	     115	       5
2020_04_17	    2154	      54	     105	       8
2020_04_18	    2264	      56	     110	       2
2020_04_19	    2351	      60	      87	       4
2020_04_20	    2472	      67	     121	       7
2020_04_21	    2548	      70	      76	       3
2020_04_22	    2641	      73	      93	       3
