#
# COVID-19 Country file (official WHO count)
# Country = Romania
# Latitude = 44.0
# Population = 19388.362
# Territory = 238397.0
# LEB = 76.1
# DPA = 255000
# DPA65 = 196350
# GDP = 11849.0
# GDP_PPP = 27254.0
# COVID-19 Mortality = 166.7
# First_Case = 2020_02_27
# First_Death = 2020_03_23
# Last_Case = 2020_03_23
# Last_Death = 2020_03_23
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_27	1	0
2020_02_28	1	0
2020_02_29	3	0
2020_03_01	3	0
2020_03_02	3	0
2020_03_03	3	0
2020_03_04	4	0
2020_03_05	4	0
2020_03_06	6	0
2020_03_07	7	0
2020_03_08	13	0
2020_03_09	15	0
2020_03_10	15	0
2020_03_11	25	0
2020_03_12	48	0
2020_03_13	48	0
2020_03_14	64	0
2020_03_15	123	0
2020_03_16	158	0
2020_03_17	158	0
2020_03_18	184	0
2020_03_19	246	0
2020_03_20	260	0
2020_03_21	308	0
2020_03_22	367	0
2020_03_23	433	2
2020_03_24	576	7
2020_03_25	762	11
2020_03_26	906	13
2020_03_27	1029	17
2020_03_28	1292	24
2020_03_29	1452	29
2020_03_30	1760	40
2020_03_31	1952	44
2020_04_01	2245	69
2020_04_02	2460	85
2020_04_03	2738	94
2020_04_04	3183	133
2020_04_05	3613	141
2020_04_06	3864	148
2020_04_07	4057	157
2020_04_08	4417	182
2020_04_09	4761	209
2020_04_10	5202	229
2020_04_11	5467	257
2020_04_12	5990	282
2020_04_13	6300	306
2020_04_14	6633	318
2020_04_15	6879	344
2020_04_16	7216	372
2020_04_17	7707	387
2020_04_18	8067	400
2020_04_19	8418	417
2020_04_20	8746	434
2020_04_21	8936	451
2020_04_22	9242	483
2020_04_23	9710	508
2020_04_24	10096	527
2020_04_25	10417	552
2020_04_26	10635	575
2020_04_27	11036	608
2020_04_28	11339	631
2020_04_29	11616	650
2020_04_30	11978	675
2020_05_01	12240	717
2020_05_02	12567	744
2020_05_03	12732	771
2020_05_04	13163	780
2020_05_05	13512	803
2020_05_06	13837	827
2020_05_07	14107	858
2020_05_08	14499	876
2020_05_09	14811	898
2020_05_10	15131	926
2020_05_11	15362	952
2020_05_12	15588	972
2020_05_13	15778	1002
2020_05_14	16002	1016
2020_05_15	16247	1046
2020_05_16	16437	1056
2020_05_17	16704	1081
2020_05_18	16871	1097
2020_05_19	17036	1107
2020_05_20	17191	1126
2020_05_21	17387	1141
2020_05_22	17585	1151
2020_05_23	17712	1159
2020_05_24	17857	1170
2020_05_25	18070	1179
2020_05_26	18283	1197
2020_05_27	18429	1210
2020_05_28	18594	1219
2020_05_29	18791	1229
2020_05_30	18982	1240
2020_05_31	19133	1253
2020_06_01	19257	1262
2020_06_02	19398	1279
2020_06_03	19517	1279
2020_06_04	19669	1288
2020_06_05	19907	1299
2020_06_06	20103	1308
2020_06_07	20290	1318
2020_06_08	20479	1326
2020_06_09	20604	1334
2020_06_10	20749	1345
2020_06_11	20945	1360
2020_06_12	21182	1369
2020_06_13	21404	1380
2020_06_14	21679	1391
2020_06_15	21999	1410
2020_06_16	22165	1427
2020_06_17	22415	1437
2020_06_18	22760	1451
2020_06_19	23080	1473
2020_06_20	23400	1484
2020_06_21	23730	1500
2020_06_22	24045	1512
2020_06_23	24291	1523
2020_06_24	24505	1539
2020_06_25	24826	1555
2020_06_26	25286	1565
2020_06_27	25697	1579
2020_06_28	26022	1589
2020_06_29	26313	1612
2020_06_30	26582	1634
2020_07_01	26970	1651
2020_07_02	27296	1667
2020_07_03	27746	1687
2020_07_04	28166	1708
2020_07_05	28582	1731
2020_07_06	28973	1750
2020_07_07	29223	1768
2020_07_08	29620	1799
2020_07_09	30175	1817
2020_07_10	30789	1834
2020_07_11	31381	1847
2020_07_12	32079	1871
2020_07_13	32535	1884
2020_07_14	32948	1901
2020_07_15	33585	1931
2020_07_16	34226	1952
2020_07_17	35003	1971
2020_07_18	35802	1988
2020_07_19	36691	2009
2020_07_20	37458	2026
2020_07_21	38139	2038
2020_07_22	39133	2074
2020_07_23	40163	2101
2020_07_24	41275	2126
2020_07_25	42394	2150
2020_07_26	42394	2150
2020_07_27	44798	2187
2020_07_28	45902	2206
2020_07_29	47053	2239
2020_07_30	48235	2269
2020_07_31	49591	2304
2020_08_01	50886	2343
2020_08_02	52111	2379
2020_08_03	53186	2413
2020_08_04	54009	2432
2020_08_05	55241	2480
2020_08_06	56550	2521
2020_08_07	57895	2566
2020_08_08	59273	2616
2020_08_09	60623	2659
2020_08_10	61768	2700
2020_08_11	62547	2729
2020_08_12	63762	2764
2020_08_13	65177	2807
2020_08_14	66631	2860
2020_08_15	68046	2904
2020_08_16	69374	2954
2020_08_17	70541	2993
2020_08_18	71708	3032
2020_08_19	72875	3071
2020_08_20	74042	3110
2020_08_21	75209	3149
2020_08_22	76376	3188
2020_08_23	77544	3233
