#
# COVID-19 Country file (official WHO count)
# Country = Russian Federation
# Latitude = 56.0
# Population = 143786.842
# Territory = 17098246.0
# LEB = 72.6
# DPA = 1858000
# DPA65 = 1207700
# GDP = 11136.0
# GDP_PPP = 28769.0
# COVID-19 Mortality = 879.3
# First_Case = 2020_02_01
# Last_Case = 2021_06_13
# First_Death = 2020_03_26
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_01	       2	       0	       2	       0
2020_02_02	       2	       0	       0	       0
2020_02_03	       2	       0	       0	       0
2020_02_04	       2	       0	       0	       0
2020_02_05	       2	       0	       0	       0
2020_02_06	       2	       0	       0	       0
2020_02_07	       2	       0	       0	       0
2020_02_08	       2	       0	       0	       0
2020_02_09	       2	       0	       0	       0
2020_02_10	       2	       0	       0	       0
2020_02_11	       2	       0	       0	       0
2020_02_12	       2	       0	       0	       0
2020_02_13	       2	       0	       0	       0
2020_02_14	       2	       0	       0	       0
2020_02_15	       2	       0	       0	       0
2020_02_16	       2	       0	       0	       0
2020_02_17	       2	       0	       0	       0
2020_02_18	       2	       0	       0	       0
2020_02_19	       2	       0	       0	       0
2020_02_20	       2	       0	       0	       0
2020_02_21	       2	       0	       0	       0
2020_02_22	       2	       0	       0	       0
2020_02_23	       2	       0	       0	       0
2020_02_24	       2	       0	       0	       0
2020_02_25	       2	       0	       0	       0
2020_02_26	       2	       0	       0	       0
2020_02_27	       2	       0	       0	       0
2020_02_28	       2	       0	       0	       0
2020_02_29	       2	       0	       0	       0
2020_03_01	       2	       0	       0	       0
2020_03_02	       2	       0	       0	       0
2020_03_03	       3	       0	       1	       0
2020_03_04	       3	       0	       0	       0
2020_03_05	       3	       0	       0	       0
2020_03_06	       4	       0	       1	       0
2020_03_07	       7	       0	       3	       0
2020_03_08	       7	       0	       0	       0
2020_03_09	       7	       0	       0	       0
2020_03_10	       7	       0	       0	       0
2020_03_11	       7	       0	       0	       0
2020_03_12	      20	       0	      13	       0
2020_03_13	      34	       0	      14	       0
2020_03_14	      34	       0	       0	       0
2020_03_15	      34	       0	       0	       0
2020_03_16	      63	       0	      29	       0
2020_03_17	      93	       0	      30	       0
2020_03_18	      93	       0	       0	       0
2020_03_19	     147	       0	      54	       0
2020_03_20	     199	       0	      52	       0
2020_03_21	     253	       0	      54	       0
2020_03_22	     306	       0	      53	       0
2020_03_23	     438	       0	     132	       0
2020_03_24	     438	       0	       0	       0
2020_03_25	     658	       0	     220	       0
2020_03_26	     840	       2	     182	       2
2020_03_27	    1036	       3	     196	       1
2020_03_28	    1264	       4	     228	       1
2020_03_29	    1534	       8	     270	       4
2020_03_30	    1534	      10	       0	       2
2020_03_31	    1837	       9	     303	      -1
2020_04_01	    2337	      17	     500	       8
2020_04_02	    2777	      24	     440	       7
2020_04_03	    3548	      30	     771	       6
2020_04_04	    4149	      34	     601	       4
2020_04_05	    4731	      43	     582	       9
2020_04_06	    5389	      45	     658	       2
2020_04_07	    6343	      47	     954	       2
2020_04_08	    7497	      58	    1154	      11
