#
# COVID-19 Country file (official WHO count)
# Country = Saint Kitts and Nevis
# Latitude = 17.0
# Population = 56.813
# Territory = 261.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 18113.0
# GDP_PPP = 29653.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_26
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = No cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_26	2	0
2020_03_27	2	0
2020_03_28	2	0
2020_03_29	2	0
2020_03_30	4	0
2020_03_31	2	0
2020_04_01	8	0
2020_04_02	8	0
2020_04_03	8	0
2020_04_04	8	0
2020_04_05	9	0
2020_04_06	9	0
2020_04_07	10	0
2020_04_08	10	0
2020_04_09	11	0
2020_04_10	11	0
2020_04_11	11	0
2020_04_12	12	0
2020_04_13	12	0
2020_04_14	12	0
2020_04_15	12	0
2020_04_16	14	0
2020_04_17	14	0
2020_04_18	14	0
2020_04_19	14	0
2020_04_20	14	0
2020_04_21	15	0
2020_04_22	15	0
2020_04_23	15	0
2020_04_24	15	0
2020_04_25	15	0
2020_04_26	15	0
2020_04_27	15	0
2020_04_28	15	0
2020_04_29	15	0
2020_04_30	15	0
2020_05_01	15	0
2020_05_02	15	0
2020_05_03	15	0
2020_05_04	15	0
2020_05_05	15	0
2020_05_06	15	0
2020_05_07	15	0
2020_05_08	15	0
2020_05_09	15	0
2020_05_10	15	0
2020_05_11	15	0
2020_05_12	15	0
2020_05_13	15	0
2020_05_14	15	0
2020_05_15	15	0
2020_05_16	15	0
2020_05_17	15	0
2020_05_18	15	0
2020_05_19	15	0
2020_05_20	15	0
2020_05_21	15	0
2020_05_22	15	0
2020_05_23	15	0
2020_05_24	15	0
2020_05_25	15	0
2020_05_26	15	0
2020_05_27	15	0
2020_05_28	15	0
2020_05_29	15	0
2020_05_30	15	0
2020_05_31	15	0
2020_06_01	15	0
2020_06_02	15	0
2020_06_03	15	0
2020_06_04	15	0
2020_06_05	15	0
2020_06_06	15	0
2020_06_07	15	0
2020_06_08	15	0
2020_06_09	15	0
2020_06_10	15	0
2020_06_11	15	0
2020_06_12	15	0
2020_06_13	15	0
2020_06_14	15	0
2020_06_15	15	0
2020_06_16	15	0
2020_06_17	15	0
2020_06_18	15	0
2020_06_19	15	0
2020_06_20	15	0
2020_06_21	15	0
2020_06_22	15	0
2020_06_23	15	0
2020_06_24	15	0
2020_06_25	15	0
2020_06_26	15	0
2020_06_27	15	0
2020_06_28	15	0
2020_06_29	15	0
2020_06_30	15	0
2020_07_01	15	0
2020_07_02	15	0
2020_07_03	15	0
2020_07_04	15	0
2020_07_05	15	0
2020_07_06	16	0
2020_07_07	16	0
2020_07_08	16	0
2020_07_09	16	0
2020_07_10	16	0
2020_07_11	17	0
2020_07_12	17	0
2020_07_13	17	0
2020_07_14	17	0
2020_07_15	17	0
2020_07_16	17	0
2020_07_17	17	0
2020_07_18	17	0
2020_07_19	17	0
2020_07_20	17	0
2020_07_21	17	0
2020_07_22	17	0
2020_07_23	17	0
2020_07_24	17	0
2020_07_25	17	0
2020_07_26	17	0
2020_07_27	17	0
2020_07_28	17	0
2020_07_29	17	0
2020_07_30	17	0
2020_07_31	17	0
2020_08_01	17	0
2020_08_02	17	0
2020_08_03	17	0
2020_08_04	17	0
2020_08_05	17	0
2020_08_06	17	0
2020_08_07	17	0
2020_08_08	17	0
2020_08_09	17	0
2020_08_10	17	0
2020_08_11	17	0
2020_08_12	17	0
2020_08_13	17	0
2020_08_14	17	0
2020_08_15	17	0
2020_08_16	17	0
2020_08_17	17	0
2020_08_18	17	0
2020_08_19	17	0
2020_08_20	17	0
2020_08_21	17	0
2020_08_22	17	0
2020_08_23	17	0
