#
# COVID-19 Country file (official WHO count)
# Country = Saint Lucia
# Latitude = 14.0
# Population = 192.185
# Territory = 616.0
# LEB = 76.2
# DPA = 1000
# DPA65 = 620
# GDP = 10416.0
# GDP_PPP = 14180.0
# COVID-19 Mortality = 416.3
# First_Case = 2020_03_16
# Last_Case = 2021_06_13
# First_Death = 2020_11_12
# Last_Death = 2021_06_06
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_02_16
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_16	       1	       0	       1	       0
2020_03_17	       2	       0	       1	       0
2020_03_18	       2	       0	       0	       0
2020_03_19	       2	       0	       0	       0
2020_03_20	       2	       0	       0	       0
2020_03_21	       2	       0	       0	       0
2020_03_22	       2	       0	       0	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	       3	       0	       1	       0
2020_03_25	       3	       0	       0	       0
2020_03_26	       3	       0	       0	       0
2020_03_27	       3	       0	       0	       0
2020_03_28	       3	       0	       0	       0
2020_03_29	       3	       0	       0	       0
2020_03_30	       4	       0	       1	       0
2020_03_31	       9	       0	       5	       0
2020_04_01	       9	       0	       0	       0
2020_04_02	      13	       0	       4	       0
2020_04_03	      13	       0	       0	       0
2020_04_04	      13	       0	       0	       0
2020_04_05	      13	       0	       0	       0
2020_04_06	      14	       0	       1	       0
2020_04_07	      14	       0	       0	       0
2020_04_08	      14	       0	       0	       0
2020_04_09	      14	       0	       0	       0
2020_04_10	      14	       0	       0	       0
2020_04_11	      14	       0	       0	       0
2020_04_12	      15	       0	       1	       0
2020_04_13	      15	       0	       0	       0
2020_04_14	      15	       0	       0	       0
2020_04_15	      15	       0	       0	       0
2020_04_16	      15	       0	       0	       0
2020_04_17	      15	       0	       0	       0
2020_04_18	      15	       0	       0	       0
2020_04_19	      15	       0	       0	       0
2020_04_20	      15	       0	       0	       0
2020_04_21	      15	       0	       0	       0
2020_04_22	      15	       0	       0	       0
2020_04_23	      15	       0	       0	       0
2020_04_24	      15	       0	       0	       0
2020_04_25	      15	       0	       0	       0
2020_04_26	      15	       0	       0	       0
2020_04_27	      15	       0	       0	       0
2020_04_28	      15	       0	       0	       0
2020_04_29	      15	       0	       0	       0
2020_04_30	      17	       0	       2	       0
2020_05_01	      17	       0	       0	       0
2020_05_02	      17	       0	       0	       0
2020_05_03	      17	       0	       0	       0
2020_05_04	      17	       0	       0	       0
2020_05_05	      18	       0	       1	       0
2020_05_06	      18	       0	       0	       0
2020_05_07	      18	       0	       0	       0
2020_05_08	      18	       0	       0	       0
2020_05_09	      18	       0	       0	       0
2020_05_10	      18	       0	       0	       0
2020_05_11	      18	       0	       0	       0
2020_05_12	      18	       0	       0	       0
2020_05_13	      18	       0	       0	       0
2020_05_14	      18	       0	       0	       0
2020_05_15	      18	       0	       0	       0
2020_05_16	      18	       0	       0	       0
2020_05_17	      18	       0	       0	       0
2020_05_18	      18	       0	       0	       0
2020_05_19	      18	       0	       0	       0
2020_05_20	      18	       0	       0	       0
2020_05_21	      18	       0	       0	       0
2020_05_22	      18	       0	       0	       0
2020_05_23	      18	       0	       0	       0
2020_05_24	      18	       0	       0	       0
2020_05_25	      18	       0	       0	       0
2020_05_26	      18	       0	       0	       0
2020_05_27	      18	       0	       0	       0
2020_05_28	      18	       0	       0	       0
2020_05_29	      18	       0	       0	       0
2020_05_30	      18	       0	       0	       0
2020_05_31	      18	       0	       0	       0
2020_06_01	      18	       0	       0	       0
2020_06_02	      18	       0	       0	       0
2020_06_03	      18	       0	       0	       0
2020_06_04	      18	       0	       0	       0
2020_06_05	      18	       0	       0	       0
2020_06_06	      19	       0	       1	       0
2020_06_07	      19	       0	       0	       0
2020_06_08	      19	       0	       0	       0
2020_06_09	      19	       0	       0	       0
