#
# COVID-19 Country file (official WHO count)
# Country = Saint Martin
# Latitude = 18.0
# Population = 36.800
# Territory = 87.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 19300.0
# GDP_PPP = 19300.0
# COVID-19 Mortality = 135.9
# First_Case = 2020_03_05
# First_Death = 2020_03_31
# Last_Case = 2020_03_31
# Last_Death = 2020_03_31
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_05	2	0
2020_03_06	2	0
2020_03_07	2	0
2020_03_08	2	0
2020_03_09	2	0
2020_03_10	2	0
2020_03_11	2	0
2020_03_12	2	0
2020_03_13	2	0
2020_03_14	2	0
2020_03_15	2	0
2020_03_16	2	0
2020_03_17	2	0
2020_03_18	2	0
2020_03_19	4	0
2020_03_20	4	0
2020_03_21	4	0
2020_03_22	4	0
2020_03_23	5	0
2020_03_24	8	0
2020_03_25	8	0
2020_03_26	11	0
2020_03_27	11	0
2020_03_28	12	0
2020_03_29	12	0
2020_03_30	6	0
2020_03_31	18	1
2020_04_01	18	2
2020_04_02	21	2
2020_04_03	22	2
2020_04_04	22	2
2020_04_05	24	2
2020_04_06	29	2
2020_04_07	31	2
2020_04_08	31	2
2020_04_09	31	2
2020_04_10	32	2
2020_04_11	32	2
2020_04_12	33	2
2020_04_13	33	2
2020_04_14	33	2
2020_04_15	35	2
2020_04_16	35	2
2020_04_17	35	2
2020_04_18	35	2
2020_04_19	37	2
2020_04_20	37	2
2020_04_21	37	2
2020_04_22	37	2
2020_04_23	38	2
2020_04_24	38	2
2020_04_25	38	2
2020_04_26	38	3
2020_04_27	38	3
2020_04_28	38	3
2020_04_29	38	3
2020_04_30	38	3
2020_05_01	38	3
2020_05_02	38	3
2020_05_03	38	3
2020_05_04	38	3
2020_05_05	38	3
2020_05_06	38	3
2020_05_07	38	3
2020_05_08	38	3
2020_05_09	38	3
2020_05_10	38	3
2020_05_11	39	3
2020_05_12	39	3
2020_05_13	39	3
2020_05_14	39	3
2020_05_15	39	3
2020_05_16	39	3
2020_05_17	39	3
2020_05_18	39	3
2020_05_19	39	3
2020_05_20	39	3
2020_05_21	39	3
2020_05_22	39	3
2020_05_23	39	3
2020_05_24	39	3
2020_05_25	39	3
2020_05_26	39	3
2020_05_27	40	3
2020_05_28	40	3
2020_05_29	40	3
2020_05_30	40	3
2020_05_31	41	3
2020_06_01	41	3
2020_06_02	41	3
2020_06_03	41	3
2020_06_04	41	3
2020_06_05	41	3
2020_06_06	41	3
2020_06_07	41	3
2020_06_08	41	3
2020_06_09	41	3
2020_06_10	41	3
2020_06_11	41	3
2020_06_12	41	3
2020_06_13	41	3
2020_06_14	41	3
2020_06_15	41	3
2020_06_16	41	3
2020_06_17	42	3
2020_06_18	42	3
2020_06_19	42	3
2020_06_20	42	3
2020_06_21	42	3
2020_06_22	42	3
2020_06_23	42	3
2020_06_24	42	3
2020_06_25	42	3
2020_06_26	42	3
2020_06_27	42	3
2020_06_28	42	3
2020_06_29	42	3
2020_06_30	43	3
2020_07_01	43	3
2020_07_02	43	3
2020_07_03	43	3
2020_07_04	43	3
2020_07_05	44	3
2020_07_06	44	3
2020_07_07	44	3
2020_07_08	44	3
2020_07_09	44	3
2020_07_10	44	3
2020_07_11	44	3
2020_07_12	44	3
2020_07_13	44	3
2020_07_14	44	3
2020_07_15	44	3
2020_07_16	44	3
2020_07_17	44	3
2020_07_18	46	3
2020_07_19	46	3
2020_07_20	46	3
2020_07_21	46	3
2020_07_22	46	3
2020_07_23	46	3
2020_07_24	46	3
2020_07_25	46	3
2020_07_26	46	3
2020_07_27	49	3
2020_07_28	49	3
2020_07_29	49	3
2020_07_30	49	3
2020_07_31	53	3
2020_08_01	53	3
2020_08_02	53	3
2020_08_03	53	3
2020_08_04	53	3
2020_08_05	53	3
2020_08_06	53	3
2020_08_07	53	3
2020_08_08	53	3
2020_08_09	53	3
2020_08_10	78	3
2020_08_11	78	3
2020_08_12	84	4
2020_08_13	84	4
2020_08_14	92	4
2020_08_15	92	4
2020_08_16	109	5
2020_08_17	118	5
2020_08_18	127	5
2020_08_19	136	5
2020_08_20	145	5
2020_08_21	154	5
2020_08_22	163	5
2020_08_23	176	5
