#
# COVID-19 Country file (official WHO count)
# Country = Saint Vincent and the Grenadines
# Latitude = 13.0
# Population = 110.757
# Territory = 389.0
# LEB = 72.5
# DPA = 1000
# DPA65 = 630
# GDP = 7364.0
# GDP_PPP = 12290.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_13
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_13	1	0
2020_03_14	1	0
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	1	0
2020_03_18	1	0
2020_03_19	1	0
2020_03_20	1	0
2020_03_21	1	0
2020_03_22	1	0
2020_03_23	1	0
2020_03_24	1	0
2020_03_25	1	0
2020_03_26	1	0
2020_03_27	1	0
2020_03_28	1	0
2020_03_29	1	0
2020_03_30	1	0
2020_03_31	1	0
2020_04_01	1	0
2020_04_02	1	0
2020_04_03	2	0
2020_04_04	3	0
2020_04_05	3	0
2020_04_06	3	0
2020_04_07	7	0
2020_04_08	7	0
2020_04_09	8	0
2020_04_10	8	0
2020_04_11	12	0
2020_04_12	12	0
2020_04_13	12	0
2020_04_14	12	0
2020_04_15	12	0
2020_04_16	12	0
2020_04_17	12	0
2020_04_18	12	0
2020_04_19	12	0
2020_04_20	12	0
2020_04_21	12	0
2020_04_22	12	0
2020_04_23	13	0
2020_04_24	13	0
2020_04_25	14	0
2020_04_26	14	0
2020_04_27	14	0
2020_04_28	15	0
2020_04_29	15	0
2020_04_30	16	0
2020_05_01	16	0
2020_05_02	16	0
2020_05_03	16	0
2020_05_04	16	0
2020_05_05	17	0
2020_05_06	17	0
2020_05_07	17	0
2020_05_08	17	0
2020_05_09	17	0
2020_05_10	17	0
2020_05_11	17	0
2020_05_12	17	0
2020_05_13	17	0
2020_05_14	17	0
2020_05_15	17	0
2020_05_16	17	0
2020_05_17	17	0
2020_05_18	17	0
2020_05_19	17	0
2020_05_20	17	0
2020_05_21	18	0
2020_05_22	18	0
2020_05_23	18	0
2020_05_24	18	0
2020_05_25	18	0
2020_05_26	18	0
2020_05_27	18	0
2020_05_28	18	0
2020_05_29	25	0
2020_05_30	25	0
2020_05_31	25	0
2020_06_01	26	0
2020_06_02	26	0
2020_06_03	26	0
2020_06_04	26	0
2020_06_05	26	0
2020_06_06	26	0
2020_06_07	26	0
2020_06_08	26	0
2020_06_09	27	0
2020_06_10	27	0
2020_06_11	27	0
2020_06_12	27	0
2020_06_13	27	0
2020_06_14	27	0
2020_06_15	27	0
2020_06_16	27	0
2020_06_17	27	0
2020_06_18	29	0
2020_06_19	29	0
2020_06_20	29	0
2020_06_21	29	0
2020_06_22	29	0
2020_06_23	29	0
2020_06_24	29	0
2020_06_25	29	0
2020_06_26	29	0
2020_06_27	29	0
2020_06_28	29	0
2020_06_29	29	0
2020_06_30	29	0
2020_07_01	29	0
2020_07_02	29	0
2020_07_03	29	0
2020_07_04	29	0
2020_07_05	29	0
2020_07_06	29	0
2020_07_07	29	0
2020_07_08	29	0
2020_07_09	29	0
2020_07_10	29	0
2020_07_11	29	0
2020_07_12	29	0
2020_07_13	29	0
2020_07_14	35	0
2020_07_15	35	0
2020_07_16	35	0
2020_07_17	35	0
2020_07_18	35	0
2020_07_19	35	0
2020_07_20	38	0
2020_07_21	50	0
2020_07_22	50	0
2020_07_23	50	0
2020_07_24	52	0
2020_07_25	52	0
2020_07_26	52	0
2020_07_27	52	0
2020_07_28	52	0
2020_07_29	52	0
2020_07_30	52	0
2020_07_31	52	0
2020_08_01	54	0
2020_08_02	54	0
2020_08_03	54	0
2020_08_04	55	0
2020_08_05	55	0
2020_08_06	55	0
2020_08_07	56	0
2020_08_08	56	0
2020_08_09	56	0
2020_08_10	56	0
2020_08_11	57	0
2020_08_12	57	0
2020_08_13	57	0
2020_08_14	57	0
2020_08_15	57	0
2020_08_16	57	0
2020_08_17	57	0
2020_08_18	57	0
2020_08_19	57	0
2020_08_20	57	0
2020_08_21	57	0
2020_08_22	57	0
2020_08_23	58	0
