#
# COVID-19 Country file (official WHO count)
# Country = San Marino
# Latitude = 44.0
# Population = 33.809
# Territory = 61.2
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 48787.0
# GDP_PPP = 61817.0
# COVID-19 Mortality = 2662.0
# First_Case = 2020_02_29
# Last_Case = 2021_06_13
# First_Death = 2020_03_08
# Last_Death = 2021_05_02
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Sputnik V
# Vaccine start = 2021_02_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_29	       1	       0	       1	       0
2020_03_01	       1	       0	       0	       0
2020_03_02	       1	       0	       0	       0
2020_03_03	       8	       0	       7	       0
2020_03_04	       8	       0	       0	       0
2020_03_05	      16	       0	       8	       0
2020_03_06	      21	       0	       5	       0
2020_03_07	      24	       0	       3	       0
2020_03_08	      27	       1	       3	       1
2020_03_09	      37	       1	      10	       0
2020_03_10	      49	       2	      12	       1
2020_03_11	      63	       2	      14	       0
2020_03_12	      63	       2	       0	       0
2020_03_13	      63	       2	       0	       0
2020_03_14	      66	       2	       3	       0
2020_03_15	      92	       5	      26	       3
2020_03_16	      92	       5	       0	       0
2020_03_17	     102	       9	      10	       4
2020_03_18	     104	      11	       2	       2
2020_03_19	     109	      14	       5	       3
2020_03_20	     126	      14	      17	       0
2020_03_21	     151	      14	      25	       0
2020_03_22	     151	      20	       0	       6
2020_03_23	     151	      20	       0	       0
2020_03_24	     187	      20	      36	       0
2020_03_25	     187	      21	       0	       1
2020_03_26	     208	      21	      21	       0
2020_03_27	     218	      21	      10	       0
2020_03_28	     228	      21	      10	       0
2020_03_29	     228	      22	       0	       1
2020_03_30	     229	      24	       1	       2
2020_03_31	     230	      25	       1	       1
2020_04_01	     236	      26	       6	       1
2020_04_02	     236	      28	       0	       2
2020_04_03	     245	      30	       9	       2
2020_04_04	     252	      32	       7	       2
2020_04_05	     259	      32	       7	       0
2020_04_06	     266	      32	       7	       0
2020_04_07	     277	      32	      11	       0
2020_04_08	     279	      34	       2	       2
2020_04_09	     308	      34	      29	       0
2020_04_10	     344	      34	      36	       0
2020_04_11	     344	      34	       0	       0
2020_04_12	     356	      35	      12	       1
2020_04_13	     356	      35	       0	       0
2020_04_14	     371	      36	      15	       1
2020_04_15	     372	      36	       1	       0
2020_04_16	     393	      36	      21	       0
2020_04_17	     426	      38	      33	       2
2020_04_18	     426	      38	       0	       0
2020_04_19	     455	      39	      29	       1
2020_04_20	     461	      39	       6	       0
2020_04_21	     462	      39	       1	       0
2020_04_22	     476	      40	      14	       1
2020_04_23	     488	      40	      12	       0
2020_04_24	     501	      40	      13	       0
2020_04_25	     513	      40	      12	       0
2020_04_26	     513	      40	       0	       0
2020_04_27	     538	      41	      25	       1
2020_04_28	     538	      41	       0	       0
2020_04_29	     553	      41	      15	       0
2020_04_30	     563	      41	      10	       0
2020_05_01	     569	      41	       6	       0
2020_05_02	     580	      41	      11	       0
2020_05_03	     580	      41	       0	       0
2020_05_04	     582	      41	       2	       0
2020_05_05	     582	      41	       0	       0
2020_05_06	     589	      41	       7	       0
2020_05_07	     608	      41	      19	       0
2020_05_08	     632	      41	      24	       0
2020_05_09	     632	      41	       0	       0
2020_05_10	     632	      41	       0	       0
2020_05_11	     637	      41	       5	       0
2020_05_12	     647	      41	      10	       0
2020_05_13	     647	      41	       0	       0
2020_05_14	     647	      41	       0	       0
2020_05_15	     647	      41	       0	       0
2020_05_16	     652	      41	       5	       0
2020_05_17	     652	      41	       0	       0
2020_05_18	     668	      41	      16	       0
2020_05_19	     668	      41	       0	       0
2020_05_20	     668	      41	       0	       0
2020_05_21	     670	      41	       2	       0
2020_05_22	     672	      41	       2	       0
2020_05_23	     672	      41	       0	       0
2020_05_24	     672	      42	       0	       1
2020_05_25	     672	      42	       0	       0
2020_05_26	     672	      42	       0	       0
2020_05_27	     672	      42	       0	       0
2020_05_28	     672	      42	       0	       0
2020_05_29	     687	      42	      15	       0
2020_05_30	     687	      42	       0	       0
2020_05_31	     687	      42	       0	       0
2020_06_01	     687	      42	       0	       0
2020_06_02	     687	      42	       0	       0
2020_06_03	     687	      42	       0	       0
2020_06_04	     687	      42	       0	       0
