#
# COVID-19 Country file (official WHO count)
# Country = Sao Tome and Principe
# Latitude = 0.0
# Population = 218.011
# Territory = 964.0
# LEB = 70.4
# DPA = 1000
# DPA65 = 400
# GDP = 1952.0
# GDP_PPP = 3373.0
# COVID-19 Mortality = 169.7
# First_Case = 2020_04_07
# Last_Case = 2021_06_13
# First_Death = 2020_05_01
# Last_Death = 2021_05_30
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_04_07	       4	       0	       4	       0
2020_04_08	       4	       0	       0	       0
2020_04_09	       4	       0	       0	       0
2020_04_10	       4	       0	       0	       0
2020_04_11	       4	       0	       0	       0
2020_04_12	       4	       0	       0	       0
2020_04_13	       4	       0	       0	       0
2020_04_14	       4	       0	       0	       0
2020_04_15	       4	       0	       0	       0
2020_04_16	       4	       0	       0	       0
2020_04_17	       4	       0	       0	       0
2020_04_18	       4	       0	       0	       0
2020_04_19	       4	       0	       0	       0
2020_04_20	       4	       0	       0	       0
2020_04_21	       4	       0	       0	       0
2020_04_22	       4	       0	       0	       0
2020_04_23	       7	       0	       3	       0
2020_04_24	       8	       0	       1	       0
2020_04_25	       8	       0	       0	       0
2020_04_26	       8	       0	       0	       0
2020_04_27	       8	       0	       0	       0
2020_04_28	       8	       0	       0	       0
2020_04_29	      11	       0	       3	       0
2020_04_30	      11	       0	       0	       0
2020_05_01	      16	       1	       5	       1
2020_05_02	      16	       1	       0	       0
2020_05_03	      23	       3	       7	       2
2020_05_04	      23	       3	       0	       0
2020_05_05	     161	       3	     138	       0
2020_05_06	     171	       3	      10	       0
2020_05_07	     174	       3	       3	       0
2020_05_08	     165	       4	      -9	       1
2020_05_09	     208	       5	      43	       1
2020_05_10	     165	       4	     -43	      -1
2020_05_11	     165	       4	       0	       0
2020_05_12	     165	       4	       0	       0
2020_05_13	     165	       4	       0	       0
2020_05_14	     165	       7	       0	       3
2020_05_15	     166	       7	       1	       0
2020_05_16	     166	       7	       0	       0
2020_05_17	     169	       7	       3	       0
2020_05_18	     169	       7	       0	       0
2020_05_19	     165	       7	      -4	       0
2020_05_20	     165	       7	       0	       0
2020_05_21	     165	       8	       0	       1
2020_05_22	     165	       8	       0	       0
2020_05_23	     165	       8	       0	       0
2020_05_24	     174	       8	       9	       0
2020_05_25	     174	       9	       0	       1
2020_05_26	     165	      10	      -9	       1
2020_05_27	     295	      10	     130	       0
2020_05_28	     295	      10	       0	       0
2020_05_29	     295	      10	       0	       0
2020_05_30	     295	      10	       0	       0
2020_05_31	     295	      10	       0	       0
2020_06_01	     295	      10	       0	       0
2020_06_02	     295	      10	       0	       0
2020_06_03	     295	      10	       0	       0
2020_06_04	     295	      10	       0	       0
2020_06_05	     295	      10	       0	       0
2020_06_06	     295	      10	       0	       0
2020_06_07	     295	      10	       0	       0
2020_06_08	     295	      10	       0	       0
2020_06_09	     295	      10	       0	       0
2020_06_10	     295	      10	       0	       0
2020_06_11	     388	      10	      93	       0
2020_06_12	     388	      10	       0	       0
2020_06_13	     388	      10	       0	       0
2020_06_14	     388	      10	       0	       0
2020_06_15	     388	      10	       0	       0
2020_06_16	     388	      10	       0	       0
2020_06_17	     398	      10	      10	       0
2020_06_18	     388	      10	     -10	       0
2020_06_19	     388	      10	       0	       0
2020_06_20	     388	      10	       0	       0
2020_06_21	     388	      10	       0	       0
2020_06_22	     388	      10	       0	       0
2020_06_23	     388	      10	       0	       0
2020_06_24	     388	      10	       0	       0
2020_06_25	     388	      10	       0	       0
2020_06_26	     392	      11	       4	       1
2020_06_27	     392	      11	       0	       0
2020_06_28	     393	      11	       1	       0
2020_06_29	     393	      11	       0	       0
2020_06_30	     393	      11	       0	       0
2020_07_01	     394	      11	       1	       0
2020_07_02	     395	      11	       1	       0
2020_07_03	     397	      11	       2	       0
2020_07_04	     399	      11	       2	       0
2020_07_05	     399	      11	       0	       0
2020_07_06	     400	      11	       1	       0
2020_07_07	     401	      11	       1	       0
2020_07_08	     404	      11	       3	       0
2020_07_09	     404	      11	       0	       0
2020_07_10	     406	      12	       2	       1
2020_07_11	     407	      12	       1	       0
2020_07_12	     407	      12	       0	       0
2020_07_13	     409	      12	       2	       0
2020_07_14	     412	      12	       3	       0
2020_07_15	     416	      12	       4	       0
2020_07_16	     417	      12	       1	       0
2020_07_17	     740	      14	     323	       2
2020_07_18	     741	      14	       1	       0
2020_07_19	     743	      14	       2	       0
2020_07_20	     746	      14	       3	       0
2020_07_21	     746	      14	       0	       0
2020_07_22	     746	      14	       0	       0
2020_07_23	     747	      14	       1	       0
2020_07_24	     749	      14	       2	       0
2020_07_25	     860	      14	     111	       0
2020_07_26	     860	      14	       0	       0
2020_07_27	     863	      14	       3	       0
2020_07_28	     865	      14	       2	       0
2020_07_29	     867	      14	       2	       0
2020_07_30	     868	      15	       1	       1
2020_07_31	     870	      15	       2	       0
2020_08_01	     871	      15	       1	       0
2020_08_02	     874	      15	       3	       0
2020_08_03	     874	      15	       0	       0
2020_08_04	     874	      15	       0	       0
2020_08_05	     875	      15	       1	       0
2020_08_06	     878	      15	       3	       0
2020_08_07	     878	      15	       0	       0
2020_08_08	     878	      15	       0	       0
2020_08_09	     878	      15	       0	       0
2020_08_10	     878	      15	       0	       0
2020_08_11	     878	      15	       0	       0
2020_08_12	     881	      15	       3	       0
2020_08_13	     882	      15	       1	       0
2020_08_14	     883	      15	       1	       0
2020_08_15	     885	      15	       2	       0
2020_08_16	     885	      15	       0	       0
2020_08_17	     886	      15	       1	       0
2020_08_18	     887	      15	       1	       0
2020_08_19	     888	      15	       1	       0
2020_08_20	     889	      15	       1	       0
2020_08_21	     890	      15	       1	       0
2020_08_22	     891	      15	       1	       0
2020_08_23	     892	      15	       1	       0
2020_08_24	     892	      15	       0	       0
2020_08_25	     892	      15	       0	       0
2020_08_26	     893	      15	       1	       0
2020_08_27	     893	      15	       0	       0
2020_08_28	     894	      15	       1	       0
2020_08_29	     894	      15	       0	       0
2020_08_30	     895	      15	       1	       0
2020_08_31	     895	      15	       0	       0
2020_09_01	     895	      15	       0	       0
2020_09_02	     896	      15	       1	       0
2020_09_03	     896	      15	       0	       0
2020_09_04	     897	      15	       1	       0
2020_09_05	     897	      15	       0	       0
2020_09_06	     898	      15	       1	       0
2020_09_07	     899	      15	       1	       0
2020_09_08	     900	      15	       1	       0
2020_09_09	     901	      15	       1	       0
2020_09_10	     902	      15	       1	       0
2020_09_11	     903	      15	       1	       0
2020_09_12	     904	      15	       1	       0
2020_09_13	     906	      15	       2	       0
2020_09_14	     906	      15	       0	       0
2020_09_15	     906	      15	       0	       0
2020_09_16	     906	      15	       0	       0
2020_09_17	     907	      15	       1	       0
2020_09_18	     907	      15	       0	       0
2020_09_19	     907	      15	       0	       0
2020_09_20	     908	      15	       1	       0
2020_09_21	     908	      15	       0	       0
2020_09_22	     908	      15	       0	       0
2020_09_23	     909	      15	       1	       0
2020_09_24	     909	      15	       0	       0
2020_09_25	     910	      15	       1	       0
2020_09_26	     910	      15	       0	       0
2020_09_27	     911	      15	       1	       0
2020_09_28	     911	      15	       0	       0
2020_09_29	     911	      15	       0	       0
2020_09_30	     911	      15	       0	       0
2020_10_01	     912	      15	       1	       0
2020_10_02	     912	      15	       0	       0
2020_10_03	     912	      15	       0	       0
2020_10_04	     913	      15	       1	       0
2020_10_05	     914	      15	       1	       0
2020_10_06	     915	      15	       1	       0
2020_10_07	     916	      15	       1	       0
2020_10_08	     918	      15	       2	       0
2020_10_09	     919	      15	       1	       0
2020_10_10	     920	      15	       1	       0
2020_10_11	     922	      15	       2	       0
2020_10_12	     923	      15	       1	       0
2020_10_13	     925	      15	       2	       0
2020_10_14	     926	      15	       1	       0
2020_10_15	     928	      15	       2	       0
2020_10_16	     929	      15	       1	       0
2020_10_17	     931	      15	       2	       0
2020_10_18	     933	      15	       2	       0
2020_10_19	     934	      15	       1	       0
2020_10_20	     935	      15	       1	       0
2020_10_21	     936	      15	       1	       0
2020_10_22	     937	      15	       1	       0
2020_10_23	     938	      15	       1	       0
2020_10_24	     939	      15	       1	       0
2020_10_25	     941	      15	       2	       0
2020_10_26	     941	      15	       0	       0
2020_10_27	     942	      15	       1	       0
2020_10_28	     942	      15	       0	       0
2020_10_29	     943	      15	       1	       0
2020_10_30	     943	      15	       0	       0
2020_10_31	     944	      15	       1	       0
2020_11_01	     945	      16	       1	       1
2020_11_02	     947	      16	       2	       0
2020_11_03	     949	      16	       2	       0
2020_11_04	     952	      16	       3	       0
2020_11_05	     954	      16	       2	       0
2020_11_06	     957	      16	       3	       0
2020_11_07	     959	      16	       2	       0
2020_11_08	     962	      16	       3	       0
2020_11_09	     962	      16	       0	       0
2020_11_10	     962	      16	       0	       0
2020_11_11	     962	      16	       0	       0
2020_11_12	     963	      16	       1	       0
2020_11_13	     963	      16	       0	       0
2020_11_14	     963	      16	       0	       0
2020_11_15	     964	      16	       1	       0
2020_11_16	     966	      16	       2	       0
2020_11_17	     968	      16	       2	       0
2020_11_18	     970	      16	       2	       0
2020_11_19	     972	      16	       2	       0
2020_11_20	     974	      16	       2	       0
2020_11_21	     976	      16	       2	       0
2020_11_22	     979	      17	       3	       1
2020_11_23	     979	      17	       0	       0
2020_11_24	     980	      17	       1	       0
2020_11_25	     981	      17	       1	       0
2020_11_26	     982	      17	       1	       0
2020_11_27	     983	      17	       1	       0
2020_11_28	     984	      17	       1	       0
2020_11_29	     985	      17	       1	       0
2020_11_30	     987	      17	       2	       0
2020_12_01	     989	      17	       2	       0
2020_12_02	     991	      17	       2	       0
2020_12_03	     993	      17	       2	       0
2020_12_04	     995	      17	       2	       0
2020_12_05	     997	      17	       2	       0
2020_12_06	     999	      17	       2	       0
2020_12_07	    1000	      17	       1	       0
2020_12_08	    1001	      17	       1	       0
2020_12_09	    1003	      17	       2	       0
2020_12_10	    1004	      17	       1	       0
2020_12_11	    1006	      17	       2	       0
2020_12_12	    1007	      17	       1	       0
2020_12_13	    1009	      17	       2	       0
2020_12_14	    1009	      17	       0	       0
2020_12_15	    1009	      17	       0	       0
2020_12_16	    1010	      17	       1	       0
2020_12_17	    1010	      17	       0	       0
2020_12_18	    1011	      17	       1	       0
2020_12_19	    1011	      17	       0	       0
2020_12_20	    1012	      17	       1	       0
2020_12_21	    1012	      17	       0	       0
2020_12_22	    1012	      17	       0	       0
2020_12_23	    1012	      17	       0	       0
2020_12_24	    1013	      17	       1	       0
2020_12_25	    1013	      17	       0	       0
2020_12_26	    1013	      17	       0	       0
2020_12_27	    1014	      17	       1	       0
2020_12_28	    1015	      17	       1	       0
2020_12_29	    1016	      17	       1	       0
2020_12_30	    1018	      17	       2	       0
2020_12_31	    1019	      17	       1	       0
2021_01_01	    1021	      17	       2	       0
2021_01_02	    1022	      17	       1	       0
2021_01_03	    1024	      17	       2	       0
2021_01_04	    1028	      17	       4	       0
2021_01_05	    1032	      17	       4	       0
2021_01_06	    1036	      17	       4	       0
2021_01_07	    1041	      17	       5	       0
2021_01_08	    1045	      17	       4	       0
2021_01_09	    1049	      17	       4	       0
2021_01_10	    1054	      17	       5	       0
2021_01_11	    1064	      17	      10	       0
2021_01_12	    1075	      17	      11	       0
2021_01_13	    1086	      17	      11	       0
2021_01_14	    1097	      17	      11	       0
2021_01_15	    1108	      17	      11	       0
2021_01_16	    1119	      17	      11	       0
2021_01_17	    1130	      17	      11	       0
2021_01_18	    1137	      17	       7	       0
2021_01_19	    1144	      17	       7	       0
2021_01_20	    1152	      17	       8	       0
2021_01_21	    1159	      17	       7	       0
2021_01_22	    1167	      17	       8	       0
2021_01_23	    1174	      17	       7	       0
2021_01_24	    1182	      17	       8	       0
2021_01_25	    1192	      17	      10	       0
2021_01_26	    1203	      17	      11	       0
2021_01_27	    1213	      17	      10	       0
2021_01_28	    1224	      17	      11	       0
2021_01_29	    1234	      17	      10	       0
2021_01_30	    1245	      17	      11	       0
2021_01_31	    1256	      17	      11	       0
2021_02_01	    1267	      17	      11	       0
2021_02_02	    1279	      17	      12	       0
2021_02_03	    1291	      17	      12	       0
2021_02_04	    1303	      17	      12	       0
2021_02_05	    1315	      17	      12	       0
2021_02_06	    1327	      17	      12	       0
2021_02_07	    1339	      18	      12	       1
2021_02_08	    1359	      18	      20	       0
2021_02_09	    1379	      18	      20	       0
2021_02_10	    1400	      18	      21	       0
2021_02_11	    1420	      18	      20	       0
2021_02_12	    1441	      18	      21	       0
2021_02_13	    1461	      18	      20	       0
2021_02_14	    1482	      19	      21	       1
2021_02_15	    1495	      19	      13	       0
2021_02_16	    1509	      19	      14	       0
2021_02_17	    1523	      19	      14	       0
2021_02_18	    1536	      20	      13	       1
2021_02_19	    1550	      20	      14	       0
2021_02_20	    1564	      20	      14	       0
2021_02_21	    1578	      21	      14	       1
2021_02_22	    1607	      22	      29	       1
