#
# COVID-19 Country file (official WHO count)
# Country = Senegal
# Latitude = 15.0
# Population = 17200.154
# Territory = 196722.0
# LEB = 67.9
# DPA = 91000
# DPA65 = 31850
# GDP = 1427.0
# GDP_PPP = 3521.0
# COVID-19 Mortality = 66.9
# First_Case = 2020_03_03
# Last_Case = 2021_06_13
# First_Death = 2020_04_02
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Sinopharm/Beijing
# Vaccine start = 2021_02_22
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_03	       1	       0	       1	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       4	       0	       3	       0
2020_03_06	       4	       0	       0	       0
2020_03_07	       4	       0	       0	       0
2020_03_08	       4	       0	       0	       0
2020_03_09	       4	       0	       0	       0
2020_03_10	       4	       0	       0	       0
2020_03_11	       4	       0	       0	       0
2020_03_12	       4	       0	       0	       0
2020_03_13	      10	       0	       6	       0
2020_03_14	      10	       0	       0	       0
2020_03_15	      21	       0	      11	       0
2020_03_16	      26	       0	       5	       0
2020_03_17	      27	       0	       1	       0
2020_03_18	      27	       0	       0	       0
2020_03_19	      36	       0	       9	       0
2020_03_20	      38	       0	       2	       0
2020_03_21	      38	       0	       0	       0
2020_03_22	      56	       0	      18	       0
2020_03_23	      67	       0	      11	       0
2020_03_24	      79	       0	      12	       0
2020_03_25	      86	       0	       7	       0
2020_03_26	      99	       0	      13	       0
2020_03_27	     105	       0	       6	       0
2020_03_28	     119	       0	      14	       0
2020_03_29	     119	       0	       0	       0
2020_03_30	     142	       0	      23	       0
2020_03_31	     162	       0	      20	       0
2020_04_01	     175	       0	      13	       0
2020_04_02	     190	       1	      15	       1
2020_04_03	     195	       1	       5	       0
2020_04_04	     207	       1	      12	       0
2020_04_05	     219	       2	      12	       1
2020_04_06	     222	       2	       3	       0
2020_04_07	     226	       2	       4	       0
2020_04_08	     237	       2	      11	       0
2020_04_09	     244	       2	       7	       0
2020_04_10	     250	       2	       6	       0
2020_04_11	     265	       2	      15	       0
2020_04_12	     278	       2	      13	       0
2020_04_13	     280	       2	       2	       0
