#
# COVID-19 Country file (official WHO count)
# Country = Seychelles
# Latitude = -5.0
# Population = 96.112
# Territory = 455.0
# LEB = 73.4
# DPA = 1000
# DPA65 = 580
# GDP = 16393.0
# GDP_PPP = 30858.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_16
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_16	2	0
2020_03_17	4	0
2020_03_18	4	0
2020_03_19	6	0
2020_03_20	6	0
2020_03_21	6	0
2020_03_22	7	0
2020_03_23	7	0
2020_03_24	7	0
2020_03_25	7	0
2020_03_26	7	0
2020_03_27	7	0
2020_03_28	7	0
2020_03_29	7	0
2020_03_30	8	0
2020_03_31	8	0
2020_04_01	8	0
2020_04_02	10	0
2020_04_03	10	0
2020_04_04	10	0
2020_04_05	10	0
2020_04_06	10	0
2020_04_07	11	0
2020_04_08	11	0
2020_04_09	11	0
2020_04_10	11	0
2020_04_11	11	0
2020_04_12	11	0
2020_04_13	11	0
2020_04_14	11	0
2020_04_15	11	0
2020_04_16	11	0
2020_04_17	11	0
2020_04_18	11	0
2020_04_19	11	0
2020_04_20	11	0
2020_04_21	11	0
2020_04_22	11	0
2020_04_23	11	0
2020_04_24	11	0
2020_04_25	11	0
2020_04_26	11	0
2020_04_27	11	0
2020_04_28	11	0
2020_04_29	11	0
2020_04_30	11	0
2020_05_01	11	0
2020_05_02	11	0
2020_05_03	11	0
2020_05_04	11	0
2020_05_05	11	0
2020_05_06	11	0
2020_05_07	11	0
2020_05_08	11	0
2020_05_09	11	0
2020_05_10	11	0
2020_05_11	11	0
2020_05_12	11	0
2020_05_13	11	0
2020_05_14	11	0
2020_05_15	11	0
2020_05_16	11	0
2020_05_17	11	0
2020_05_18	11	0
2020_05_19	11	0
2020_05_20	11	0
2020_05_21	11	0
2020_05_22	11	0
2020_05_23	11	0
2020_05_24	11	0
2020_05_25	11	0
2020_05_26	11	0
2020_05_27	11	0
2020_05_28	11	0
2020_05_29	11	0
2020_05_30	11	0
2020_05_31	11	0
2020_06_01	11	0
2020_06_02	11	0
2020_06_03	11	0
2020_06_04	11	0
2020_06_05	11	0
2020_06_06	11	0
2020_06_07	11	0
2020_06_08	11	0
2020_06_09	11	0
2020_06_10	11	0
2020_06_11	11	0
2020_06_12	11	0
2020_06_13	11	0
2020_06_14	11	0
2020_06_15	11	0
2020_06_16	11	0
2020_06_17	11	0
2020_06_18	11	0
2020_06_19	11	0
2020_06_20	11	0
2020_06_21	11	0
2020_06_22	11	0
2020_06_23	11	0
2020_06_24	11	0
2020_06_25	11	0
2020_06_26	16	0
2020_06_27	20	0
2020_06_28	70	0
2020_06_29	77	0
2020_06_30	81	0
2020_07_01	81	0
2020_07_02	81	0
2020_07_03	81	0
2020_07_04	81	0
2020_07_05	81	0
2020_07_06	81	0
2020_07_07	81	0
2020_07_08	91	0
2020_07_09	94	0
2020_07_10	100	0
2020_07_11	100	0
2020_07_12	100	0
2020_07_13	100	0
2020_07_14	100	0
2020_07_15	100	0
2020_07_16	108	0
2020_07_17	108	0
2020_07_18	108	0
2020_07_19	108	0
2020_07_20	108	0
2020_07_21	108	0
2020_07_22	108	0
2020_07_23	108	0
2020_07_24	107	0
2020_07_25	107	0
2020_07_26	107	0
2020_07_27	107	0
2020_07_28	114	0
2020_07_29	114	0
2020_07_30	114	0
2020_07_31	114	0
2020_08_01	114	0
2020_08_02	114	0
2020_08_03	114	0
2020_08_04	114	0
2020_08_05	114	0
2020_08_06	114	0
2020_08_07	114	0
2020_08_08	126	0
2020_08_09	126	0
2020_08_10	126	0
2020_08_11	126	0
2020_08_12	126	0
2020_08_13	126	0
2020_08_14	126	0
2020_08_15	127	0
2020_08_16	127	0
2020_08_17	127	0
2020_08_18	127	0
2020_08_19	127	0
2020_08_20	127	0
2020_08_21	127	0
2020_08_22	127	0
2020_08_23	127	0
