#
# COVID-19 Country file (official WHO count)
# Country = Sierra Leone
# Latitude = 9.0
# Population = 8046.931
# Territory = 71740.0
# LEB = 54.7
# DPA = 90000
# DPA65 = 18000
# GDP = 525.0
# GDP_PPP = 1722.0
# COVID-19 Mortality = 8.6
# First_Case = 2020_04_01
# First_Death = 2020_04_23
# Last_Case = 2020_04_23
# Last_Death = 2020_04_23
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_04_01	1	0
2020_04_02	2	0
2020_04_03	2	0
2020_04_04	2	0
2020_04_05	4	0
2020_04_06	6	0
2020_04_07	6	0
2020_04_08	6	0
2020_04_09	7	0
2020_04_10	7	0
2020_04_11	7	0
2020_04_12	8	0
2020_04_13	10	0
2020_04_14	10	0
2020_04_15	11	0
2020_04_16	13	0
2020_04_17	15	0
2020_04_18	26	0
2020_04_19	30	0
2020_04_20	35	0
2020_04_21	43	0
2020_04_22	50	0
2020_04_23	61	1
2020_04_24	64	1
2020_04_25	82	3
2020_04_26	86	3
2020_04_27	93	4
2020_04_28	99	4
2020_04_29	104	5
2020_04_30	116	5
2020_05_01	124	7
2020_05_02	136	8
2020_05_03	155	8
2020_05_04	157	8
2020_05_05	178	9
2020_05_06	199	11
2020_05_07	225	14
2020_05_08	231	14
2020_05_09	257	17
2020_05_10	291	18
2020_05_11	307	18
2020_05_12	338	19
2020_05_13	338	20
2020_05_14	387	21
2020_05_15	408	26
2020_05_16	447	27
2020_05_17	462	29
2020_05_18	505	32
2020_05_19	519	33
2020_05_20	534	33
2020_05_21	570	34
2020_05_22	585	35
2020_05_23	606	38
2020_05_24	621	39
2020_05_25	721	40
2020_05_26	735	42
2020_05_27	754	44
2020_05_28	782	45
2020_05_29	812	45
2020_05_30	829	45
2020_05_31	852	46
2020_06_01	861	46
2020_06_02	865	46
2020_06_03	896	46
2020_06_04	909	47
2020_06_05	914	47
2020_06_06	929	47
2020_06_07	946	48
2020_06_08	969	48
2020_06_09	1001	49
2020_06_10	1025	50
2020_06_11	1062	50
2020_06_12	1085	50
2020_06_13	1103	51
2020_06_14	1132	51
2020_06_15	1169	51
2020_06_16	1176	51
2020_06_17	1225	51
2020_06_18	1249	51
2020_06_19	1272	51
2020_06_20	1298	53
2020_06_21	1309	53
2020_06_22	1327	55
2020_06_23	1340	55
2020_06_24	1347	55
2020_06_25	1354	56
2020_06_26	1381	56
2020_06_27	1394	59
2020_06_28	1410	59
2020_06_29	1427	60
2020_06_30	1450	60
2020_07_01	1462	60
2020_07_02	1498	60
2020_07_03	1518	60
2020_07_04	1524	62
2020_07_05	1533	62
2020_07_06	1542	62
2020_07_07	1547	62
2020_07_08	1572	63
2020_07_09	1584	63
2020_07_10	1598	63
2020_07_11	1613	63
2020_07_12	1618	63
2020_07_13	1635	63
2020_07_14	1642	63
2020_07_15	1651	64
2020_07_16	1668	64
2020_07_17	1678	64
2020_07_18	1688	65
2020_07_19	1701	65
2020_07_20	1711	65
2020_07_21	1711	66
2020_07_22	1727	66
2020_07_23	1731	66
2020_07_24	1752	66
2020_07_25	1765	66
2020_07_26	1765	66
2020_07_27	1783	66
2020_07_28	1783	66
2020_07_29	1786	66
2020_07_30	1803	67
2020_07_31	1818	67
2020_08_01	1823	67
2020_08_02	1835	67
2020_08_03	1843	67
2020_08_04	1848	67
2020_08_05	1855	67
2020_08_06	1860	67
2020_08_07	1877	68
2020_08_08	1887	68
2020_08_09	1895	68
2020_08_10	1916	68
2020_08_11	1917	69
2020_08_12	1932	69
2020_08_13	1937	69
2020_08_14	1940	69
2020_08_15	1947	69
2020_08_16	1954	69
2020_08_17	1957	69
2020_08_18	1960	69
2020_08_19	1963	69
2020_08_20	1966	69
2020_08_21	1969	69
2020_08_22	1972	69
2020_08_23	1980	69
