#
# COVID-19 Country file (official WHO count)
# Country = Singapore
# Latitude = 1.0
# Population = 5638.700
# Territory = 725.7
# LEB = 83.6
# DPA = 27000
# DPA65 = 19170
# GDP = 61769.0
# GDP_PPP = 99240.0
# COVID-19 Mortality = 4.8
# First_Case = 2020_01_24
# First_Death = 2020_03_22
# Last_Case = 2020_03_22
# Last_Death = 2020_03_22
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_01_24	1	0
2020_01_25	3	0
2020_01_26	4	0
2020_01_27	4	0
2020_01_28	7	0
2020_01_29	7	0
2020_01_30	10	0
2020_01_31	13	0
2020_02_01	16	0
2020_02_02	18	0
2020_02_03	18	0
2020_02_04	18	0
2020_02_05	24	0
2020_02_06	28	0
2020_02_07	30	0
2020_02_08	33	0
2020_02_09	40	0
2020_02_10	43	0
2020_02_11	45	0
2020_02_12	47	0
2020_02_13	50	0
2020_02_14	58	0
2020_02_15	67	0
2020_02_16	72	0
2020_02_17	75	0
2020_02_18	77	0
2020_02_19	81	0
2020_02_20	84	0
2020_02_21	85	0
2020_02_22	86	0
2020_02_23	89	0
2020_02_24	89	0
2020_02_25	90	0
2020_02_26	91	0
2020_02_27	93	0
2020_02_28	96	0
2020_02_29	98	0
2020_03_01	102	0
2020_03_02	106	0
2020_03_03	108	0
2020_03_04	110	0
2020_03_05	110	0
2020_03_06	117	0
2020_03_07	130	0
2020_03_08	138	0
2020_03_09	150	0
2020_03_10	160	0
2020_03_11	166	0
2020_03_12	178	0
2020_03_13	187	0
2020_03_14	200	0
2020_03_15	212	0
2020_03_16	243	0
2020_03_17	243	0
2020_03_18	266	0
2020_03_19	313	0
2020_03_20	345	0
2020_03_21	385	0
2020_03_22	432	2
2020_03_23	455	2
2020_03_24	507	2
2020_03_25	558	2
2020_03_26	631	2
2020_03_27	683	2
2020_03_28	732	2
2020_03_29	802	2
2020_03_30	844	3
2020_03_31	879	3
2020_04_01	926	3
2020_04_02	1000	3
2020_04_03	1049	4
2020_04_04	1114	5
2020_04_05	1189	5
2020_04_06	1309	6
2020_04_07	1375	6
2020_04_08	1481	6
2020_04_09	1623	6
2020_04_10	1910	7
2020_04_11	2108	7
2020_04_12	2299	8
2020_04_13	2532	8
2020_04_14	2918	9
2020_04_15	3252	10
2020_04_16	3699	10
2020_04_17	4427	10
2020_04_18	5050	11
2020_04_19	5573	11
2020_04_20	6588	11
2020_04_21	8014	11
2020_04_22	9125	11
2020_04_23	10141	12
2020_04_24	11178	12
2020_04_25	12075	12
2020_04_26	12693	12
2020_04_27	13624	12
2020_04_28	14423	14
2020_04_29	15222	14
2020_04_30	15641	14
2020_05_01	16169	15
2020_05_02	17101	16
2020_05_03	17548	17
2020_05_04	18205	18
2020_05_05	18778	18
2020_05_06	19410	18
2020_05_07	20198	20
2020_05_08	20939	20
2020_05_09	21707	20
2020_05_10	22460	20
2020_05_11	23336	20
2020_05_12	23822	21
2020_05_13	24671	21
2020_05_14	25346	21
2020_05_15	26098	21
2020_05_16	26891	21
2020_05_17	27356	22
2020_05_18	28038	22
2020_05_19	28343	22
2020_05_20	28794	22
2020_05_21	29364	22
2020_05_22	29812	23
2020_05_23	30426	23
2020_05_24	31068	23
2020_05_25	31616	23
2020_05_26	31960	23
2020_05_27	32343	23
2020_05_28	32876	23
2020_05_29	33249	23
2020_05_30	33860	23
2020_05_31	34366	23
2020_06_01	34884	23
2020_06_02	35292	24
2020_06_03	35836	24
2020_06_04	36405	24
2020_06_05	36922	24
2020_06_06	37183	24
2020_06_07	37527	25
2020_06_08	37910	25
2020_06_09	38296	25
2020_06_10	38514	25
2020_06_11	38965	25
2020_06_12	39387	25
2020_06_13	39850	25
2020_06_14	40197	26
2020_06_15	40604	26
2020_06_16	40818	26
2020_06_17	40969	26
2020_06_18	41216	26
2020_06_19	41473	26
2020_06_20	41615	26
2020_06_21	41833	26
2020_06_22	42095	26
2020_06_23	42313	26
2020_06_24	42432	26
2020_06_25	42623	26
2020_06_26	42736	26
2020_06_27	42955	26
2020_06_28	43246	26
2020_06_29	43459	26
2020_06_30	43661	26
2020_07_01	43907	26
2020_07_02	44122	26
2020_07_03	44310	26
2020_07_04	44479	26
2020_07_05	44664	26
2020_07_06	44800	26
2020_07_07	44983	26
2020_07_08	45140	26
2020_07_09	45298	26
2020_07_10	45423	26
2020_07_11	45614	26
2020_07_12	45783	26
2020_07_13	45961	26
2020_07_14	46283	26
2020_07_15	46630	27
2020_07_16	46879	27
2020_07_17	47127	27
2020_07_18	47454	27
2020_07_19	47656	27
2020_07_20	47913	27
2020_07_21	48036	27
2020_07_22	48434	27
2020_07_23	48744	27
2020_07_24	49098	27
2020_07_25	49375	27
2020_07_26	49375	27
2020_07_27	50369	27
2020_07_28	50838	27
2020_07_29	51197	27
2020_07_30	51531	27
2020_07_31	51809	27
2020_08_01	52205	27
2020_08_02	52512	27
2020_08_03	52825	27
2020_08_04	53051	27
2020_08_05	53346	27
2020_08_06	54254	27
2020_08_07	54555	27
2020_08_08	54797	27
2020_08_09	54929	27
2020_08_10	55104	27
2020_08_11	55292	27
2020_08_12	55353	27
2020_08_13	55395	27
2020_08_14	55497	27
2020_08_15	55580	27
2020_08_16	55661	27
2020_08_17	55747	27
2020_08_18	55833	27
2020_08_19	55919	27
2020_08_20	56005	27
2020_08_21	56091	27
2020_08_22	56177	27
2020_08_23	56266	27
