#
# COVID-19 Country file (official WHO count)
# Country = Sint Maarten
# Latitude = 18.0
# Population = 40.900
# Territory = 34.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 45632.0
# GDP_PPP = 45632.0
# COVID-19 Mortality = 757.9
# First_Case = 2020_03_20
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_20	       1	       0	       1	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       1	       0	       0	       0
2020_03_23	       1	       0	       0	       0
2020_03_24	       2	       0	       1	       0
2020_03_25	       2	       0	       0	       0
2020_03_26	       2	       0	       0	       0
2020_03_27	       2	       0	       0	       0
2020_03_28	       3	       0	       1	       0
2020_03_29	       3	       0	       0	       0
2020_03_30	       3	       0	       0	       0
2020_03_31	       6	       0	       3	       0
2020_04_01	       6	       0	       0	       0
2020_04_02	       6	       0	       0	       0
2020_04_03	      18	       1	      12	       1
2020_04_04	      23	       2	       5	       1
2020_04_05	      23	       2	       0	       0
2020_04_06	      23	       2	       0	       0
2020_04_07	      37	       6	      14	       4
2020_04_08	      40	       8	       3	       2
2020_04_09	      40	       8	       0	       0
2020_04_10	      43	       8	       3	       0
2020_04_11	      50	       9	       7	       1
2020_04_12	      50	       9	       0	       0
2020_04_13	      50	       9	       0	       0
2020_04_14	      52	       9	       2	       0
2020_04_15	      52	       9	       0	       0
2020_04_16	      53	       9	       1	       0
2020_04_17	      57	       9	       4	       0
2020_04_18	      57	       9	       0	       0
2020_04_19	      57	       9	       0	       0
2020_04_20	      64	       9	       7	       0
2020_04_21	      67	      10	       3	       1
2020_04_22	      68	      10	       1	       0
2020_04_23	      71	      11	       3	       1
2020_04_24	      73	      12	       2	       1
2020_04_25	      73	      12	       0	       0
2020_04_26	      73	      12	       0	       0
2020_04_27	      74	      13	       1	       1
2020_04_28	      74	      13	       0	       0
2020_04_29	      75	      13	       1	       0
2020_04_30	      75	      13	       0	       0
2020_05_01	      76	      13	       1	       0
2020_05_02	      76	      13	       0	       0
2020_05_03	      76	      13	       0	       0
2020_05_04	      76	      13	       0	       0
2020_05_05	      76	      13	       0	       0
2020_05_06	      76	      14	       0	       1
2020_05_07	      76	      14	       0	       0
2020_05_08	      76	      14	       0	       0
2020_05_09	      76	      14	       0	       0
2020_05_10	      77	      15	       1	       1
2020_05_11	      77	      15	       0	       0
2020_05_12	      77	      15	       0	       0
2020_05_13	      77	      15	       0	       0
2020_05_14	      78	      15	       1	       0
2020_05_15	      78	      15	       0	       0
2020_05_16	      78	      15	       0	       0
2020_05_17	      78	      15	       0	       0
2020_05_18	      78	      15	       0	       0
2020_05_19	      78	      15	       0	       0
2020_05_20	      78	      15	       0	       0
2020_05_21	      78	      15	       0	       0
2020_05_22	      78	      15	       0	       0
2020_05_23	      78	      15	       0	       0
2020_05_24	      78	      15	       0	       0
2020_05_25	      78	      15	       0	       0
2020_05_26	      78	      15	       0	       0
2020_05_27	      78	      15	       0	       0
2020_05_28	      78	      15	       0	       0
2020_05_29	      78	      15	       0	       0
2020_05_30	      78	      15	       0	       0
2020_05_31	      78	      15	       0	       0
2020_06_01	      78	      15	       0	       0
2020_06_02	      78	      15	       0	       0
2020_06_03	      78	      15	       0	       0
2020_06_04	      78	      15	       0	       0
2020_06_05	      78	      15	       0	       0
2020_06_06	      77	      15	      -1	       0
2020_06_07	      77	      15	       0	       0
2020_06_08	      77	      15	       0	       0
2020_06_09	      77	      15	       0	       0
2020_06_10	      77	      15	       0	       0
