#
# COVID-19 Country file (official WHO count)
# Country = Slovakia
# Latitude = 48.0
# Population = 5451.400
# Territory = 49037.0
# LEB = 77.5
# DPA = 54000
# DPA65 = 40500
# GDP = 18847.0
# GDP_PPP = 35660.0
# COVID-19 Mortality = 2281.8
# First_Case = 2020_03_07
# Last_Case = 2021_06_13
# First_Death = 2020_04_07
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Pfizer/BioNTech
# Vaccine start = 2021_01_04
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_07	       1	       0	       1	       0
2020_03_08	       3	       0	       2	       0
2020_03_09	       5	       0	       2	       0
2020_03_10	       7	       0	       2	       0
2020_03_11	       7	       0	       0	       0
2020_03_12	      10	       0	       3	       0
2020_03_13	      21	       0	      11	       0
2020_03_14	      30	       0	       9	       0
2020_03_15	      44	       0	      14	       0
2020_03_16	      61	       0	      17	       0
2020_03_17	      72	       0	      11	       0
2020_03_18	      97	       0	      25	       0
2020_03_19	     105	       0	       8	       0
2020_03_20	     123	       0	      18	       0
2020_03_21	     137	       0	      14	       0
2020_03_22	     178	       0	      41	       0
2020_03_23	     185	       0	       7	       0
2020_03_24	     191	       0	       6	       0
2020_03_25	     204	       0	      13	       0
2020_03_26	     216	       0	      12	       0
2020_03_27	     226	       0	      10	       0
2020_03_28	     295	       0	      69	       0
2020_03_29	     295	       0	       0	       0
2020_03_30	     336	       0	      41	       0
2020_03_31	     336	       0	       0	       0
2020_04_01	     363	       0	      27	       0
2020_04_02	     400	       0	      37	       0
2020_04_03	     426	       0	      26	       0
2020_04_04	     450	       0	      24	       0
2020_04_05	     471	       0	      21	       0
2020_04_06	     485	       0	      14	       0
2020_04_07	     534	       2	      49	       2
2020_04_08	     598	       2	      64	       0
2020_04_09	     682	       2	      84	       0
2020_04_10	     701	       2	      19	       0
2020_04_11	     715	       2	      14	       0
2020_04_12	     728	       2	      13	       0
2020_04_13	     742	       2	      14	       0
2020_04_14	     769	       2	      27	       0
2020_04_15	     835	       2	      66	       0
2020_04_16	     863	       6	      28	       4
2020_04_17	     977	       8	     114	       2
2020_04_18	    1049	       9	      72	       1
2020_04_19	    1089	      11	      40	       2
