#
# COVID-19 Country file (official WHO count)
# Country = Slovenia
# Latitude = 46.0
# Population = 2082.055
# Territory = 20273.0
# LEB = 81.3
# DPA = 21000
# DPA65 = 17430
# GDP = 25197.0
# GDP_PPP = 24837.0
# COVID-19 Mortality = 61.0
# First_Case = 2020_03_05
# First_Death = 2020_03_18
# Last_Case = 2020_03_18
# Last_Death = 2020_03_18
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_05	1	0
2020_03_06	6	0
2020_03_07	9	0
2020_03_08	12	0
2020_03_09	16	0
2020_03_10	23	0
2020_03_11	31	0
2020_03_12	57	0
2020_03_13	57	0
2020_03_14	141	0
2020_03_15	141	0
2020_03_16	219	0
2020_03_17	253	0
2020_03_18	275	1
2020_03_19	286	1
2020_03_20	319	1
2020_03_21	341	1
2020_03_22	383	1
2020_03_23	414	1
2020_03_24	442	1
2020_03_25	480	3
2020_03_26	528	4
2020_03_27	577	5
2020_03_28	632	9
2020_03_29	691	9
2020_03_30	730	11
2020_03_31	763	11
2020_04_01	814	13
2020_04_02	841	15
2020_04_03	897	16
2020_04_04	934	20
2020_04_05	977	22
2020_04_06	997	28
2020_04_07	1021	30
2020_04_08	1055	36
2020_04_09	1091	40
2020_04_10	1124	43
2020_04_11	1160	45
2020_04_12	1188	50
2020_04_13	1205	53
2020_04_14	1212	55
2020_04_15	1220	56
2020_04_16	1248	61
2020_04_17	1268	61
2020_04_18	1304	66
2020_04_19	1317	70
2020_04_20	1330	74
2020_04_21	1335	74
2020_04_22	1340	77
2020_04_23	1353	79
2020_04_24	1366	79
2020_04_25	1373	80
2020_04_26	1388	81
2020_04_27	1407	82
2020_04_28	1407	83
2020_04_29	1408	86
2020_04_30	1418	89
2020_05_01	1429	91
2020_05_02	1434	93
2020_05_03	1439	94
2020_05_04	1439	96
2020_05_05	1439	97
2020_05_06	1445	98
2020_05_07	1448	99
2020_05_08	1449	99
2020_05_09	1450	100
2020_05_10	1454	101
2020_05_11	1457	102
2020_05_12	1460	102
2020_05_13	1461	102
2020_05_14	1463	103
2020_05_15	1464	103
2020_05_16	1465	103
2020_05_17	1465	103
2020_05_18	1466	104
2020_05_19	1466	104
2020_05_20	1467	104
2020_05_21	1468	105
2020_05_22	1468	106
2020_05_23	1478	106
2020_05_24	1478	106
2020_05_25	1509	107
2020_05_26	1469	106
2020_05_27	1469	106
2020_05_28	1471	107
2020_05_29	1473	108
2020_05_30	1473	108
2020_05_31	1473	108
2020_06_01	1473	108
2020_06_02	1483	108
2020_06_03	1475	108
2020_06_04	1477	108
2020_06_05	1477	108
2020_06_06	1489	108
2020_06_07	1494	108
2020_06_08	1485	108
2020_06_09	1485	108
2020_06_10	1486	108
2020_06_11	1488	109
2020_06_12	1488	109
2020_06_13	1490	109
2020_06_14	1492	109
2020_06_15	1495	109
2020_06_16	1496	109
2020_06_17	1509	109
2020_06_18	1513	109
2020_06_19	1511	109
2020_06_20	1513	109
2020_06_21	1519	109
2020_06_22	1520	109
2020_06_23	1521	109
2020_06_24	1534	111
2020_06_25	1541	111
2020_06_26	1547	111
2020_06_27	1558	111
2020_06_28	1572	111
2020_06_29	1581	111
2020_06_30	1585	111
2020_07_01	1600	111
2020_07_02	1613	111
2020_07_03	1633	111
2020_07_04	1649	111
2020_07_05	1679	111
2020_07_06	1700	111
2020_07_07	1716	111
2020_07_08	1739	111
2020_07_09	1763	111
2020_07_10	1776	111
2020_07_11	1793	111
2020_07_12	1827	111
2020_07_13	1841	111
2020_07_14	1849	111
2020_07_15	1859	111
2020_07_16	1878	111
2020_07_17	1897	111
2020_07_18	1916	111
2020_07_19	1940	111
2020_07_20	1946	111
2020_07_21	1953	111
2020_07_22	1977	111
2020_07_23	2015	115
2020_07_24	2033	115
2020_07_25	2052	115
2020_07_26	2052	115
2020_07_27	2082	115
2020_07_28	2087	117
2020_07_29	2101	117
2020_07_30	2115	117
2020_07_31	2139	117
2020_08_01	2165	117
2020_08_02	2171	117
2020_08_03	2180	117
2020_08_04	2181	117
2020_08_05	2190	118
2020_08_06	2208	118
2020_08_07	2223	118
2020_08_08	2233	119
2020_08_09	2247	120
2020_08_10	2249	120
2020_08_11	2255	120
2020_08_12	2272	120
2020_08_13	2303	123
2020_08_14	2332	124
2020_08_15	2369	124
2020_08_16	2401	124
2020_08_17	2431	124
2020_08_18	2461	124
2020_08_19	2491	124
2020_08_20	2521	124
2020_08_21	2551	124
2020_08_22	2581	124
2020_08_23	2617	127
