#
# COVID-19 Country file (official WHO count)
# Country = Somalia
# Latitude = 2.0
# Population = 16105.174
# Territory = 637657.0
# LEB = 57.4
# DPA = 165000
# DPA65 = 28050
# GDP = 315.0
# GDP_PPP = 315.0
# COVID-19 Mortality = 48.1
# First_Case = 2020_03_17
# Last_Case = 2021_06_13
# First_Death = 2020_04_09
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_17	       1	       0	       1	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       1	       0	       0	       0
2020_03_20	       1	       0	       0	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       1	       0	       0	       0
2020_03_23	       1	       0	       0	       0
2020_03_24	       1	       0	       0	       0
2020_03_25	       1	       0	       0	       0
2020_03_26	       2	       0	       1	       0
2020_03_27	       3	       0	       1	       0
2020_03_28	       3	       0	       0	       0
2020_03_29	       3	       0	       0	       0
2020_03_30	       3	       0	       0	       0
2020_03_31	       3	       0	       0	       0
2020_04_01	       5	       0	       2	       0
2020_04_02	       5	       0	       0	       0
2020_04_03	       5	       0	       0	       0
2020_04_04	       7	       0	       2	       0
2020_04_05	       7	       0	       0	       0
2020_04_06	       7	       0	       0	       0
2020_04_07	       7	       0	       0	       0
2020_04_08	       8	       0	       1	       0
2020_04_09	      12	       1	       4	       1
2020_04_10	      12	       1	       0	       0
2020_04_11	      12	       1	       0	       0
2020_04_12	      21	       1	       9	       0
2020_04_13	      25	       2	       4	       1
2020_04_14	      60	       2	      35	       0
2020_04_15	      60	       2	       0	       0
2020_04_16	      80	       5	      20	       3
2020_04_17	      80	       5	       0	       0
2020_04_18	     116	       5	      36	       0
2020_04_19	     135	       7	      19	       2
2020_04_20	     164	       7	      29	       0
2020_04_21	     237	       8	      73	       1
2020_04_22	     286	      14	      49	       6
2020_04_23	     286	      14	       0	       0
2020_04_24	     328	      16	      42	       2
2020_04_25	     328	      16	       0	       0
2020_04_26	     390	      18	      62	       2
2020_04_27	     436	      23	      46	       5
2020_04_28	     480	      26	      44	       3
2020_04_29	     528	      28	      48	       2
2020_04_30	     582	      28	      54	       0
2020_05_01	     601	      28	      19	       0
2020_05_02	     601	      28	       0	       0
2020_05_03	     671	      31	      70	       3
2020_05_04	     722	      32	      51	       1
2020_05_05	     756	      35	      34	       3
2020_05_06	     835	      38	      79	       3
2020_05_07	     873	      39	      38	       1
2020_05_08	     928	      44	      55	       5
2020_05_09	     928	      44	       0	       0
2020_05_10	     997	      48	      69	       4
2020_05_11	    1054	      51	      57	       3
2020_05_12	    1089	      52	      35	       1
2020_05_13	    1170	      52	      81	       0
2020_05_14	    1219	      52	      49	       0
