#
# COVID-19 Country file (official WHO count)
# Country = South Africa
# Latitude = -26.0
# Population = 58721.229
# Territory = 1221037.0
# LEB = 64.1
# DPA = 550000
# DPA65 = 203500
# GDP = 6208.0
# GDP_PPP = 9601.0
# COVID-19 Mortality = 221.2
# First_Case = 2020_03_06
# First_Death = 2020_03_28
# Last_Case = 2020_03_28
# Last_Death = 2020_03_28
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_06	1	0
2020_03_07	1	0
2020_03_08	2	0
2020_03_09	3	0
2020_03_10	7	0
2020_03_11	7	0
2020_03_12	13	0
2020_03_13	17	0
2020_03_14	17	0
2020_03_15	38	0
2020_03_16	51	0
2020_03_17	62	0
2020_03_18	62	0
2020_03_19	116	0
2020_03_20	150	0
2020_03_21	205	0
2020_03_22	240	0
2020_03_23	274	0
2020_03_24	402	0
2020_03_25	554	0
2020_03_26	709	0
2020_03_27	927	0
2020_03_28	1170	2
2020_03_29	1187	1
2020_03_30	1280	1
2020_03_31	1326	3
2020_04_01	1353	5
2020_04_02	1380	5
2020_04_03	1462	5
2020_04_04	1505	7
2020_04_05	1585	9
2020_04_06	1655	11
2020_04_07	1686	12
2020_04_08	1749	13
2020_04_09	1845	18
2020_04_10	1934	18
2020_04_11	2003	24
2020_04_12	2028	25
2020_04_13	2173	25
2020_04_14	2272	27
2020_04_15	2415	27
2020_04_16	2506	34
2020_04_17	2605	48
2020_04_18	2783	50
2020_04_19	3034	52
2020_04_20	3158	54
2020_04_21	3300	58
2020_04_22	3465	58
2020_04_23	3635	65
2020_04_24	3953	75
2020_04_25	4220	79
2020_04_26	4361	86
2020_04_27	4546	87
2020_04_28	4793	90
2020_04_29	4996	93
2020_04_30	5350	103
2020_05_01	5647	103
2020_05_02	5951	116
2020_05_03	6336	123
2020_05_04	6783	131
2020_05_05	7220	138
2020_05_06	7439	148
2020_05_07	7808	153
2020_05_08	8232	161
2020_05_09	8895	178
2020_05_10	9420	186
2020_05_11	10015	194
2020_05_12	10652	206
2020_05_13	11350	206
2020_05_14	12074	219
2020_05_15	12739	238
2020_05_16	13524	247
2020_05_17	14355	261
2020_05_18	15515	264
2020_05_19	16433	286
2020_05_20	17200	312
2020_05_21	18003	339
2020_05_22	19137	369
2020_05_23	20125	397
2020_05_24	21343	407
2020_05_25	22583	429
2020_05_26	23615	481
2020_05_27	24264	524
2020_05_28	25937	552
2020_05_29	27403	577
2020_05_30	29240	611
2020_05_31	30967	643
2020_06_01	32683	683
2020_06_02	34357	705
2020_06_03	35812	755
2020_06_04	37525	792
2020_06_05	40792	848
2020_06_06	43434	908
2020_06_07	45973	952
2020_06_08	48285	998
2020_06_09	50879	1080
2020_06_10	52991	1162
2020_06_11	55421	1210
2020_06_12	58568	1284
2020_06_13	61927	1354
2020_06_14	65736	1423
2020_06_15	70038	1480
2020_06_16	73533	1568
2020_06_17	76334	1625
2020_06_18	80412	1674
2020_06_19	83890	1737
2020_06_20	87715	1831
2020_06_21	92681	1877
2020_06_22	97302	1930
2020_06_23	101590	1991
2020_06_24	106108	2102
2020_06_25	111796	2205
2020_06_26	118375	2292
2020_06_27	124590	2340
2020_06_28	131800	2413
2020_06_29	138134	2456
2020_06_30	144264	2529
2020_07_01	151209	2657
2020_07_02	159333	2749
2020_07_03	168061	2844
2020_07_04	177124	2952
2020_07_05	187977	3026
2020_07_06	196750	3199
2020_07_07	205721	3310
2020_07_08	215855	3502
2020_07_09	224665	3602
2020_07_10	238339	3720
2020_07_11	250687	3860
2020_07_12	264184	3971
2020_07_13	276242	4079
2020_07_14	287796	4172
2020_07_15	298292	4346
2020_07_16	311049	4453
2020_07_17	324221	4669
2020_07_18	337594	4804
2020_07_19	350879	4948
2020_07_20	364328	5033
2020_07_21	373628	5173
2020_07_22	381798	5368
2020_07_23	394948	5940
2020_07_24	408052	6093
2020_07_25	421996	6343
2020_07_26	421996	6343
2020_07_27	445433	6769
2020_07_28	452530	7067
2020_07_29	459761	7257
2020_07_30	471123	7497
2020_07_31	482169	7812
2020_08_01	493183	8005
2020_08_02	503290	8153
2020_08_03	511485	8366
2020_08_04	516862	8366
2020_08_05	521318	8884
2020_08_06	529877	9298
2020_08_07	538184	9604
2020_08_08	545476	9909
2020_08_09	553188	10210
2020_08_10	559859	10408
2020_08_11	563598	10621
2020_08_12	566109	10751
2020_08_13	568919	11010
2020_08_14	572865	11270
2020_08_15	579140	11556
2020_08_16	583653	11677
2020_08_17	586994	11864
2020_08_18	590335	12051
2020_08_19	593676	12238
2020_08_20	597017	12425
2020_08_21	600358	12612
2020_08_22	603699	12799
2020_08_23	607045	12987
