#
# COVID-19 Country file (official WHO count)
# Country = Spain
# Latitude = 40.0
# Population = 46459.219
# Territory = 505992.0
# LEB = 83.6
# DPA = 428000
# DPA65 = 368080
# GDP = 29562.0
# GDP_PPP = 40341.0
# COVID-19 Mortality = 1731.9
# First_Case = 2020_02_01
# Last_Case = 2021_06_13
# First_Death = 2020_03_05
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2021_01_04
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_01	       1	       0	       1	       0
2020_02_02	       1	       0	       0	       0
2020_02_03	       1	       0	       0	       0
2020_02_04	       1	       0	       0	       0
2020_02_05	       1	       0	       0	       0
2020_02_06	       1	       0	       0	       0
2020_02_07	       1	       0	       0	       0
2020_02_08	       1	       0	       0	       0
2020_02_09	       1	       0	       0	       0
2020_02_10	       2	       0	       1	       0
2020_02_11	       2	       0	       0	       0
2020_02_12	       2	       0	       0	       0
2020_02_13	       2	       0	       0	       0
2020_02_14	       2	       0	       0	       0
2020_02_15	       2	       0	       0	       0
2020_02_16	       2	       0	       0	       0
2020_02_17	       2	       0	       0	       0
2020_02_18	       2	       0	       0	       0
2020_02_19	       2	       0	       0	       0
2020_02_20	       2	       0	       0	       0
2020_02_21	       2	       0	       0	       0
2020_02_22	       2	       0	       0	       0
2020_02_23	       2	       0	       0	       0
2020_02_24	       2	       0	       0	       0
2020_02_25	       2	       0	       0	       0
2020_02_26	       2	       0	       0	       0
2020_02_27	      12	       0	      10	       0
2020_02_28	      25	       0	      13	       0
2020_02_29	      32	       0	       7	       0
2020_03_01	      45	       0	      13	       0
2020_03_02	      45	       0	       0	       0
2020_03_03	     114	       0	      69	       0
2020_03_04	     151	       0	      37	       0
2020_03_05	     198	       1	      47	       1
2020_03_06	     257	       3	      59	       2
2020_03_07	     374	       5	     117	       2
2020_03_08	     430	       5	      56	       0
2020_03_09	     589	      10	     159	       5
2020_03_10	    1024	      28	     435	      18
2020_03_11	    1639	      36	     615	       8
2020_03_12	    2140	      48	     501	      12
2020_03_13	    2965	      84	     825	      36
2020_03_14	    4231	     120	    1266	      36
2020_03_15	    5753	     136	    1522	      16
2020_03_16	    7753	     288	    2000	     152
2020_03_17	    9191	     309	    1438	      21
2020_03_18	   11178	     491	    1987	     182
2020_03_19	   13716	     598	    2538	     107
2020_03_20	   17147	     767	    3431	     169
2020_03_21	   19980	    1002	    2833	     235
2020_03_22	   24926	    1326	    4946	     324
2020_03_23	   28572	    1720	    3646	     394
2020_03_24	   33089	    2182	    4517	     462
2020_03_25	   39673	    2696	    6584	     514
2020_03_26	   47610	    3434	    7937	     738
2020_03_27	   56188	    4089	    8578	     655
2020_03_28	   64059	    4858	    7871	     769
2020_03_29	   72248	    5690	    8189	     832
2020_03_30	   78797	    6528	    6549	     838
2020_03_31	   85195	    7340	    6398	     812
2020_04_01	   94417	    8189	    9222	     849
2020_04_02	  102136	    9053	    7719	     864
2020_04_03	  110238	   10003	    8102	     950
2020_04_04	  117710	   10935	    7472	     932
2020_04_05	  124736	   11744	    7026	     809
2020_04_06	  130759	   12418	    6023	     674
2020_04_07	  135032	   13055	    4273	     637
2020_04_08	  140510	   13798	    5478	     743
2020_04_09	  146690	   14555	    6180	     757
2020_04_10	  152446	   15238	    5756	     683
2020_04_11	  157022	   15843	    4576	     605
2020_04_12	  161852	   16353	    4830	     510
2020_04_13	  166019	   16972	    4167	     619
2020_04_14	  169496	   17489	    3477	     517
2020_04_15	  172541	   18056	    3045	     567
2020_04_16	  177633	   18579	    5092	     523
2020_04_17	  182816	   19130	    5183	     551
2020_04_18	  188068	   19478	    5252	     348
2020_04_19	  191726	   20043	    3658	     565
2020_04_20	  195944	   20453	    4218	     410
2020_04_21	  200210	   20852	    4266	     399
2020_04_22	  204178	   21282	    3968	     430
2020_04_23	  208389	   21717	    4211	     435
2020_04_24	  213024	   22157	    4635	     440
2020_04_25	  219764	   22524	    6740	     367
2020_04_26	  219764	   22524	       0	       0
2020_04_27	  207634	   23190	  -12130	     666
2020_04_28	  209465	   23190	    1831	       0
2020_04_29	  210773	   23822	    1308	     632
2020_04_30	  212917	   24275	    2144	     453
2020_05_01	  213435	   24543	     518	     268
2020_05_02	  215216	   24824	    1781	     281
2020_05_03	  216582	   25100	    1366	     276
2020_05_04	  217466	   25264	     884	     164
2020_05_05	  218011	   25428	     545	     164
2020_05_06	  219329	   25613	    1318	     185
2020_05_07	  220325	   25857	     996	     244
2020_05_08	  221447	   26070	    1122	     213
2020_05_09	  222857	   26251	    1410	     181
2020_05_10	  223578	   26478	     721	     227
2020_05_11	  224390	   26621	     812	     143
2020_05_12	  227436	   26744	    3046	     123
2020_05_13	  228030	   26920	     594	     176
2020_05_14	  228691	   27104	     661	     184
2020_05_15	  229540	   27321	     849	     217
2020_05_16	  230183	   27459	     643	     138
2020_05_17	  230698	   27563	     515	     104
2020_05_18	  231350	   27650	     652	      87
2020_05_19	  231606	   27709	     256	      59
2020_05_20	  232037	   27778	     431	      69
2020_05_21	  232555	   27888	     518	     110
2020_05_22	  233037	   27940	     482	      52
2020_05_23	  234824	   28628	    1787	     688
2020_05_24	  235290	   28678	     466	      50
2020_05_25	  235772	   28752	     482	      74
2020_05_26	  235400	   26834	    -372	   -1918
2020_05_27	  236631	   29035	    1231	    2201
2020_05_28	  237141	   29036	     510	       1
2020_05_29	  238278	   29037	    1137	       1
2020_05_30	  238936	   29039	     658	       2
2020_05_31	  239600	   29043	     664	       4
2020_06_01	  239801	   29045	     201	       2
2020_06_02	  240010	   29858	     209	     813
2020_06_03	  240304	   29858	     294	       0
2020_06_04	  240326	   27940	      22	   -1918
2020_06_05	  240660	   27133	     334	    -807
2020_06_06	  240978	   27134	     318	       1
2020_06_07	  241310	   27135	     332	       1
2020_06_08	  241550	   27136	     240	       1
2020_06_09	  241717	   27136	     167	       0
2020_06_10	  241966	   27136	     249	       0
2020_06_11	  242280	   27136	     314	       0
2020_06_12	  242707	   27136	     427	       0
2020_06_13	  243209	   27136	     502	       0
2020_06_14	  243605	   27136	     396	       0
2020_06_15	  243928	   27136	     323	       0
2020_06_16	  244109	   27136	     181	       0
2020_06_17	  244328	   27136	     219	       0
2020_06_18	  244683	   27136	     355	       0
2020_06_19	  245268	   27136	     585	       0
2020_06_20	  245575	   28315	     307	    1179
2020_06_21	  245938	   28322	     363	       7
2020_06_22	  246272	   28323	     334	       1
2020_06_23	  246504	   28324	     232	       1
2020_06_24	  246752	   28325	     248	       1
2020_06_25	  247086	   28327	     334	       2
2020_06_26	  247486	   28330	     400	       3
2020_06_27	  247905	   28338	     419	       8
2020_06_28	  248469	   28341	     564	       3
2020_06_29	  248770	   28343	     301	       2
2020_06_30	  248970	   28346	     200	       3
2020_07_01	  249271	   28355	     301	       9
2020_07_02	  249659	   28363	     388	       8
2020_07_03	  250103	   28368	     444	       5
2020_07_04	  250545	   28385	     442	      17
2020_07_05	  250545	   28385	       0	       0
2020_07_06	  250545	   28385	       0	       0
2020_07_07	  251789	   28388	    1244	       3
2020_07_08	  252130	   28392	     341	       4
2020_07_09	  252513	   28396	     383	       4
2020_07_10	  253056	   28401	     543	       5
2020_07_11	  253908	   28403	     852	       2
2020_07_12	  253908	   28403	       0	       0
2020_07_13	  253908	   28403	       0	       0
2020_07_14	  255953	   28406	    2045	       3
2020_07_15	  256619	   28409	     666	       3
2020_07_16	  257494	   28413	     875	       4
2020_07_17	  258855	   28416	    1361	       3
2020_07_18	  260255	   28420	    1400	       4
2020_07_19	  260255	   28420	       0	       0
2020_07_20	  260255	   28420	       0	       0
2020_07_21	  264836	   28422	    4581	       2
2020_07_22	  266194	   28424	    1358	       2
2020_07_23	  267551	   28426	    1357	       2
2020_07_24	  270166	   28429	    2615	       3
2020_07_25	  272421	   28432	    2255	       3
2020_07_26	  272421	   28432	       0	       0
2020_07_27	  272421	   28432	       0	       0
2020_07_28	  278782	   28434	    6361	       2
2020_07_29	  280610	   28436	    1828	       2
2020_07_30	  282641	   28441	    2031	       5
2020_07_31	  285430	   28443	    2789	       2
2020_08_01	  288522	   28445	    3092	       2
2020_08_02	  288522	   28445	       0	       0
2020_08_03	  288522	   28445	       0	       0
2020_08_04	  297054	   28472	    8532	      27
2020_08_05	  302814	   28498	    5760	      26
2020_08_06	  305767	   28499	    2953	       1
2020_08_07	  309855	   28500	    4088	       1
2020_08_08	  314362	   28503	    4507	       3
2020_08_09	  314362	   28503	       0	       0
2020_08_10	  314362	   28503	       0	       0
2020_08_11	  314362	   28503	       0	       0
2020_08_12	  326612	   28581	   12250	      78
2020_08_13	  329784	   28579	    3172	      -2
2020_08_14	  337334	   28605	    7550	      26
2020_08_15	  342813	   28617	    5479	      12
2020_08_16	  342813	   28617	       0	       0
2020_08_17	  348990	   28648	    6177	      31
2020_08_18	  355167	   28680	    6177	      32
2020_08_19	  361344	   28711	    6177	      31
2020_08_20	  367522	   28743	    6178	      32
2020_08_21	  373699	   28774	    6177	      31
2020_08_22	  379876	   28806	    6177	      32
2020_08_23	  386054	   28838	    6178	      32
2020_08_24	  393658	   28862	    7604	      24
2020_08_25	  401263	   28887	    7605	      25
2020_08_26	  408867	   28912	    7604	      25
2020_08_27	  416472	   28936	    7605	      24
2020_08_28	  424076	   28961	    7604	      25
2020_08_29	  431681	   28986	    7605	      25
2020_08_30	  439286	   29011	    7605	      25
2020_08_31	  447815	   29069	    8529	      58
2020_09_01	  456344	   29127	    8529	      58
2020_09_02	  464873	   29185	    8529	      58
2020_09_03	  473402	   29243	    8529	      58
2020_09_04	  481931	   29301	    8529	      58
2020_09_05	  490460	   29359	    8529	      58
2020_09_06	  498989	   29418	    8529	      59
2020_09_07	  508608	   29465	    9619	      47
2020_09_08	  518228	   29512	    9620	      47
2020_09_09	  527847	   29559	    9619	      47
2020_09_10	  537467	   29606	    9620	      47
2020_09_11	  547086	   29653	    9619	      47
2020_09_12	  556706	   29700	    9620	      47
2020_09_13	  566326	   29747	    9620	      47
2020_09_14	  576856	   29853	   10530	     106
2020_09_15	  587387	   29960	   10531	     107
2020_09_16	  597917	   30067	   10530	     107
2020_09_17	  608448	   30174	   10531	     107
2020_09_18	  618978	   30281	   10530	     107
2020_09_19	  629509	   30388	   10531	     107
2020_09_20	  640040	   30495	   10531	     107
2020_09_21	  650960	   30600	   10920	     105
2020_09_22	  661880	   30705	   10920	     105
2020_09_23	  672800	   30810	   10920	     105
2020_09_24	  683720	   30916	   10920	     106
2020_09_25	  694640	   31021	   10920	     105
2020_09_26	  705560	   31126	   10920	     105
2020_09_27	  716481	   31232	   10921	     106
2020_09_28	  726974	   31354	   10493	     122
2020_09_29	  737467	   31476	   10493	     122
2020_09_30	  747960	   31598	   10493	     122
2020_10_01	  758453	   31720	   10493	     122
2020_10_02	  768946	   31842	   10493	     122
2020_10_03	  779439	   31964	   10493	     122
2020_10_04	  789932	   32086	   10493	     122
2020_10_05	  800100	   32206	   10168	     120
2020_10_06	  810269	   32326	   10169	     120
2020_10_07	  820437	   32447	   10168	     121
2020_10_08	  830606	   32567	   10169	     120
