#
# COVID-19 Country file (official WHO count)
# Country = Sudan
# Latitude = 16.0
# Population = 43541.203
# Territory = 1861484.0
# LEB = 65.3
# DPA = 305000
# DPA65 = 88450
# GDP = 1553.0
# GDP_PPP = 4449.0
# COVID-19 Mortality = 62.7
# First_Case = 2020_03_14
# Last_Case = 2021_06_13
# First_Death = 2020_03_16
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_14	       1	       0	       1	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       1	       1	       0	       1
2020_03_17	       2	       1	       1	       0
2020_03_18	       1	       1	      -1	       0
2020_03_19	       1	       1	       0	       0
2020_03_20	       1	       1	       0	       0
2020_03_21	       1	       1	       0	       0
2020_03_22	       2	       1	       1	       0
2020_03_23	       2	       1	       0	       0
2020_03_24	       2	       1	       0	       0
2020_03_25	       3	       1	       1	       0
2020_03_26	       3	       1	       0	       0
2020_03_27	       3	       1	       0	       0
2020_03_28	       3	       1	       0	       0
2020_03_29	       5	       1	       2	       0
2020_03_30	       6	       2	       1	       1
2020_03_31	       6	       2	       0	       0
2020_04_01	       7	       2	       1	       0
2020_04_02	       7	       2	       0	       0
2020_04_03	       8	       2	       1	       0
2020_04_04	      10	       2	       2	       0
2020_04_05	      10	       2	       0	       0
2020_04_06	      12	       2	       2	       0
2020_04_07	      14	       2	       2	       0
2020_04_08	      14	       2	       0	       0
2020_04_09	      14	       2	       0	       0
2020_04_10	      15	       2	       1	       0
2020_04_11	      17	       2	       2	       0
2020_04_12	      19	       2	       2	       0
2020_04_13	      19	       2	       0	       0
2020_04_14	      29	       4	      10	       2
2020_04_15	      32	       5	       3	       1
2020_04_16	      32	       5	       0	       0
2020_04_17	      32	       5	       0	       0
2020_04_18	      33	       6	       1	       1
2020_04_19	      66	      10	      33	       4
2020_04_20	      92	      12	      26	       2
2020_04_21	     107	      12	      15	       0
2020_04_22	     140	      13	      33	       1
2020_04_23	     162	      13	      22	       0
2020_04_24	     174	      16	      12	       3
2020_04_25	     174	      16	       0	       0
2020_04_26	     213	      17	      39	       1
2020_04_27	     237	      21	      24	       4
2020_04_28	     275	      22	      38	       1
2020_04_29	     318	      25	      43	       3
2020_04_30	     375	      28	      57	       3
2020_05_01	     442	      31	      67	       3
2020_05_02	     533	      36	      91	       5
2020_05_03	     592	      41	      59	       5
2020_05_04	     592	      41	       0	       0
2020_05_05	     678	      41	      86	       0
2020_05_06	     778	      45	     100	       4
2020_05_07	     852	      49	      74	       4
2020_05_08	     930	      52	      78	       3
2020_05_09	    1111	      59	     181	       7
2020_05_10	    1164	      64	      53	       5
2020_05_11	    1365	      70	     201	       6
2020_05_12	    1526	      74	     161	       4
2020_05_13	    1660	      80	     134	       6
2020_05_14	    1817	      90	     157	      10
2020_05_15	    1964	      91	     147	       1
2020_05_16	    1964	      91	       0	       0
2020_05_17	    2289	      97	     325	       6
2020_05_18	    2591	     105	     302	       8
2020_05_19	    2591	     105	       0	       0
2020_05_20	    2728	     111	     137	       6
2020_05_21	    3138	     121	     410	      10
2020_05_22	    3138	     121	       0	       0
2020_05_23	    3378	     137	     240	      16
2020_05_24	    3634	     146	     256	       9
2020_05_25	    3826	     165	     192	      19
2020_05_26	    3976	     170	     150	       5
2020_05_27	    4146	     184	     170	      14
2020_05_28	    4346	     195	     200	      11
2020_05_29	    4346	     195	       0	       0
2020_05_30	    4521	     233	     175	      38
2020_05_31	    4800	     262	     279	      29
2020_06_01	    5026	     286	     226	      24
2020_06_02	    5173	     298	     147	      12
