#
# COVID-19 Country file (official WHO count)
# Country = Suriname
# Latitude = 6.0
# Population = 577.752
# Territory = 163820.0
# LEB = 71.7
# DPA = 4000
# DPA65 = 2160
# GDP = 6434.0
# GDP_PPP = 15152.0
# COVID-19 Mortality = 675.0
# First_Case = 2020_03_16
# Last_Case = 2021_06_13
# First_Death = 2020_04_07
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_02_22
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_16	       1	       0	       1	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       1	       0	       0	       0
2020_03_20	       1	       0	       0	       0
2020_03_21	       2	       0	       1	       0
2020_03_22	       2	       0	       0	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	       2	       0	       0	       0
2020_03_25	       6	       0	       4	       0
2020_03_26	       7	       0	       1	       0
2020_03_27	       7	       0	       0	       0
2020_03_28	       8	       0	       1	       0
2020_03_29	       8	       0	       0	       0
2020_03_30	       8	       0	       0	       0
2020_03_31	       8	       0	       0	       0
2020_04_01	       8	       0	       0	       0
2020_04_02	       8	       0	       0	       0
2020_04_03	       8	       0	       0	       0
2020_04_04	      10	       0	       2	       0
2020_04_05	      10	       0	       0	       0
2020_04_06	      10	       0	       0	       0
2020_04_07	      10	       1	       0	       1
2020_04_08	      10	       1	       0	       0
2020_04_09	      10	       1	       0	       0
2020_04_10	      10	       1	       0	       0
2020_04_11	      10	       1	       0	       0
2020_04_12	      10	       1	       0	       0
2020_04_13	      10	       1	       0	       0
2020_04_14	      10	       1	       0	       0
2020_04_15	      10	       1	       0	       0
2020_04_16	      10	       1	       0	       0
2020_04_17	      10	       1	       0	       0
2020_04_18	      10	       1	       0	       0
2020_04_19	      10	       1	       0	       0
2020_04_20	      10	       1	       0	       0
2020_04_21	      10	       1	       0	       0
2020_04_22	      10	       1	       0	       0
2020_04_23	      10	       1	       0	       0
2020_04_24	      10	       1	       0	       0
2020_04_25	      10	       1	       0	       0
2020_04_26	      10	       1	       0	       0
2020_04_27	      10	       1	       0	       0
2020_04_28	      10	       1	       0	       0
2020_04_29	      10	       1	       0	       0
2020_04_30	      10	       1	       0	       0
2020_05_01	      10	       1	       0	       0
2020_05_02	      10	       1	       0	       0
2020_05_03	      10	       1	       0	       0
2020_05_04	      10	       1	       0	       0
2020_05_05	      10	       1	       0	       0
2020_05_06	      10	       1	       0	       0
2020_05_07	      10	       1	       0	       0
2020_05_08	      10	       1	       0	       0
2020_05_09	      10	       1	       0	       0
2020_05_10	      10	       1	       0	       0
2020_05_11	      10	       1	       0	       0
2020_05_12	      10	       1	       0	       0
2020_05_13	      10	       1	       0	       0
2020_05_14	      10	       1	       0	       0
2020_05_15	      10	       1	       0	       0
2020_05_16	      10	       1	       0	       0
2020_05_17	      10	       1	       0	       0
2020_05_18	      10	       1	       0	       0
2020_05_19	      11	       1	       1	       0
2020_05_20	      11	       1	       0	       0
2020_05_21	      11	       1	       0	       0
2020_05_22	      11	       1	       0	       0
2020_05_23	      11	       1	       0	       0
2020_05_24	      11	       1	       0	       0
2020_05_25	      11	       1	       0	       0
2020_05_26	      11	       1	       0	       0
2020_05_27	      11	       1	       0	       0
2020_05_28	      11	       1	       0	       0
2020_05_29	      12	       1	       1	       0
2020_05_30	      12	       1	       0	       0
2020_05_31	      12	       1	       0	       0
2020_06_01	      14	       1	       2	       0
2020_06_02	      27	       1	      13	       0
2020_06_03	      53	       1	      26	       0
2020_06_04	      54	       1	       1	       0
2020_06_05	      82	       1	      28	       0
2020_06_06	      82	       1	       0	       0
2020_06_07	      90	       1	       8	       0
2020_06_08	     101	       1	      11	       0
2020_06_09	     128	       2	      27	       1
2020_06_10	     133	       2	       5	       0
2020_06_11	     137	       2	       4	       0
2020_06_12	     144	       2	       7	       0
2020_06_13	     168	       2	      24	       0
2020_06_14	     187	       3	      19	       1
2020_06_15	     187	       3	       0	       0
2020_06_16	     208	       4	      21	       1
2020_06_17	     236	       6	      28	       2
2020_06_18	     242	       6	       6	       0
2020_06_19	     261	       7	      19	       1
2020_06_20	     277	       8	      16	       1
2020_06_21	     293	       8	      16	       0
2020_06_22	     302	       8	       9	       0
2020_06_23	     318	       8	      16	       0
2020_06_24	     319	       9	       1	       1
2020_06_25	     319	       9	       0	       0
2020_06_26	     357	      10	      38	       1
2020_06_27	     373	      10	      16	       0
2020_06_28	     391	      10	      18	       0
2020_06_29	     467	      11	      76	       1
2020_06_30	     492	      13	      25	       2
2020_07_01	     515	      13	      23	       0
2020_07_02	     517	      13	       2	       0
2020_07_03	     535	      13	      18	       0
2020_07_04	     547	      13	      12	       0
2020_07_05	     565	      14	      18	       1
2020_07_06	     583	      14	      18	       0
2020_07_07	     604	      14	      21	       0
2020_07_08	     614	      15	      10	       1
2020_07_09	     635	      17	      21	       2
2020_07_10	     671	      17	      36	       0
2020_07_11	     726	      17	      55	       0
2020_07_12	     729	      18	       3	       1
2020_07_13	     741	      18	      12	       0
2020_07_14	     762	      18	      21	       0
2020_07_15	     780	      18	      18	       0
2020_07_16	     801	      18	      21	       0
2020_07_17	     849	      18	      48	       0
2020_07_18	     919	      19	      70	       1
2020_07_19	     943	      19	      24	       0
2020_07_20	    1001	      20	      58	       1
2020_07_21	    1029	      21	      28	       1
2020_07_22	    1079	      21	      50	       0
2020_07_23	    1131	      21	      52	       0
2020_07_24	    1176	      21	      45	       0
2020_07_25	    1234	      23	      58	       2
2020_07_26	    1234	      23	       0	       0
2020_07_27	    1381	      23	     147	       0
2020_07_28	    1439	      23	      58	       0
2020_07_29	    1483	      24	      44	       1
2020_07_30	    1510	      24	      27	       0
2020_07_31	    1607	      26	      97	       2
2020_08_01	    1650	      26	      43	       0
2020_08_02	    1706	      26	      56	       0
2020_08_03	    1760	      26	      54	       0
2020_08_04	    1849	      27	      89	       1
2020_08_05	    1893	      27	      44	       0
2020_08_06	    1981	      27	      88	       0
2020_08_07	    2050	      27	      69	       0
2020_08_08	    2096	      29	      46	       2
2020_08_09	    2203	      29	     107	       0
2020_08_10	    2306	      29	     103	       0
2020_08_11	    2391	      29	      85	       0
2020_08_12	    2489	      30	      98	       1
2020_08_13	    2559	      39	      70	       9
2020_08_14	    2653	      39	      94	       0
2020_08_15	    2761	      40	     108	       1
2020_08_16	    2838	      41	      77	       1
2020_08_17	    2926	      43	      88	       2
2020_08_18	    3015	      45	      89	       2
2020_08_19	    3104	      47	      89	       2
2020_08_20	    3193	      49	      89	       2
2020_08_21	    3282	      51	      89	       2
2020_08_22	    3371	      53	      89	       2
2020_08_23	    3460	      56	      89	       3
2020_08_24	    3515	      57	      55	       1
2020_08_25	    3570	      58	      55	       1
2020_08_26	    3626	      60	      56	       2
2020_08_27	    3681	      61	      55	       1
2020_08_28	    3737	      63	      56	       2
2020_08_29	    3792	      64	      55	       1
2020_08_30	    3848	      66	      56	       2
2020_08_31	    3905	      67	      57	       1
2020_09_01	    3963	      68	      58	       1
2020_09_02	    4021	      69	      58	       1
2020_09_03	    4078	      71	      57	       2
2020_09_04	    4136	      72	      58	       1
2020_09_05	    4194	      73	      58	       1
2020_09_06	    4252	      75	      58	       2
2020_09_07	    4291	      77	      39	       2
2020_09_08	    4331	      80	      40	       3
2020_09_09	    4370	      82	      39	       2
2020_09_10	    4410	      85	      40	       3
2020_09_11	    4449	      87	      39	       2
2020_09_12	    4489	      90	      40	       3
2020_09_13	    4529	      93	      40	       3
2020_09_14	    4552	      93	      23	       0
2020_09_15	    4575	      93	      23	       0
2020_09_16	    4598	      94	      23	       1
2020_09_17	    4621	      94	      23	       0
2020_09_18	    4644	      95	      23	       1
2020_09_19	    4667	      95	      23	       0
2020_09_20	    4691	      96	      24	       1
2020_09_21	    4709	      96	      18	       0
2020_09_22	    4727	      97	      18	       1
2020_09_23	    4745	      98	      18	       1
2020_09_24	    4763	      99	      18	       1
2020_09_25	    4781	     100	      18	       1
2020_09_26	    4799	     101	      18	       1
2020_09_27	    4817	     102	      18	       1
2020_09_28	    4828	     102	      11	       0
2020_09_29	    4840	     102	      12	       0
2020_09_30	    4852	     103	      12	       1
2020_10_01	    4863	     103	      11	       0
2020_10_02	    4875	     104	      12	       1
2020_10_03	    4887	     104	      12	       0
2020_10_04	    4899	     105	      12	       1
2020_10_05	    4916	     105	      17	       0
2020_10_06	    4933	     105	      17	       0
2020_10_07	    4950	     105	      17	       0
2020_10_08	    4967	     105	      17	       0
2020_10_09	    4984	     105	      17	       0
2020_10_10	    5001	     105	      17	       0
2020_10_11	    5018	     106	      17	       1
2020_10_12	    5034	     106	      16	       0
2020_10_13	    5050	     106	      16	       0
2020_10_14	    5066	     107	      16	       1
2020_10_15	    5082	     107	      16	       0
2020_10_16	    5098	     108	      16	       1
2020_10_17	    5114	     108	      16	       0
2020_10_18	    5130	     109	      16	       1
2020_10_19	    5135	     109	       5	       0
2020_10_20	    5141	     109	       6	       0
2020_10_21	    5147	     109	       6	       0
2020_10_22	    5152	     109	       5	       0
2020_10_23	    5158	     109	       6	       0
2020_10_24	    5164	     109	       6	       0
2020_10_25	    5170	     109	       6	       0
2020_10_26	    5174	     109	       4	       0
2020_10_27	    5178	     109	       4	       0
2020_10_28	    5183	     109	       5	       0
2020_10_29	    5187	     110	       4	       1
2020_10_30	    5192	     110	       5	       0
2020_10_31	    5196	     110	       4	       0
2020_11_01	    5201	     111	       5	       1
2020_11_02	    5204	     111	       3	       0
2020_11_03	    5208	     111	       4	       0
2020_11_04	    5212	     111	       4	       0
2020_11_05	    5215	     111	       3	       0
2020_11_06	    5219	     111	       4	       0
2020_11_07	    5223	     111	       4	       0
2020_11_08	    5227	     112	       4	       1
2020_11_09	    5232	     112	       5	       0
2020_11_10	    5238	     112	       6	       0
2020_11_11	    5244	     112	       6	       0
2020_11_12	    5250	     113	       6	       1
2020_11_13	    5256	     113	       6	       0
2020_11_14	    5262	     113	       6	       0
2020_11_15	    5268	     114	       6	       1
2020_11_16	    5271	     114	       3	       0
2020_11_17	    5274	     114	       3	       0
2020_11_18	    5277	     114	       3	       0
2020_11_19	    5280	     115	       3	       1
2020_11_20	    5283	     115	       3	       0
2020_11_21	    5286	     115	       3	       0
2020_11_22	    5289	     116	       3	       1
