#
# COVID-19 Country file (official WHO count)
# Country = Sweden
# Latitude = 59.0
# Population = 10121.686
# Territory = 450295.0
# LEB = 82.8
# DPA = 91000
# DPA65 = 80080
# GDP = 53297.0
# GDP_PPP = 53499.0
# COVID-19 Mortality = 574.0
# First_Case = 2020_02_01
# First_Death = 2020_03_16
# Last_Case = 2020_03_16
# Last_Death = 2020_03_16
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_01	1	0
2020_02_02	1	0
2020_02_03	1	0
2020_02_04	1	0
2020_02_05	1	0
2020_02_06	1	0
2020_02_07	1	0
2020_02_08	1	0
2020_02_09	1	0
2020_02_10	1	0
2020_02_11	1	0
2020_02_12	1	0
2020_02_13	1	0
2020_02_14	1	0
2020_02_15	1	0
2020_02_16	1	0
2020_02_17	1	0
2020_02_18	1	0
2020_02_19	1	0
2020_02_20	1	0
2020_02_21	1	0
2020_02_22	1	0
2020_02_23	1	0
2020_02_24	1	0
2020_02_25	1	0
2020_02_26	1	0
2020_02_27	2	0
2020_02_28	7	0
2020_02_29	12	0
2020_03_01	13	0
2020_03_02	14	0
2020_03_03	15	0
2020_03_04	24	0
2020_03_05	35	0
2020_03_06	61	0
2020_03_07	137	0
2020_03_08	161	0
2020_03_09	203	0
2020_03_10	248	0
2020_03_11	326	0
2020_03_12	461	0
2020_03_13	620	0
2020_03_14	775	0
2020_03_15	924	0
2020_03_16	992	3
2020_03_17	1059	3
2020_03_18	1167	3
2020_03_19	1279	3
2020_03_20	1423	3
2020_03_21	1623	16
2020_03_22	1746	20
2020_03_23	1906	21
2020_03_24	2016	25
2020_03_25	2272	36
2020_03_26	2510	42
2020_03_27	2806	66
2020_03_28	3046	92
2020_03_29	3447	102
2020_03_30	3700	110
2020_03_31	4028	146
2020_04_01	4435	180
2020_04_02	4947	239
2020_04_03	5466	282
2020_04_04	6078	333
2020_04_05	6443	373
2020_04_06	6830	401
2020_04_07	7206	477
2020_04_08	7693	591
2020_04_09	8419	687
2020_04_10	9141	793
2020_04_11	9685	870
2020_04_12	10151	887
2020_04_13	10483	899
2020_04_14	10948	919
2020_04_15	11445	1033
2020_04_16	11927	1203
2020_04_17	12540	1333
2020_04_18	13216	1400
2020_04_19	13822	1511
2020_04_20	14385	1540
2020_04_21	14777	1580
2020_04_22	15322	1765
2020_04_23	16004	1937
2020_04_24	16755	2021
2020_04_25	17567	2152
2020_04_26	18177	2192
2020_04_27	18640	2194
2020_04_28	18926	2274
2020_04_29	19621	2355
2020_04_30	20302	2462
2020_05_01	21092	2586
2020_05_02	21520	2653
2020_05_03	22082	2669
2020_05_04	22317	2679
2020_05_05	22721	2769
2020_05_06	23216	2854
2020_05_07	23918	2941
2020_05_08	24623	3040
2020_05_09	25265	3175
2020_05_10	25921	3220
2020_05_11	26322	3225
2020_05_12	26670	3256
2020_05_13	27272	3313
2020_05_14	27909	3460
2020_05_15	28582	3529
2020_05_16	29207	3646
2020_05_17	29677	3674
2020_05_18	30143	3679
2020_05_19	30377	3698
2020_05_20	30799	3743
2020_05_21	31523	3831
2020_05_22	32172	3871
2020_05_23	32809	3925
2020_05_24	33188	3992
2020_05_25	33459	3998
2020_05_26	33843	4029
2020_05_27	34440	4125
2020_05_28	35088	4220
2020_05_29	35727	4266
2020_05_30	36476	4350
2020_05_31	37113	4395
2020_06_01	37542	4395
2020_06_02	37814	4403
2020_06_03	38589	4468
2020_06_04	40803	4542
2020_06_05	41883	4562
2020_06_06	42939	4639
2020_06_07	43887	4656
2020_06_08	44730	4659
2020_06_09	45133	4694
2020_06_10	45924	4717
2020_06_11	46814	4795
2020_06_12	48288	4814
2020_06_13	49684	4854
2020_06_14	50931	4874
2020_06_15	51614	4874
2020_06_16	52383	4891
2020_06_17	53323	4939
2020_06_18	54562	5041
2020_06_19	56043	5053
2020_06_20	56043	5053
2020_06_21	56043	5053
2020_06_22	56043	5053
2020_06_23	58932	5122
2020_06_24	60837	5161
2020_06_25	62324	5209
2020_06_26	63890	5230
2020_06_27	65137	5280
2020_06_28	65137	5280
2020_06_29	65137	5280
2020_06_30	67667	5310
2020_07_01	68451	5333
2020_07_02	69692	5370
2020_07_03	70639	5411
2020_07_04	71419	5420
2020_07_05	71419	5420
2020_07_06	71419	5420
2020_07_07	73061	5433
2020_07_08	73344	5447
2020_07_09	73858	5482
2020_07_10	74333	5500
2020_07_11	74898	5526
2020_07_12	74898	5526
2020_07_13	74898	5526
2020_07_14	75826	5536
2020_07_15	76001	5545
2020_07_16	76492	5572
2020_07_17	76877	5593
2020_07_18	77281	5619
2020_07_19	77281	5619
2020_07_20	77281	5619
2020_07_21	78048	5639
2020_07_22	78166	5646
2020_07_23	78504	5667
2020_07_24	78763	5676
2020_07_25	78997	5697
2020_07_26	78997	5697
2020_07_27	78997	5697
2020_07_28	79395	5700
2020_07_29	79494	5702
2020_07_30	79782	5730
2020_07_31	80100	5739
2020_08_01	80422	5743
2020_08_02	80422	5743
2020_08_03	80422	5743
2020_08_04	81012	5744
2020_08_05	81181	5747
2020_08_06	81540	5760
2020_08_07	81967	5766
2020_08_08	82323	5763
2020_08_09	82323	5763
2020_08_10	82323	5763
2020_08_11	82972	5766
2020_08_12	83126	5770
2020_08_13	83455	5774
2020_08_14	83852	5776
2020_08_15	84294	5783
2020_08_16	84294	5783
2020_08_17	84547	5786
2020_08_18	84800	5789
2020_08_19	85053	5792
2020_08_20	85306	5795
2020_08_21	85559	5798
2020_08_22	85812	5801
2020_08_23	86068	5810
