#
# COVID-19 Country file (official WHO count)
# Country = Switzerland
# Latitude = 47.0
# Population = 8670.535
# Territory = 41284.0
# LEB = 83.8
# DPA = 69000
# DPA65 = 59340
# GDP = 82205.0
# GDP_PPP = 65673.0
# COVID-19 Mortality = 198.3
# First_Case = 2020_02_26
# First_Death = 2020_03_06
# Last_Case = 2020_03_06
# Last_Death = 2020_03_06
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_26	1	0
2020_02_27	1	0
2020_02_28	6	0
2020_02_29	10	0
2020_03_01	18	0
2020_03_02	24	0
2020_03_03	30	0
2020_03_04	37	0
2020_03_05	56	0
2020_03_06	86	1
2020_03_07	209	1
2020_03_08	264	2
2020_03_09	332	2
2020_03_10	332	2
2020_03_11	491	3
2020_03_12	645	4
2020_03_13	858	6
2020_03_14	1125	6
2020_03_15	1359	11
2020_03_16	2200	13
2020_03_17	2200	14
2020_03_18	2650	14
2020_03_19	3010	21
2020_03_20	3863	33
2020_03_21	4840	43
2020_03_22	6077	56
2020_03_23	6971	60
2020_03_24	8015	66
2020_03_25	8789	86
2020_03_26	9714	103
2020_03_27	10714	161
2020_03_28	12104	197
2020_03_29	13152	235
2020_03_30	14274	257
2020_03_31	15412	295
2020_04_01	16108	373
2020_04_02	17070	378
2020_04_03	18844	536
2020_04_04	19706	607
2020_04_05	20489	666
2020_04_06	21065	715
2020_04_07	21574	715
2020_04_08	22164	641
2020_04_09	22710	705
2020_04_10	23495	756
2020_04_11	24228	805
2020_04_12	24820	831
2020_04_13	25220	858
2020_04_14	25499	885
2020_04_15	25753	900
2020_04_16	26336	973
2020_04_17	26651	1016
2020_04_18	26997	1058
2020_04_19	27322	1110
2020_04_20	27658	1134
2020_04_21	27862	1141
2020_04_22	27981	1186
2020_04_23	28186	1216
2020_04_24	28414	1267
2020_04_25	28595	1308
2020_04_26	28978	1336
2020_04_27	28978	1336
2020_04_28	29081	1352
2020_04_29	29181	1379
2020_04_30	29324	1407
2020_05_01	29503	1422
2020_05_02	29622	1434
2020_05_03	29734	1466
2020_05_04	29822	1472
2020_05_05	29898	1476
2020_05_06	29926	1482
2020_05_07	29977	1504
2020_05_08	30043	1517
2020_05_09	30168	1531
2020_05_10	30168	1531
2020_05_11	30222	1537
2020_05_12	30261	1542
2020_05_13	30297	1560
2020_05_14	30330	1563
2020_05_15	30380	1588
2020_05_16	30431	1594
2020_05_17	30489	1601
2020_05_18	30504	1602
2020_05_19	30514	1602
2020_05_20	30535	1613
2020_05_21	30575	1629
2020_05_22	30611	1637
2020_05_23	30624	1637
2020_05_24	30642	1640
2020_05_25	30653	1640
2020_05_26	30663	1641
2020_05_27	30678	1647
2020_05_28	30693	1648
2020_05_29	30713	1654
2020_05_30	30745	1656
2020_05_31	30762	1656
2020_06_01	30779	1656
2020_06_02	30788	1656
2020_06_03	30791	1656
2020_06_04	30810	1659
2020_06_05	30830	1659
2020_06_06	30853	1659
2020_06_07	30873	1660
2020_06_08	30882	1660
2020_06_09	30889	1660
2020_06_10	30905	1662
2020_06_11	30928	1674
2020_06_12	30961	1674
2020_06_13	30980	1676
2020_06_14	31011	1676
2020_06_15	31034	1676
2020_06_16	31048	1676
2020_06_17	31063	1677
2020_06_18	31100	1677
2020_06_19	31117	1677
2020_06_20	31217	1680
2020_06_21	31217	1680
2020_06_22	31217	1680
2020_06_23	31217	1680
2020_06_24	31249	1679
2020_06_25	31293	1681
2020_06_26	31345	1681
2020_06_27	31403	1681
2020_06_28	31472	1681
2020_06_29	31534	1681
2020_06_30	31569	1681
2020_07_01	31631	1683
2020_07_02	31851	1684
2020_07_03	31884	1685
2020_07_04	32017	1685
2020_07_05	32114	1685
2020_07_06	32184	1685
2020_07_07	32230	1685
2020_07_08	32284	1685
2020_07_09	32413	1685
2020_07_10	32501	1685
2020_07_11	32605	1685
2020_07_12	32713	1685
2020_07_13	32713	1685
2020_07_14	32861	1685
2020_07_15	32931	1687
2020_07_16	33063	1687
2020_07_17	33205	1687
2020_07_18	33296	1687
2020_07_19	33406	1687
2020_07_20	33504	1687
2020_07_21	33547	1687
2020_07_22	33655	1690
2020_07_23	33796	1692
2020_07_24	33913	1693
2020_07_25	34067	1699
2020_07_26	34067	1699
2020_07_27	34325	1700
2020_07_28	34390	1700
2020_07_29	34522	1702
2020_07_30	34714	1702
2020_07_31	34933	1703
2020_08_01	34933	1703
2020_08_02	35412	1707
2020_08_03	35461	1706
2020_08_04	35527	1706
2020_08_05	35657	1705
2020_08_06	35838	1705
2020_08_07	36019	1708
2020_08_08	36180	1711
2020_08_09	36362	1711
2020_08_10	36514	1711
2020_08_11	36619	1711
2020_08_12	36806	1712
2020_08_13	37079	1713
2020_08_14	37312	1714
2020_08_15	37580	1715
2020_08_16	37831	1714
2020_08_17	38073	1714
2020_08_18	38315	1714
2020_08_19	38557	1714
2020_08_20	38799	1714
2020_08_21	39041	1714
2020_08_22	39283	1714
2020_08_23	39526	1719
