#
# COVID-19 Country file (official WHO count)
# Country = Tajikistan
# Latitude = 39.0
# Population = 9475.246
# Territory = 143100.0
# LEB = 71.1
# DPA = 44000
# DPA65 = 19360
# GDP = 835.0
# GDP_PPP = 3434.0
# COVID-19 Mortality = 7.0
# First_Case = 2020_05_01
# First_Death = 2020_05_03
# Last_Case = 2020_05_03
# Last_Death = 2020_05_03
# Status as of 2020_08_23 = Pending
#
Date	Conf_Cases	Conf_Deaths
2020_05_01	15	0
2020_05_02	32	0
2020_05_03	76	2
2020_05_04	128	4
2020_05_05	230	7
2020_05_06	293	7
2020_05_07	379	9
2020_05_08	461	16
2020_05_09	522	18
2020_05_10	561	19
2020_05_11	612	20
2020_05_12	661	21
2020_05_13	729	23
2020_05_14	729	23
2020_05_15	1085	41
2020_05_16	1118	36
2020_05_17	1322	39
2020_05_18	1322	39
2020_05_19	1729	44
2020_05_20	1936	44
2020_05_21	2140	44
2020_05_22	2350	44
2020_05_23	2551	44
2020_05_24	2738	44
2020_05_25	2929	46
2020_05_26	3100	46
2020_05_27	3266	47
2020_05_28	3424	47
2020_05_29	3563	47
2020_05_30	3686	47
2020_05_31	3807	47
2020_06_01	3930	47
2020_06_02	4013	47
2020_06_03	4100	47
2020_06_04	4191	48
2020_06_05	4289	48
2020_06_06	4370	48
2020_06_07	4453	48
2020_06_08	4529	48
2020_06_09	4609	48
2020_06_10	4690	48
2020_06_11	4763	48
2020_06_12	4834	49
2020_06_13	4902	49
2020_06_14	4971	50
2020_06_15	5035	50
2020_06_16	5097	50
2020_06_17	5160	50
2020_06_18	5221	51
2020_06_19	5279	51
2020_06_20	5338	51
2020_06_21	5399	52
2020_06_22	5457	52
2020_06_23	5513	52
2020_06_24	5567	52
2020_06_25	5630	52
2020_06_26	5691	52
2020_06_27	5747	52
2020_06_28	5799	52
2020_06_29	5849	52
2020_06_30	5900	52
2020_07_01	5954	52
2020_07_02	6005	52
2020_07_03	6005	52
2020_07_04	6058	52
2020_07_05	6159	52
2020_07_06	6213	53
2020_07_07	6262	53
2020_07_08	6315	53
2020_07_09	6363	54
2020_07_10	6409	54
2020_07_11	6456	55
2020_07_12	6505	55
2020_07_13	6551	55
2020_07_14	6595	55
2020_07_15	6643	56
2020_07_16	6695	56
2020_07_17	6741	56
2020_07_18	6786	56
2020_07_19	6834	57
2020_07_20	6878	57
2020_07_21	6921	57
2020_07_22	6967	57
2020_07_23	7015	58
2020_07_24	7060	58
2020_07_25	7104	58
2020_07_26	7104	58
2020_07_27	7192	59
2020_07_28	7235	60
2020_07_29	7276	60
2020_07_30	7320	60
2020_07_31	7366	60
2020_08_01	7409	60
2020_08_02	7451	60
2020_08_03	7451	60
2020_08_04	7538	61
2020_08_05	7583	61
2020_08_06	7625	61
2020_08_07	7665	62
2020_08_08	7706	62
2020_08_09	7745	62
2020_08_10	7785	62
2020_08_11	7827	62
2020_08_12	7871	63
2020_08_13	7912	63
2020_08_14	7950	63
2020_08_15	7989	63
2020_08_16	8029	64
2020_08_17	8064	64
2020_08_18	8099	64
2020_08_19	8134	64
2020_08_20	8169	64
2020_08_21	8204	64
2020_08_22	8239	64
2020_08_23	8277	66
