#
# COVID-19 Country file (official WHO count)
# Country = Thailand
# Latitude = 14.0
# Population = 69410.868
# Territory = 513120.0
# LEB = 77.1
# DPA = 542000
# DPA65 = 336040
# GDP = 7220.0
# GDP_PPP = 19404.0
# COVID-19 Mortality = 20.9
# First_Case = 2020_01_20
# Last_Case = 2021_06_13
# First_Death = 2020_03_02
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Oxford/AstraZeneca, Sinovac
# Vaccine start = 2021_02_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_20	       2	       0	       2	       0
2020_01_21	       2	       0	       0	       0
2020_01_22	       4	       0	       2	       0
2020_01_23	       4	       0	       0	       0
2020_01_24	       4	       0	       0	       0
2020_01_25	       4	       0	       0	       0
2020_01_26	       5	       0	       1	       0
2020_01_27	       5	       0	       0	       0
2020_01_28	      14	       0	       9	       0
2020_01_29	      14	       0	       0	       0
2020_01_30	      14	       0	       0	       0
2020_01_31	      14	       0	       0	       0
2020_02_01	      19	       0	       5	       0
2020_02_02	      19	       0	       0	       0
2020_02_03	      19	       0	       0	       0
2020_02_04	      19	       0	       0	       0
2020_02_05	      25	       0	       6	       0
2020_02_06	      25	       0	       0	       0
2020_02_07	      25	       0	       0	       0
2020_02_08	      32	       0	       7	       0
2020_02_09	      32	       0	       0	       0
2020_02_10	      32	       0	       0	       0
2020_02_11	      33	       0	       1	       0
2020_02_12	      33	       0	       0	       0
2020_02_13	      33	       0	       0	       0
2020_02_14	      33	       0	       0	       0
2020_02_15	      34	       0	       1	       0
2020_02_16	      34	       0	       0	       0
2020_02_17	      35	       0	       1	       0
2020_02_18	      35	       0	       0	       0
2020_02_19	      35	       0	       0	       0
2020_02_20	      35	       0	       0	       0
2020_02_21	      35	       0	       0	       0
2020_02_22	      35	       0	       0	       0
2020_02_23	      35	       0	       0	       0
2020_02_24	      35	       0	       0	       0
2020_02_25	      37	       0	       2	       0
2020_02_26	      40	       0	       3	       0
2020_02_27	      40	       0	       0	       0
2020_02_28	      40	       0	       0	       0
2020_02_29	      42	       0	       2	       0
2020_03_01	      42	       0	       0	       0
2020_03_02	      42	       1	       0	       1
2020_03_03	      43	       1	       1	       0
2020_03_04	      43	       1	       0	       0
2020_03_05	      47	       1	       4	       0
2020_03_06	      47	       1	       0	       0
2020_03_07	      48	       1	       1	       0
2020_03_08	      50	       1	       2	       0
2020_03_09	      50	       1	       0	       0
2020_03_10	      53	       1	       3	       0
2020_03_11	      59	       1	       6	       0
2020_03_12	      70	       1	      11	       0
2020_03_13	      75	       1	       5	       0
2020_03_14	      75	       1	       0	       0
2020_03_15	      75	       1	       0	       0
2020_03_16	     114	       1	      39	       0
2020_03_17	     147	       1	      33	       0
2020_03_18	     177	       1	      30	       0
2020_03_19	     212	       1	      35	       0
2020_03_20	     322	       1	     110	       0
2020_03_21	     322	       1	       0	       0
2020_03_22	     411	       1	      89	       0
2020_03_23	     721	       1	     310	       0
2020_03_24	     827	       4	     106	       3
2020_03_25	     934	       4	     107	       0
2020_03_26	     934	       4	       0	       0
2020_03_27	    1136	       5	     202	       1
2020_03_28	    1136	       5	       0	       0
2020_03_29	    1388	       7	     252	       2
2020_03_30	    1524	       9	     136	       2
2020_03_31	    1524	       9	       0	       0
2020_04_01	    1771	      12	     247	       3
2020_04_02	    1771	      12	       0	       0
2020_04_03	    1875	      15	     104	       3
2020_04_04	    1978	      19	     103	       4
2020_04_05	    2067	      20	      89	       1
2020_04_06	    2169	      23	     102	       3
2020_04_07	    2220	      26	      51	       3
2020_04_08	    2369	      30	     149	       4
2020_04_09	    2423	      32	      54	       2
2020_04_10	    2473	      33	      50	       1
2020_04_11	    2518	      35	      45	       2
2020_04_12	    2551	      38	      33	       3
2020_04_13	    2579	      40	      28	       2
2020_04_14	    2613	      41	      34	       1
2020_04_15	    2643	      43	      30	       2
2020_04_16	    2672	      46	      29	       3
2020_04_17	    2700	      47	      28	       1
2020_04_18	    2733	      47	      33	       0
2020_04_19	    2765	      47	      32	       0
2020_04_20	    2792	      47	      27	       0
2020_04_21	    2811	      48	      19	       1
2020_04_22	    2826	      49	      15	       1
2020_04_23	    2839	      50	      13	       1
2020_04_24	    2854	      50	      15	       0
2020_04_25	    2907	      51	      53	       1
2020_04_26	    2922	      51	      15	       0
2020_04_27	    2931	      52	       9	       1
2020_04_28	    2938	      54	       7	       2
2020_04_29	    2947	      54	       9	       0
2020_04_30	    2954	      54	       7	       0
2020_05_01	    2960	      54	       6	       0
2020_05_02	    2966	      54	       6	       0
2020_05_03	    2969	      54	       3	       0
2020_05_04	    2987	      54	      18	       0
2020_05_05	    2988	      54	       1	       0
2020_05_06	    2989	      55	       1	       1
2020_05_07	    2992	      55	       3	       0
2020_05_08	    3000	      55	       8	       0
2020_05_09	    3004	      56	       4	       1
2020_05_10	    3009	      56	       5	       0
2020_05_11	    3009	      56	       0	       0
2020_05_12	    3017	      56	       8	       0
2020_05_13	    3017	      56	       0	       0
2020_05_14	    3018	      56	       1	       0
2020_05_15	    3025	      56	       7	       0
2020_05_16	    3025	      56	       0	       0
2020_05_17	    3028	      56	       3	       0
2020_05_18	    3031	      56	       3	       0
2020_05_19	    3033	      56	       2	       0
2020_05_20	    3034	      56	       1	       0
2020_05_21	    3037	      56	       3	       0
2020_05_22	    3037	      56	       0	       0
2020_05_23	    3040	      56	       3	       0
2020_05_24	    3040	      56	       0	       0
2020_05_25	    3042	      57	       2	       1
2020_05_26	    3045	      57	       3	       0
2020_05_27	    3054	      57	       9	       0
2020_05_28	    3065	      57	      11	       0
2020_05_29	    3076	      57	      11	       0
2020_05_30	    3077	      57	       1	       0
2020_05_31	    3081	      57	       4	       0
2020_06_01	    3082	      57	       1	       0
