#
# COVID-19 Country file (official WHO count)
# Country = Togo
# Latitude = 6.0
# Population = 8384.291
# Territory = 56785.0
# LEB = 61.0
# DPA = 67000
# DPA65 = 16750
# GDP = 655.0
# GDP_PPP = 1762.0
# COVID-19 Mortality = 3.2
# First_Case = 2020_03_07
# First_Death = 2020_03_30
# Last_Case = 2020_03_30
# Last_Death = 2020_03_30
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_07	1	0
2020_03_08	1	0
2020_03_09	1	0
2020_03_10	1	0
2020_03_11	1	0
2020_03_12	1	0
2020_03_13	1	0
2020_03_14	1	0
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	1	0
2020_03_18	1	0
2020_03_19	1	0
2020_03_20	9	0
2020_03_21	9	0
2020_03_22	15	0
2020_03_23	16	0
2020_03_24	18	0
2020_03_25	20	0
2020_03_26	23	0
2020_03_27	24	0
2020_03_28	25	0
2020_03_29	29	0
2020_03_30	28	1
2020_03_31	34	1
2020_04_01	34	1
2020_04_02	36	2
2020_04_03	39	2
2020_04_04	39	2
2020_04_05	40	3
2020_04_06	44	3
2020_04_07	44	3
2020_04_08	58	3
2020_04_09	70	3
2020_04_10	73	3
2020_04_11	73	3
2020_04_12	73	3
2020_04_13	76	3
2020_04_14	76	3
2020_04_15	77	3
2020_04_16	77	3
2020_04_17	81	5
2020_04_18	83	5
2020_04_19	83	5
2020_04_20	83	5
2020_04_21	84	5
2020_04_22	86	6
2020_04_23	88	6
2020_04_24	88	6
2020_04_25	90	6
2020_04_26	96	6
2020_04_27	98	6
2020_04_28	99	6
2020_04_29	99	6
2020_04_30	109	7
2020_05_01	116	9
2020_05_02	123	9
2020_05_03	123	9
2020_05_04	124	9
2020_05_05	126	9
2020_05_06	128	9
2020_05_07	128	9
2020_05_08	135	9
2020_05_09	145	10
2020_05_10	153	10
2020_05_11	173	11
2020_05_12	181	11
2020_05_13	199	11
2020_05_14	219	11
2020_05_15	238	11
2020_05_16	263	11
2020_05_17	298	11
2020_05_18	301	11
2020_05_19	330	12
2020_05_20	338	12
2020_05_21	338	12
2020_05_22	354	12
2020_05_23	363	12
2020_05_24	373	12
2020_05_25	381	12
2020_05_26	386	13
2020_05_27	391	13
2020_05_28	395	13
2020_05_29	422	13
2020_05_30	428	13
2020_05_31	428	13
2020_06_01	442	13
2020_06_02	443	13
2020_06_03	445	13
2020_06_04	452	13
2020_06_05	465	13
2020_06_06	485	13
2020_06_07	487	13
2020_06_08	495	13
2020_06_09	497	13
2020_06_10	497	13
2020_06_11	522	13
2020_06_12	522	13
2020_06_13	524	13
2020_06_14	525	13
2020_06_15	530	13
2020_06_16	531	13
2020_06_17	537	13
2020_06_18	537	13
2020_06_19	544	13
2020_06_20	555	13
2020_06_21	561	13
2020_06_22	569	13
2020_06_23	569	13
2020_06_24	576	13
2020_06_25	576	13
2020_06_26	588	14
2020_06_27	591	14
2020_06_28	615	14
2020_06_29	615	14
2020_06_30	642	14
2020_07_01	643	14
2020_07_02	661	14
2020_07_03	667	14
2020_07_04	671	14
2020_07_05	676	15
2020_07_06	680	15
2020_07_07	680	15
2020_07_08	689	15
2020_07_09	695	15
2020_07_10	704	15
2020_07_11	710	15
2020_07_12	710	15
2020_07_13	720	15
2020_07_14	720	15
2020_07_15	731	15
2020_07_16	740	15
2020_07_17	749	15
2020_07_18	766	15
2020_07_19	774	15
2020_07_20	774	15
2020_07_21	783	15
2020_07_22	790	15
2020_07_23	806	16
2020_07_24	828	16
2020_07_25	839	17
2020_07_26	839	17
2020_07_27	868	18
2020_07_28	874	18
2020_07_29	874	18
2020_07_30	896	18
2020_07_31	908	18
2020_08_01	927	18
2020_08_02	927	18
2020_08_03	927	18
2020_08_04	961	19
2020_08_05	976	19
2020_08_06	988	19
2020_08_07	1001	21
2020_08_08	1012	22
2020_08_09	1012	22
2020_08_10	1046	22
2020_08_11	1060	23
2020_08_12	1067	25
2020_08_13	1067	25
2020_08_14	1092	26
2020_08_15	1092	26
2020_08_16	1092	26
2020_08_17	1109	26
2020_08_18	1126	26
2020_08_19	1143	26
2020_08_20	1160	26
2020_08_21	1177	26
2020_08_22	1194	26
2020_08_23	1212	27
