#
# COVID-19 Country file (official WHO count)
# Country = Trinidad and Tobago
# Latitude = 21.0
# Population = 1377.729
# Territory = 5130.0
# LEB = 73.5
# DPA = 12000
# DPA65 = 7200
# GDP = 16547.0
# GDP_PPP = 32309.0
# COVID-19 Mortality = 467.4
# First_Case = 2020_03_14
# Last_Case = 2021_06_13
# First_Death = 2020_03_26
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_02_15
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_14	       1	       0	       1	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       2	       0	       1	       0
2020_03_17	       5	       0	       3	       0
2020_03_18	       5	       0	       0	       0
2020_03_19	       7	       0	       2	       0
2020_03_20	       9	       0	       2	       0
2020_03_21	       9	       0	       0	       0
2020_03_22	       9	       0	       0	       0
2020_03_23	      50	       0	      41	       0
2020_03_24	      51	       0	       1	       0
2020_03_25	      57	       0	       6	       0
2020_03_26	      60	       1	       3	       1
2020_03_27	      61	       1	       1	       0
2020_03_28	      66	       2	       5	       1
2020_03_29	      74	       2	       8	       0
2020_03_30	      76	       3	       2	       1
2020_03_31	      82	       3	       6	       0
2020_04_01	      85	       3	       3	       0
2020_04_02	      89	       5	       4	       2
2020_04_03	      90	       5	       1	       0
2020_04_04	      97	       6	       7	       1
2020_04_05	     100	       6	       3	       0
2020_04_06	     103	       6	       3	       0
2020_04_07	     105	       8	       2	       2
2020_04_08	     106	       8	       1	       0
2020_04_09	     107	       8	       1	       0
2020_04_10	     109	       8	       2	       0
2020_04_11	     109	       8	       0	       0
2020_04_12	     109	       8	       0	       0
2020_04_13	     112	       8	       3	       0
2020_04_14	     113	       8	       1	       0
2020_04_15	     113	       8	       0	       0
2020_04_16	     114	       8	       1	       0
2020_04_17	     114	       8	       0	       0
2020_04_18	     114	       8	       0	       0
2020_04_19	     114	       8	       0	       0
2020_04_20	     114	       8	       0	       0
2020_04_21	     114	       8	       0	       0
2020_04_22	     114	       8	       0	       0
2020_04_23	     115	       8	       1	       0
2020_04_24	     115	       8	       0	       0
2020_04_25	     115	       8	       0	       0
2020_04_26	     115	       8	       0	       0
2020_04_27	     115	       8	       0	       0
2020_04_28	     116	       8	       1	       0
2020_04_29	     116	       8	       0	       0
2020_04_30	     116	       8	       0	       0
2020_05_01	     116	       8	       0	       0
2020_05_02	     116	       8	       0	       0
2020_05_03	     116	       8	       0	       0
2020_05_04	     116	       8	       0	       0
2020_05_05	     116	       8	       0	       0
2020_05_06	     116	       8	       0	       0
2020_05_07	     116	       8	       0	       0
2020_05_08	     116	       8	       0	       0
2020_05_09	     116	       8	       0	       0
2020_05_10	     116	       8	       0	       0
2020_05_11	     116	       8	       0	       0
2020_05_12	     116	       8	       0	       0
2020_05_13	     116	       8	       0	       0
2020_05_14	     116	       8	       0	       0
2020_05_15	     116	       8	       0	       0
2020_05_16	     116	       8	       0	       0
2020_05_17	     116	       8	       0	       0
2020_05_18	     116	       8	       0	       0
2020_05_19	     116	       8	       0	       0
2020_05_20	     116	       8	       0	       0
2020_05_21	     116	       8	       0	       0
2020_05_22	     116	       8	       0	       0
2020_05_23	     116	       8	       0	       0
2020_05_24	     116	       8	       0	       0
2020_05_25	     116	       8	       0	       0
2020_05_26	     116	       8	       0	       0
2020_05_27	     116	       8	       0	       0
2020_05_28	     116	       8	       0	       0
2020_05_29	     116	       8	       0	       0
2020_05_30	     116	       8	       0	       0
2020_05_31	     116	       8	       0	       0
2020_06_01	     117	       8	       1	       0
2020_06_02	     117	       8	       0	       0
2020_06_03	     117	       8	       0	       0
