#
# COVID-19 Country file (official WHO count)
# Country = Tunisia
# Latitude = 37.0
# Population = 11903.136
# Territory = 163610.0
# LEB = 76.7
# DPA = 73000
# DPA65 = 51100
# GDP = 3403.0
# GDP_PPP = 12532.0
# COVID-19 Mortality = 1128.8
# First_Case = 2020_03_03
# Last_Case = 2021_06_13
# First_Death = 2020_03_21
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech, Sputnik V
# Vaccine start = 2021_03_12
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_03	       1	       0	       1	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       2	       0	       1	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       6	       0	       4	       0
2020_03_12	       6	       0	       0	       0
2020_03_13	       7	       0	       1	       0
2020_03_14	      16	       0	       9	       0
2020_03_15	      16	       0	       0	       0
2020_03_16	      18	       0	       2	       0
2020_03_17	      20	       0	       2	       0
2020_03_18	      24	       0	       4	       0
2020_03_19	      29	       0	       5	       0
2020_03_20	      39	       0	      10	       0
2020_03_21	      54	       1	      15	       1
2020_03_22	      60	       1	       6	       0
2020_03_23	      75	       3	      15	       2
2020_03_24	      89	       3	      14	       0
2020_03_25	     114	       3	      25	       0
2020_03_26	     173	       5	      59	       2
2020_03_27	     197	       5	      24	       0
2020_03_28	     227	       6	      30	       1
2020_03_29	     278	       8	      51	       2
2020_03_30	     312	       8	      34	       0
2020_03_31	     362	       9	      50	       1
2020_04_01	     394	      10	      32	       1
2020_04_02	     423	      12	      29	       2
2020_04_03	     455	      14	      32	       2
2020_04_04	     495	      18	      40	       4
2020_04_05	     553	      19	      58	       1
2020_04_06	     574	      22	      21	       3
2020_04_07	     596	      22	      22	       0
2020_04_08	     623	      23	      27	       1
2020_04_09	     628	      24	       5	       1
2020_04_10	     643	      25	      15	       1
2020_04_11	     671	      25	      28	       0
2020_04_12	     685	      28	      14	       3
