#
# COVID-19 Country file (official WHO count)
# Country = Turkey
# Latitude = 39.0
# Population = 83835.750
# Territory = 783562.0
# LEB = 77.7
# DPA = 451000
# DPA65 = 297660
# GDP = 9624.0
# GDP_PPP = 27965.0
# COVID-19 Mortality = 580.5
# First_Case = 2020_03_12
# Last_Case = 2021_06_13
# First_Death = 2020_03_19
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech, Sinovac
# Vaccine start = 2021_02_12
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_12	       1	       0	       1	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       5	       0	       4	       0
2020_03_15	       5	       0	       0	       0
2020_03_16	       5	       0	       0	       0
2020_03_17	      47	       0	      42	       0
2020_03_18	      47	       0	       0	       0
2020_03_19	     191	       2	     144	       2
2020_03_20	     191	       2	       0	       0
2020_03_21	     670	       9	     479	       7
2020_03_22	     947	      21	     277	      12
2020_03_23	    1236	      30	     289	       9
2020_03_24	    1529	      37	     293	       7
2020_03_25	    1872	      44	     343	       7
2020_03_26	    2433	      59	     561	      15
2020_03_27	    3629	      75	    1196	      16
2020_03_28	    5698	      92	    2069	      17
2020_03_29	    7402	     108	    1704	      16
2020_03_30	    9271	     131	    1869	      23
2020_03_31	   10827	     168	    1556	      37
2020_04_01	   13531	     214	    2704	      46
2020_04_02	   15679	     277	    2148	      63
2020_04_03	   18135	     356	    2456	      79
2020_04_04	   20921	     425	    2786	      69
2020_04_05	   23934	     501	    3013	      76
2020_04_06	   27069	     574	    3135	      73
2020_04_07	   30217	     649	    3148	      75
2020_04_08	   34109	     725	    3892	      76
2020_04_09	   38226	     812	    4117	      87
2020_04_10	   42282	     908	    4056	      96
2020_04_11	   47029	    1006	    4747	      98
2020_04_12	   52167	    1101	    5138	      95
2020_04_13	   56956	    1198	    4789	      97
2020_04_14	   61049	    1296	    4093	      98
2020_04_15	   65111	    1403	    4062	     107
2020_04_16	   69392	    1518	    4281	     115
2020_04_17	   74193	    1643	    4801	     125
2020_04_18	   78546	    1769	    4353	     126
2020_04_19	   82329	    1890	    3783	     121
2020_04_20	   86306	    2017	    3977	     127
2020_04_21	   90980	    2140	    4674	     123
2020_04_22	   95591	    2259	    4611	     119
2020_04_23	   98674	    2376	    3083	     117
