#
# COVID-19 Country file (official WHO count)
# Country = Turks and Caicos Islands
# Latitude = 21.0
# Population = 36.953
# Territory = 948.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 27916.0
# GDP_PPP = 27236.0
# COVID-19 Mortality = 54.1
# First_Case = 2020_03_24
# First_Death = 2020_04_06
# Last_Case = 2020_04_06
# Last_Death = 2020_04_06
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_24	1	0
2020_03_25	1	0
2020_03_26	1	0
2020_03_27	2	0
2020_03_28	2	0
2020_03_29	2	0
2020_03_30	4	0
2020_03_31	5	0
2020_04_01	5	0
2020_04_02	5	0
2020_04_03	5	0
2020_04_04	5	0
2020_04_05	5	0
2020_04_06	5	1
2020_04_07	5	1
2020_04_08	8	1
2020_04_09	8	1
2020_04_10	8	1
2020_04_11	8	1
2020_04_12	8	1
2020_04_13	9	1
2020_04_14	9	1
2020_04_15	10	1
2020_04_16	10	1
2020_04_17	11	1
2020_04_18	11	1
2020_04_19	11	1
2020_04_20	11	1
2020_04_21	11	1
2020_04_22	11	1
2020_04_23	11	1
2020_04_24	11	1
2020_04_25	11	1
2020_04_26	11	1
2020_04_27	11	1
2020_04_28	12	1
2020_04_29	12	1
2020_04_30	12	1
2020_05_01	12	1
2020_05_02	12	1
2020_05_03	12	1
2020_05_04	12	1
2020_05_05	12	1
2020_05_06	12	1
2020_05_07	12	1
2020_05_08	12	1
2020_05_09	12	1
2020_05_10	12	1
2020_05_11	12	1
2020_05_12	12	1
2020_05_13	12	1
2020_05_14	12	1
2020_05_15	12	1
2020_05_16	12	1
2020_05_17	12	1
2020_05_18	12	1
2020_05_19	12	1
2020_05_20	12	1
2020_05_21	12	1
2020_05_22	12	1
2020_05_23	12	1
2020_05_24	12	1
2020_05_25	12	1
2020_05_26	12	1
2020_05_27	12	1
2020_05_28	12	1
2020_05_29	12	1
2020_05_30	12	1
2020_05_31	12	1
2020_06_01	12	1
2020_06_02	12	1
2020_06_03	12	1
2020_06_04	12	1
2020_06_05	12	1
2020_06_06	12	1
2020_06_07	12	1
2020_06_08	12	1
2020_06_09	12	1
2020_06_10	12	1
2020_06_11	12	1
2020_06_12	12	1
2020_06_13	12	1
2020_06_14	12	1
2020_06_15	12	1
2020_06_16	12	1
2020_06_17	12	1
2020_06_18	12	1
2020_06_19	12	1
2020_06_20	12	1
2020_06_21	12	1
2020_06_22	12	1
2020_06_23	14	1
2020_06_24	14	1
2020_06_25	14	1
2020_06_26	15	1
2020_06_27	16	1
2020_06_28	16	1
2020_06_29	16	1
2020_06_30	41	1
2020_07_01	41	2
2020_07_02	42	2
2020_07_03	42	2
2020_07_04	44	2
2020_07_05	45	2
2020_07_06	47	2
2020_07_07	48	2
2020_07_08	49	2
2020_07_09	55	2
2020_07_10	55	2
2020_07_11	66	2
2020_07_12	66	2
2020_07_13	71	2
2020_07_14	72	2
2020_07_15	72	2
2020_07_16	72	2
2020_07_17	72	2
2020_07_18	74	2
2020_07_19	75	2
2020_07_20	75	2
2020_07_21	81	2
2020_07_22	81	2
2020_07_23	82	2
2020_07_24	86	2
2020_07_25	90	2
2020_07_26	90	2
2020_07_27	97	2
2020_07_28	99	2
2020_07_29	99	2
2020_07_30	99	2
2020_07_31	104	2
2020_08_01	107	2
2020_08_02	114	2
2020_08_03	114	2
2020_08_04	114	2
2020_08_05	116	2
2020_08_06	116	2
2020_08_07	129	2
2020_08_08	141	2
2020_08_09	170	2
2020_08_10	197	2
2020_08_11	216	2
2020_08_12	216	2
2020_08_13	224	2
2020_08_14	241	2
2020_08_15	258	2
2020_08_16	274	2
2020_08_17	284	2
2020_08_18	294	2
2020_08_19	304	2
2020_08_20	314	2
2020_08_21	324	2
2020_08_22	334	2
2020_08_23	347	2
