#
# COVID-19 Country file (official WHO count)
# Country = Uganda
# Latitude = 0.0
# Population = 47187.703
# Territory = 241550.0
# LEB = 63.4
# DPA = 282000
# DPA65 = 53580
# GDP = 686.0
# GDP_PPP = 2397.0
# COVID-19 Mortality = 9.0
# First_Case = 2020_03_22
# Last_Case = 2021_06_13
# First_Death = 2020_07_24
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_03_09
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_22	       1	       0	       1	       0
2020_03_23	       1	       0	       0	       0
2020_03_24	       9	       0	       8	       0
2020_03_25	       9	       0	       0	       0
2020_03_26	      14	       0	       5	       0
2020_03_27	      14	       0	       0	       0
2020_03_28	      14	       0	       0	       0
2020_03_29	      14	       0	       0	       0
2020_03_30	      33	       0	      19	       0
2020_03_31	      33	       0	       0	       0
2020_04_01	      33	       0	       0	       0
2020_04_02	      44	       0	      11	       0
2020_04_03	      44	       0	       0	       0
2020_04_04	      45	       0	       1	       0
2020_04_05	      48	       0	       3	       0
2020_04_06	      48	       0	       0	       0
2020_04_07	      52	       0	       4	       0
2020_04_08	      52	       0	       0	       0
2020_04_09	      53	       0	       1	       0
2020_04_10	      53	       0	       0	       0
2020_04_11	      53	       0	       0	       0
2020_04_12	      53	       0	       0	       0
2020_04_13	      54	       0	       1	       0
2020_04_14	      54	       0	       0	       0
2020_04_15	      54	       0	       0	       0
2020_04_16	      55	       0	       1	       0
2020_04_17	      55	       0	       0	       0
2020_04_18	      55	       0	       0	       0
2020_04_19	      55	       0	       0	       0
2020_04_20	      55	       0	       0	       0
2020_04_21	      55	       0	       0	       0
2020_04_22	      56	       0	       1	       0
2020_04_23	      61	       0	       5	       0
2020_04_24	      63	       0	       2	       0
2020_04_25	      75	       0	      12	       0
2020_04_26	      75	       0	       0	       0
2020_04_27	      75	       0	       0	       0
2020_04_28	      79	       0	       4	       0
2020_04_29	      79	       0	       0	       0
2020_04_30	      79	       0	       0	       0
2020_05_01	      81	       0	       2	       0
2020_05_02	      83	       0	       2	       0
2020_05_03	      85	       0	       2	       0
2020_05_04	      88	       0	       3	       0
2020_05_05	      89	       0	       1	       0
2020_05_06	      97	       0	       8	       0
2020_05_07	      98	       0	       1	       0
2020_05_08	     101	       0	       3	       0
2020_05_09	     101	       0	       0	       0
2020_05_10	     116	       0	      15	       0
2020_05_11	     121	       0	       5	       0
2020_05_12	     122	       0	       1	       0
2020_05_13	     126	       0	       4	       0
2020_05_14	     139	       0	      13	       0
2020_05_15	     160	       0	      21	       0
2020_05_16	     203	       0	      43	       0
2020_05_17	     227	       0	      24	       0
2020_05_18	     227	       0	       0	       0
2020_05_19	     260	       0	      33	       0
2020_05_20	     260	       0	       0	       0
2020_05_21	     264	       0	       4	       0
2020_05_22	     264	       0	       0	       0
2020_05_23	     274	       0	      10	       0
2020_05_24	     312	       0	      38	       0
2020_05_25	     304	       0	      -8	       0
2020_05_26	     304	       0	       0	       0
2020_05_27	     341	       0	      37	       0
2020_05_28	     351	       0	      10	       0
2020_05_29	     410	       0	      59	       0
2020_05_30	     410	       0	       0	       0
2020_05_31	     446	       0	      36	       0
2020_06_01	     458	       0	      12	       0
2020_06_02	     458	       0	       0	       0
2020_06_03	     586	       0	     128	       0
2020_06_04	     636	       0	      50	       0
2020_06_05	     651	       0	      15	       0
2020_06_06	     686	       0	      35	       0
2020_06_07	     722	       0	      36	       0
2020_06_08	     745	       0	      23	       0
2020_06_09	     775	       0	      30	       0
2020_06_10	     775	       0	       0	       0
2020_06_11	     794	       0	      19	       0
2020_06_12	     808	       0	      14	       0
2020_06_13	     808	       0	       0	       0
2020_06_14	     823	       0	      15	       0
2020_06_15	     823	       0	       0	       0
2020_06_16	     823	       0	       0	       0
2020_06_17	     823	       0	       0	       0
2020_06_18	     823	       0	       0	       0
2020_06_19	     823	       0	       0	       0
2020_06_20	     823	       0	       0	       0
2020_06_21	     823	       0	       0	       0
2020_06_22	     755	       0	     -68	       0
2020_06_23	     774	       0	      19	       0
2020_06_24	     797	       0	      23	       0
2020_06_25	     805	       0	       8	       0
2020_06_26	     821	       0	      16	       0
2020_06_27	     833	       0	      12	       0
2020_06_28	     833	       0	       0	       0
2020_06_29	     833	       0	       0	       0
2020_06_30	     870	       0	      37	       0
2020_07_01	     889	       0	      19	       0
2020_07_02	     893	       0	       4	       0
2020_07_03	     902	       0	       9	       0
2020_07_04	     911	       0	       9	       0
2020_07_05	     927	       0	      16	       0
2020_07_06	     939	       0	      12	       0
2020_07_07	     953	       0	      14	       0
2020_07_08	     971	       0	      18	       0
2020_07_09	     977	       0	       6	       0
2020_07_10	    1000	       0	      23	       0
2020_07_11	    1006	       0	       6	       0
2020_07_12	    1013	       0	       7	       0
2020_07_13	    1025	       0	      12	       0
2020_07_14	    1029	       0	       4	       0
2020_07_15	    1040	       0	      11	       0
2020_07_16	    1043	       0	       3	       0
2020_07_17	    1051	       0	       8	       0
2020_07_18	    1056	       0	       5	       0
2020_07_19	    1062	       0	       6	       0
2020_07_20	    1065	       0	       3	       0
2020_07_21	    1069	       0	       4	       0
2020_07_22	    1072	       0	       3	       0
2020_07_23	    1075	       0	       3	       0
2020_07_24	    1080	       1	       5	       1
