#
# COVID-19 Country file (official WHO count)
# Country = Ukraine
# Latitude = 51.0
# Population = 43579.234
# Territory = 603500.0
# LEB = 72.1
# DPA = 667000
# DPA65 = 473570
# GDP = 3074.0
# GDP_PPP = 9355.0
# COVID-19 Mortality = 52.1
# First_Case = 2020_03_04
# First_Death = 2020_03_14
# Last_Case = 2020_03_14
# Last_Death = 2020_03_14
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_04	1	0
2020_03_05	1	0
2020_03_06	1	0
2020_03_07	1	0
2020_03_08	1	0
2020_03_09	1	0
2020_03_10	1	0
2020_03_11	1	0
2020_03_12	1	0
2020_03_13	3	0
2020_03_14	3	1
2020_03_15	3	1
2020_03_16	3	1
2020_03_17	7	1
2020_03_18	14	2
2020_03_19	16	2
2020_03_20	16	2
2020_03_21	26	3
2020_03_22	47	3
2020_03_23	47	3
2020_03_24	84	3
2020_03_25	113	4
2020_03_26	156	5
2020_03_27	218	5
2020_03_28	311	8
2020_03_29	418	9
2020_03_30	480	11
2020_03_31	549	13
2020_04_01	669	17
2020_04_02	804	20
2020_04_03	987	23
2020_04_04	1096	28
2020_04_05	1251	32
2020_04_06	1319	38
2020_04_07	1462	45
2020_04_08	1668	52
2020_04_09	1892	57
2020_04_10	2203	69
2020_04_11	2511	73
2020_04_12	2777	83
2020_04_13	3102	93
2020_04_14	3372	98
2020_04_15	3764	108
2020_04_16	4162	115
2020_04_17	4662	125
2020_04_18	5106	133
2020_04_19	5449	141
2020_04_20	5710	151
2020_04_21	6125	161
2020_04_22	6592	174
2020_04_23	7170	187
2020_04_24	7647	193
2020_04_25	8125	201
2020_04_26	8617	209
2020_04_27	9009	220
2020_04_28	9410	239
2020_04_29	9866	250
2020_04_30	10406	261
2020_05_01	10861	272
2020_05_02	11411	279
2020_05_03	11913	288
2020_05_04	12331	303
2020_05_05	12697	316
2020_05_06	13184	327
2020_05_07	13691	340
2020_05_08	14195	361
2020_05_09	14710	376
2020_05_10	15232	391
2020_05_11	15648	408
2020_05_12	16023	425
2020_05_13	16425	439
2020_05_14	16847	456
2020_05_15	17330	476
2020_05_16	17858	497
2020_05_17	18291	514
2020_05_18	18616	535
2020_05_19	18876	548
2020_05_20	19230	564
2020_05_21	19706	579
2020_05_22	20148	588
2020_05_23	20580	605
2020_05_24	20986	617
2020_05_25	21245	623
2020_05_26	21584	644
2020_05_27	21905	658
2020_05_28	22382	669
2020_05_29	22811	679
2020_05_30	23204	696
2020_05_31	23672	708
2020_06_01	24012	718
2020_06_02	24340	727
2020_06_03	24823	735
2020_06_04	25411	748
2020_06_05	25964	762
2020_06_06	26514	777
2020_06_07	26999	788
2020_06_08	27462	797
2020_06_09	27856	810
2020_06_10	28381	833
2020_06_11	29070	854
2020_06_12	29753	870
2020_06_13	30506	880
2020_06_14	31154	889
2020_06_15	31810	901
2020_06_16	32476	913
2020_06_17	33234	943
2020_06_18	34063	966
2020_06_19	34984	985
2020_06_20	35825	994
2020_06_21	36560	1002
2020_06_22	37241	1012
2020_06_23	38074	1035
2020_06_24	39014	1051
2020_06_25	40008	1067
2020_06_26	41117	1086
2020_06_27	41117	1086
2020_06_28	42982	1129
2020_06_29	43628	1147
2020_06_30	44334	1159
2020_07_01	44998	1173
2020_07_02	45888	1185
2020_07_03	46763	1212
2020_07_04	47677	1227
2020_07_05	47677	1227
2020_07_06	49043	1262
2020_07_07	49607	1283
2020_07_08	50414	1307
2020_07_09	51224	1327
2020_07_10	52043	1345
2020_07_11	52843	1372
2020_07_12	53521	1383
2020_07_13	54133	1398
2020_07_14	54771	1412
2020_07_15	55607	1427
2020_07_16	56455	1445
2020_07_17	57264	1456
2020_07_18	58111	1477
2020_07_19	58842	1485
2020_07_20	59493	1498
2020_07_21	60166	1518
2020_07_22	60995	1534
2020_07_23	61851	1551
2020_07_24	62823	1571
2020_07_25	63929	1590
2020_07_26	63929	1590
2020_07_27	65656	1616
2020_07_28	66575	1629
2020_07_29	67597	1650
2020_07_30	68794	1673
2020_07_31	69884	1693
2020_08_01	71056	1709
2020_08_02	72168	1725
2020_08_03	73158	1738
2020_08_04	74219	1764
2020_08_05	75490	1788
2020_08_06	76808	1819
2020_08_07	78261	1852
2020_08_08	79750	1879
2020_08_09	80949	1897
2020_08_10	81957	1922
2020_08_11	83115	1951
2020_08_12	84548	1970
2020_08_13	86140	1992
2020_08_14	87872	2011
2020_08_15	89719	2044
2020_08_16	91356	2070
2020_08_17	93299	2098
2020_08_18	95242	2126
2020_08_19	97185	2154
2020_08_20	99128	2182
2020_08_21	101071	2210
2020_08_22	103014	2238
2020_08_23	104958	2271
