#
# COVID-19 Country file (official WHO count)
# Country = United States Virgin Islands
# Latitude = 18.0
# Population = 104.858
# Territory = 347.0
# LEB = 80.6
# DPA = 1000
# DPA65 = 830
# GDP = 35938.0
# GDP_PPP = 36100.0
# COVID-19 Mortality = 95.4
# First_Case = 2020_03_17
# First_Death = 2020_04_07
# Last_Case = 2020_04_07
# Last_Death = 2020_04_07
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_17	2	0
2020_03_18	2	0
2020_03_19	2	0
2020_03_20	3	0
2020_03_21	3	0
2020_03_22	6	0
2020_03_23	6	0
2020_03_24	17	0
2020_03_25	17	0
2020_03_26	17	0
2020_03_27	17	0
2020_03_28	17	0
2020_03_29	17	0
2020_03_30	22	0
2020_03_31	30	0
2020_04_01	30	0
2020_04_02	30	0
2020_04_03	33	0
2020_04_04	37	0
2020_04_05	40	0
2020_04_06	42	0
2020_04_07	43	1
2020_04_08	43	1
2020_04_09	45	1
2020_04_10	46	1
2020_04_11	50	1
2020_04_12	53	1
2020_04_13	51	1
2020_04_14	51	1
2020_04_15	51	1
2020_04_16	51	1
2020_04_17	51	1
2020_04_18	51	2
2020_04_19	53	3
2020_04_20	53	3
2020_04_21	53	3
2020_04_22	54	3
2020_04_23	54	3
2020_04_24	54	3
2020_04_25	54	3
2020_04_26	55	3
2020_04_27	55	3
2020_04_28	59	4
2020_04_29	59	4
2020_04_30	62	4
2020_05_01	66	4
2020_05_02	66	4
2020_05_03	66	4
2020_05_04	66	4
2020_05_05	66	4
2020_05_06	66	4
2020_05_07	66	4
2020_05_08	66	4
2020_05_09	68	4
2020_05_10	68	4
2020_05_11	69	4
2020_05_12	69	5
2020_05_13	69	5
2020_05_14	69	6
2020_05_15	69	6
2020_05_16	69	6
2020_05_17	69	6
2020_05_18	69	6
2020_05_19	69	6
2020_05_20	69	6
2020_05_21	69	6
2020_05_22	69	6
2020_05_23	69	6
2020_05_24	69	6
2020_05_25	69	6
2020_05_26	69	6
2020_05_27	69	6
2020_05_28	69	6
2020_05_29	69	6
2020_05_30	69	6
2020_05_31	69	6
2020_06_01	69	6
2020_06_02	70	6
2020_06_03	70	6
2020_06_04	70	6
2020_06_05	71	6
2020_06_06	71	6
2020_06_07	71	6
2020_06_08	71	6
2020_06_09	71	6
2020_06_10	71	6
2020_06_11	72	6
2020_06_12	72	6
2020_06_13	72	6
2020_06_14	72	6
2020_06_15	72	6
2020_06_16	72	6
2020_06_17	73	6
2020_06_18	73	6
2020_06_19	73	6
2020_06_20	73	6
2020_06_21	74	6
2020_06_22	76	6
2020_06_23	76	6
2020_06_24	76	6
2020_06_25	76	6
2020_06_26	80	6
2020_06_27	81	6
2020_06_28	81	6
2020_06_29	81	6
2020_06_30	81	6
2020_07_01	84	6
2020_07_02	90	6
2020_07_03	92	6
2020_07_04	98	6
2020_07_05	111	6
2020_07_06	111	6
2020_07_07	112	6
2020_07_08	116	6
2020_07_09	122	6
2020_07_10	144	6
2020_07_11	153	6
2020_07_12	167	6
2020_07_13	181	6
2020_07_14	206	6
2020_07_15	206	6
2020_07_16	243	6
2020_07_17	249	6
2020_07_18	263	6
2020_07_19	283	6
2020_07_20	283	6
2020_07_21	297	6
2020_07_22	308	6
2020_07_23	320	7
2020_07_24	336	7
2020_07_25	342	7
2020_07_26	342	7
2020_07_27	361	7
2020_07_28	364	7
2020_07_29	375	7
2020_07_30	385	8
2020_07_31	398	8
2020_08_01	406	8
2020_08_02	421	8
2020_08_03	438	8
2020_08_04	439	8
2020_08_05	463	8
2020_08_06	481	8
2020_08_07	501	9
2020_08_08	522	9
2020_08_09	528	9
2020_08_10	528	9
2020_08_11	547	9
2020_08_12	576	9
2020_08_13	639	9
2020_08_14	682	9
2020_08_15	704	9
2020_08_16	734	9
2020_08_17	762	9
2020_08_18	790	9
2020_08_19	818	9
2020_08_20	846	9
2020_08_21	874	9
2020_08_22	902	9
2020_08_23	932	10
