#
# COVID-19 Country file (official WHO count)
# Country = Uruguay
# Latitude = -35.0
# Population = 3494.387
# Territory = 176215.0
# LEB = 77.9
# DPA = 33000
# DPA65 = 25410
# GDP = 17142.0
# GDP_PPP = 23496.0
# COVID-19 Mortality = 1404.0
# First_Case = 2020_03_16
# Last_Case = 2021_06_13
# First_Death = 2020_04_01
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech, Sinovac
# Vaccine start = 2021_02_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_16	       4	       0	       4	       0
2020_03_17	       6	       0	       2	       0
2020_03_18	       6	       0	       0	       0
2020_03_19	      29	       0	      23	       0
2020_03_20	      79	       0	      50	       0
2020_03_21	      94	       0	      15	       0
2020_03_22	      94	       0	       0	       0
2020_03_23	     135	       0	      41	       0
2020_03_24	     162	       0	      27	       0
2020_03_25	     162	       0	       0	       0
2020_03_26	     217	       0	      55	       0
2020_03_27	     217	       0	       0	       0
2020_03_28	     238	       0	      21	       0
2020_03_29	     274	       0	      36	       0
2020_03_30	     303	       0	      29	       0
2020_03_31	     309	       0	       6	       0
2020_04_01	     320	       1	      11	       1
2020_04_02	     338	       2	      18	       1
2020_04_03	     350	       4	      12	       2
2020_04_04	     369	       4	      19	       0
2020_04_05	     386	       4	      17	       0
2020_04_06	     400	       5	      14	       1
2020_04_07	     406	       6	       6	       1
2020_04_08	     415	       6	       9	       0
2020_04_09	     424	       7	       9	       1
2020_04_10	     456	       7	      32	       0
2020_04_11	     473	       7	      17	       0
2020_04_12	     494	       7	      21	       0
2020_04_13	     501	       7	       7	       0
2020_04_14	     512	       7	      11	       0
2020_04_15	     483	       8	     -29	       1
2020_04_16	     492	       8	       9	       0
2020_04_17	     493	       9	       1	       1
2020_04_18	     502	       9	       9	       0
2020_04_19	     508	       9	       6	       0
2020_04_20	     517	       9	       9	       0
2020_04_21	     528	      10	      11	       1
2020_04_22	     535	      10	       7	       0
2020_04_23	     543	      12	       8	       2
2020_04_24	     549	      12	       6	       0
2020_04_25	     557	      12	       8	       0
