#
# COVID-19 Country file (official WHO count)
# Country = Uzbekistan
# Latitude = 41.0
# Population = 33235.825
# Territory = 447400.0
# LEB = 71.7
# DPA = 190000
# DPA65 = 98800
# GDP = 1640.0
# GDP_PPP = 8384.0
# COVID-19 Mortality = 21.3
# First_Case = 2020_03_16
# Last_Case = 2021_06_13
# First_Death = 2020_03_28
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_16	       4	       0	       4	       0
2020_03_17	       4	       0	       0	       0
2020_03_18	      16	       0	      12	       0
2020_03_19	      16	       0	       0	       0
2020_03_20	      21	       0	       5	       0
2020_03_21	      33	       0	      12	       0
2020_03_22	      33	       0	       0	       0
2020_03_23	      46	       0	      13	       0
2020_03_24	      46	       0	       0	       0
2020_03_25	      50	       0	       4	       0
2020_03_26	      65	       0	      15	       0
2020_03_27	      83	       0	      18	       0
2020_03_28	     104	       1	      21	       1
2020_03_29	     133	       2	      29	       1
2020_03_30	     145	       2	      12	       0
2020_03_31	     149	       2	       4	       0
2020_04_01	     173	       2	      24	       0
2020_04_02	     190	       2	      17	       0
2020_04_03	     221	       2	      31	       0
2020_04_04	     241	       2	      20	       0
2020_04_05	     298	       2	      57	       0
2020_04_06	     390	       2	      92	       0
2020_04_07	     472	       2	      82	       0
2020_04_08	     534	       3	      62	       1
2020_04_09	     555	       3	      21	       0
2020_04_10	     624	       3	      69	       0
2020_04_11	     624	       3	       0	       0
2020_04_12	     796	       3	     172	       0
2020_04_13	     896	       4	     100	       1
2020_04_14	    1054	       4	     158	       0
2020_04_15	    1214	       4	     160	       0
2020_04_16	    1349	       4	     135	       0
2020_04_17	    1380	       4	      31	       0
2020_04_18	    1450	       4	      70	       0
2020_04_19	    1495	       5	      45	       1
2020_04_20	    1565	       5	      70	       0
2020_04_21	    1657	       5	      92	       0
2020_04_22	    1657	       6	       0	       1
2020_04_23	    1716	       7	      59	       1
2020_04_24	    1778	       7	      62	       0
2020_04_25	    1836	       8	      58	       1
2020_04_26	    1865	       8	      29	       0
2020_04_27	    1887	       8	      22	       0
2020_04_28	    1924	       8	      37	       0
2020_04_29	    1955	       8	      31	       0
2020_04_30	    2031	       9	      76	       1
2020_05_01	    2046	       9	      15	       0
2020_05_02	    2094	       9	      48	       0
2020_05_03	    2127	       9	      33	       0
2020_05_04	    2160	      10	      33	       1
2020_05_05	    2189	      10	      29	       0
2020_05_06	    2217	      10	      28	       0
2020_05_07	    2266	      10	      49	       0
2020_05_08	    2314	      10	      48	       0
2020_05_09	    2336	      10	      22	       0
2020_05_10	    2387	      10	      51	       0
2020_05_11	    2411	      10	      24	       0
2020_05_12	    2509	      10	      98	       0
2020_05_13	    2598	      10	      89	       0
2020_05_14	    2620	      11	      22	       1
2020_05_15	    2652	      11	      32	       0
2020_05_16	    2691	      11	      39	       0
2020_05_17	    2741	      11	      50	       0
2020_05_18	    2762	      12	      21	       1
2020_05_19	    2802	      13	      40	       1
2020_05_20	    2880	      13	      78	       0
2020_05_21	    2950	      13	      70	       0
2020_05_22	    3006	      13	      56	       0
2020_05_23	    3078	      13	      72	       0
2020_05_24	    3132	      13	      54	       0
2020_05_25	    3180	      13	      48	       0
2020_05_26	    3261	      13	      81	       0
2020_05_27	    3333	      14	      72	       1
2020_05_28	    3396	      14	      63	       0
2020_05_29	    3463	      14	      67	       0
2020_05_30	    3513	      14	      50	       0
2020_05_31	    3554	      14	      41	       0
2020_06_01	    3662	      15	     108	       1
2020_06_02	    3718	      15	      56	       0
2020_06_03	    3718	      15	       0	       0
2020_06_04	    3874	      16	     156	       1
2020_06_05	    3965	      16	      91	       0
2020_06_06	    4022	      16	      57	       0
